Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 495.42; 204.52; 290.9; 67.26; 69.72; -2.05; 139.03; 151.87; 0.01; 151.88; 27.54; 124.34; 0.0; 124.34; 0.0; 124.34; 155.37; 151.87; 46.83; 48.35; 2.66; 2.57
2022-06-30; 461.0; 190.04; 270.96; 57.13; 70.67; -1.27; 129.07; 141.89; -5.09; 136.8; 22.12; 114.68; 0.0; 114.68; 0.0; 114.68; 157.76; 141.89; 46.67; 48.29; 2.46; 2.37
2022-03-31; 377.71; 158.83; 218.88; 54.1; 67.15; -1.49; 122.75; 96.13; -0.63; 95.5; 15.93; 79.57; 0.0; 79.57; 0.0; 79.57; 108.79; 96.13; 46.42; 48.25; 1.71; 1.65
2021-12-31; 336.5; 142.63; 193.87; 54.51; 61.21; 0.42; 115.3; 78.57; 3.39; 81.96; 9.29; 72.67; 0.0; 72.67; 0.0; 72.67; 83.78; 78.57; 45.85; 47.89; 1.58; 1.5
2021-09-30; 323.52; 137.21; 186.31; 49.47; 56.29; -3.42; 109.18; 77.13; 0.79; 77.92; 9.15; 68.77; 0.0; 68.77; 0.0; 68.77; 89.2; 77.13; 45.97; 47.85; 1.5; 1.44
2021-06-30; 293.32; 129.1; 164.22; 44.75; 57.24; -1.6; 103.59; 60.63; 3.03; 63.66; 8.49; 55.17; 0.0; 55.17; 0.0; 55.17; 67.0; 60.63; 45.8; 47.75; 1.2; 1.16
2021-03-31; 254.46; 113.4; 141.06; 41.89; 51.45; -1.63; 94.97; 46.09; 2.59; 48.67; 3.26; 45.41; 0.0; 45.41; 0.0; 45.41; 51.25; 46.09; 45.5; 47.71; 1.0; 0.95
2020-12-31; 233.04; 104.17; 128.87; 42.25; 45.12; -1.54; 88.91; 39.96; 4.48; 44.44; 1.56; 42.89; 0.0; 42.89; 0.0; 42.89; 41.77; 39.96; 44.84; 47.01; 0.96; 0.91
2020-09-30; 259.42; 116.38; 143.04; 37.72; 43.5; -1.84; 83.06; 59.98; 2.49; 62.47; 6.91; 55.57; 0.0; 55.57; 0.0; 55.57; 65.62; 59.98; 44.97; 46.95; 1.24; 1.18
2020-06-30; 186.21; 83.62; 102.59; 31.67; 40.88; -2.08; 74.64; 27.95; 5.2; 33.16; 2.99; 30.17; 0.0; 30.17; 0.0; 30.17; 29.51; 27.95; 44.78; 46.83; 0.67; 0.64
2020-03-31; 165.78; 74.33; 91.45; 25.96; 32.16; -2.34; 60.46; 30.99; -1.71; 29.27; -6.48; 35.76; 0.0; 35.76; 0.0; 35.76; 39.56; 30.99; 44.45; 46.67; 0.8; 0.77
2019-12-31; 166.74; 74.8; 91.94; 27.01; 33.24; -0.99; 61.24; 30.69; 2.73; 33.42; 0.99; 32.44; 0.0; 32.44; 0.0; 32.44; 31.28; 30.69; 43.16; 45.76; 0.75; 0.71
2019-09-30; 168.81; 75.66; 93.16; 27.74; 34.69; -0.69; 63.13; 30.03; 2.26; 32.29; 2.76; 29.53; 0.0; 29.53; 0.0; 29.53; 36.58; 30.03; 43.31; 45.83; 0.68; 0.64
