Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3364.0; 1100.0; 2264.0; 820.0; 278.0; 0.0; 1098.0; 1166.0; 51.0; 1217.0; 174.0; 1043.0; 0.0; 1043.0; 0.0; 1043.0; 1285.0; 1166.0; 390.0; 412.0; 2.67; 2.53
2022-06-30; 4749.0; 1381.0; 3368.0; 710.0; 211.0; 0.0; 921.0; 2447.0; 27.0; 2474.0; 277.0; 2197.0; 0.0; 2197.0; 0.0; 2197.0; 2534.0; 2447.0; 396.0; 419.0; 5.55; 5.24
2022-03-31; 6066.0; 1017.0; 5049.0; 554.0; 268.0; 0.0; 822.0; 4227.0; 2.0; 4229.0; 572.0; 3657.0; 0.0; 3657.0; 0.0; 3657.0; 4324.0; 4227.0; 402.0; 426.0; 9.09; 8.58
2021-12-31; 7211.0; 952.0; 6259.0; 648.0; 201.0; 0.0; 849.0; 5410.0; 0.0; 5410.0; 542.0; 4868.0; 0.0; 4868.0; 0.0; 4868.0; 5509.0; 5410.0; 403.0; 431.0; 12.06; 11.29
2021-09-30; 4969.0; 722.0; 4247.0; 521.0; 168.0; 0.0; 689.0; 3558.0; -6.0; 3552.0; 219.0; 3333.0; 0.0; 3333.0; 0.0; 3333.0; 3648.0; 3558.0; 404.0; 434.0; 8.27; 7.7
2021-06-30; 4354.0; 750.0; 3604.0; 421.0; 121.0; 0.0; 542.0; 3062.0; 1.0; 3063.0; 283.0; 2780.0; 0.0; 2780.0; 0.0; 2780.0; 3139.0; 3062.0; 402.0; 431.0; 6.93; 6.46
2021-03-31; 1937.0; 193.0; 1744.0; 401.0; 77.0; 0.0; 478.0; 1266.0; -6.0; 1260.0; 39.0; 1221.0; 0.0; 1221.0; 0.0; 1221.0; 1286.0; 1266.0; 400.0; 430.0; 3.05; 2.84
2020-12-31; 571.0; 0.0; 571.0; 759.0; 79.0; 0.0; 0.0; -275.0; 4.0; -271.0; 2.0; -273.0; 0.0; -273.0; 0.0; -273.0; -263.0; -275.0; 381.0; 381.0; -0.71; -0.71
2020-09-30; 157.0; 0.0; 157.0; 344.0; 48.0; 0.0; 0.0; -235.0; 3.0; -232.0; 1.0; -233.0; 0.0; -233.0; 0.0; -233.0; -223.0; -235.0; 395.0; 395.0; -0.59; -0.59
2020-06-30; 67.0; 0.0; 67.0; 152.0; 37.0; 0.0; 0.0; -122.0; 5.0; -117.0; 0.0; -117.0; 0.0; -117.0; 0.0; -117.0; -113.0; -122.0; 381.0; 381.0; -0.31; -0.31
2020-03-31; 8.0; 0.0; 8.0; 115.0; 24.0; 0.0; 0.0; -131.0; 7.0; -124.0; 0.0; -124.0; 0.0; -124.0; 0.0; -124.0; -123.0; -131.0; 353.0; 353.0; -0.35; -0.35
2019-12-31; 13.85; 0.0; 13.85; 117.64; 26.09; 0.0; 0.0; -129.89; 6.14; -123.74; -0.47; -123.27; 0.0; -123.27; 0.0; -123.27; -121.5; -129.89; 331.0; 331.0; -0.37; -0.37
2019-09-30; 17.05; 0.0; 17.05; 119.64; 28.17; 0.0; 0.0; -130.76; 7.37; -123.39; -0.18; -123.22; 0.0; -123.22; 0.0; -123.22; -124.58; -130.76; 330.77; 330.77; -0.37; -0.37
2019-06-30; 13.08; 0.0; 13.08; 128.31; 28.49; 0.0; 0.0; -143.71; 8.45; -135.26; -0.32; -134.94; 0.0; -134.94; 0.0; -134.94; -137.59; -143.71; 329.18; 329.18; -0.41; -0.41
2019-03-31; 16.02; 0.0; 16.02; 130.41; 27.25; 0.0; 0.0; -141.64; 9.04; -132.6; -0.02; -132.58; 0.0; -132.58; 0.0; -132.58; -135.33; -141.64; 328.81; 328.81; -0.4; -0.4
2018-12-31; 35.42; 0.0; 35.42; 150.43; 38.02; 0.0; 0.0; -153.03; 11.77; -141.26; 0.17; -141.43; 0.0; -141.43; 0.0; -141.43; -146.44; -153.03; 81.11; 81.11; -1.04; -1.04
2018-09-30; 41.76; 0.0; 41.76; 109.05; 18.52; 0.0; 0.0; -85.82; 5.49; -80.33; 0.0; -80.33; 0.0; -80.33; 0.0; -87.82; -79.91; -85.82; 66.28; 66.28; -1.32; -1.32
2018-06-30; 28.85; 0.0; 28.85; 104.48; 21.39; 0.0; 0.0; -97.02; 6.57; -90.44; 0.16; -90.6; 0.0; -90.6; 0.0; -94.08; -91.58; -97.02; 65.94; 65.94; -1.43; -1.43
2018-03-31; 29.04; 0.0; 29.04; 90.12; 16.32; 0.0; 0.0; -77.4; 5.03; -72.38; 0.0; -72.38; 0.0; -72.38; 0.0; -75.86; -72.33; -77.4; 65.43; 65.43; -1.16; -1.16
2017-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2016-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
