Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 2753.75; 244.84; 2508.91; 0.0; 1480.69; 0.0; 1498.29; 1010.62; 0.0; 1010.62; 245.25; 765.37; 0.0; 765.37; 0.0; 739.13; 0.0; 0.0; 171.09; 172.15; 4.32; 4.29
2022-09-30; 2344.59; 102.82; 2241.77; 0.0; 1375.87; 0.0; 1394.25; 847.52; 0.0; 847.52; 200.92; 646.6; 0.0; 646.6; 0.0; 620.55; 0.0; 0.0; 174.61; 175.68; 3.55; 3.53
2022-06-30; 2036.24; 53.42; 1982.82; 0.0; 1686.77; 0.0; 1705.15; 277.66; 0.0; 277.66; 60.14; 217.52; 0.0; 217.52; 0.0; 192.24; 0.0; 0.0; 177.37; 178.28; 1.08; 1.08
2022-03-31; 1469.14; 24.08; 1445.06; 0.0; 968.49; 0.0; 969.74; 475.32; 0.0; 475.32; 113.15; 362.17; 0.0; 362.17; 0.0; 339.59; 0.0; 0.0; 128.94; 129.42; 2.63; 2.62
2021-12-31; 1537.15; 24.73; 1512.43; 0.0; 910.55; 0.0; 912.5; 599.93; 0.0; 599.93; 141.96; 457.97; 0.0; 457.97; 0.0; 434.17; 0.0; 0.0; 128.65; 128.81; 3.37; 3.37
2021-09-30; 1562.07; 25.7; 1536.38; 0.0; 876.6; 0.0; 879.33; 657.04; 0.0; 657.04; 161.58; 495.46; 0.0; 495.46; 0.0; 475.96; 0.0; 0.0; 128.69; 128.84; 3.7; 3.69
2021-06-30; 1483.99; 28.02; 1455.97; 0.0; 847.61; 0.0; 850.35; 605.63; 0.0; 605.63; 147.56; 458.07; 0.0; 458.07; 0.0; 438.76; 0.0; 0.0; 128.67; 128.84; 3.41; 3.41
2021-03-31; 1522.56; 35.57; 1486.99; 0.0; 891.71; 0.0; 894.44; 592.55; 0.0; 592.55; 145.3; 447.25; 0.0; 447.25; 0.0; 428.09; 0.0; 0.0; 128.54; 128.67; 3.33; 3.33
2020-12-31; 1590.14; 49.61; 1540.53; 0.0; 916.88; 0.0; 920.01; 620.52; 0.0; 620.52; 149.38; 471.14; 0.0; 471.14; 0.0; 451.87; 0.0; 0.0; 128.64; 128.7; 3.52; 3.52
2020-09-30; 1521.72; 58.07; 1463.66; 0.0; 972.86; 0.0; 976.77; 486.88; 0.0; 486.88; 114.75; 372.14; 0.0; 372.14; 0.0; 353.4; 0.0; 0.0; 128.28; 128.35; 2.75; 2.75
2020-06-30; 1519.52; 75.11; 1444.41; 0.0; 1128.13; 0.0; 1132.04; 312.37; 0.0; 312.37; 71.31; 241.05; 0.0; 241.05; 0.0; 223.1; 0.0; 0.0; 128.28; 128.33; 1.74; 1.74
2020-03-31; 1649.78; 143.61; 1506.16; 0.0; 1152.5; 0.0; 1156.42; 349.75; 0.0; 349.75; 80.93; 268.82; 0.0; 268.82; 0.0; 250.7; 0.0; 0.0; 129.7; 129.75; 1.93; 1.93
2019-12-31; 1706.94; 177.07; 1529.87; 0.0; 873.38; 0.0; 877.68; 652.19; 0.0; 652.19; 159.12; 493.07; 0.0; 493.07; 0.0; 473.38; 0.0; 0.0; 134.43; 134.46; 3.6; 3.59
2019-09-30; 1757.25; 199.58; 1557.67; 0.0; 917.53; 0.0; 922.62; 635.05; 0.0; 635.05; 154.97; 480.08; 0.0; 480.08; 0.0; 461.41; 0.0; 0.0; 132.97; 133.0; 3.47; 3.47
2019-06-30; 1750.01; 196.43; 1553.58; 0.0; 922.96; 0.0; 928.03; 625.54; 0.0; 625.54; 152.28; 473.26; 0.0; 473.26; 0.0; 452.63; 0.0; 0.0; 135.43; 135.46; 3.34; 3.34
2019-03-31; 1727.07; 176.25; 1550.83; 0.0; 911.33; 0.0; 916.35; 634.48; 0.0; 634.48; 151.74; 482.74; 0.0; 482.74; 0.0; 462.09; 0.0; 0.0; 137.89; 137.92; 3.35; 3.35
2018-12-31; 1700.88; 161.32; 1539.56; 0.0; 834.8; 0.0; 840.16; 699.39; 0.0; 699.39; 153.18; 546.22; 0.0; 546.22; 0.0; 525.32; 0.0; 0.0; 143.99; 144.15; 3.71; 3.72
2018-09-30; 1626.67; 138.34; 1488.33; 0.0; 785.84; 0.0; 791.98; 696.35; 0.0; 696.35; 170.26; 526.09; 0.0; 526.09; 0.0; 505.36; 0.0; 0.0; 142.82; 142.98; 3.54; 3.53
2018-06-30; 1586.32; 120.12; 1466.2; 0.0; 805.19; 0.0; 811.58; 654.62; 0.0; 654.62; 161.46; 493.16; 0.0; 493.16; 0.0; 472.6; 0.0; 0.0; 144.82; 145.0; 3.26; 3.26
2018-03-31; 1540.85; 106.63; 1434.21; 0.0; 969.71; 0.0; 976.34; 457.87; 0.0; 457.87; 105.26; 352.61; 0.0; 352.61; 0.0; 332.75; 0.0; 0.0; 148.69; 148.91; 2.24; 2.23
2017-12-31; 1558.19; 102.69; 1455.5; 0.0; 819.79; 0.0; 826.81; 628.69; 0.0; 628.69; 306.29; 322.4; 0.0; 322.4; 0.0; 302.48; 0.0; 0.0; 152.16; 152.55; 2.01; 2.02
2017-09-30; 1516.64; 100.08; 1416.56; 0.0; 828.22; 0.0; 836.02; 580.54; 0.0; 580.54; 224.62; 355.92; 0.0; 355.92; 0.0; 335.8; 0.0; 0.0; 151.35; 151.69; 2.22; 2.21
2017-06-30; 1491.23; 92.21; 1399.02; 0.0; 794.52; 0.0; 802.63; 596.38; 0.0; 596.38; 215.33; 381.05; 0.0; 381.05; 0.0; 360.66; 0.0; 0.0; 152.86; 153.28; 2.36; 2.35
2017-03-31; 1452.88; 91.77; 1361.11; 0.0; 834.43; 0.0; 842.85; 518.25; 0.0; 518.25; 169.33; 348.93; 0.0; 348.93; 0.0; 328.56; 0.0; 0.0; 154.43; 154.95; 2.13; 2.12
2016-12-31; 1448.36; 107.14; 1341.22; 0.0; 822.01; 0.0; 831.1; 510.12; 0.0; 510.12; 179.55; 330.57; 0.0; 330.57; 0.0; 307.75; 0.0; 0.0; 156.78; 157.3; 1.98; 1.97
2016-09-30; 1460.87; 111.17; 1349.69; 0.0; 789.61; 0.0; 799.39; 550.3; 0.0; 550.3; 200.31; 349.98; 0.0; 349.98; 0.0; 326.99; 0.0; 0.0; 155.49; 156.03; 2.1; 2.1
2016-06-30; 1418.88; 106.8; 1312.07; 0.0; 770.48; 0.0; 781.89; 530.18; 0.0; 530.18; 194.15; 336.03; 0.0; 336.03; 0.0; 312.97; 0.0; 0.0; 157.8; 158.34; 1.98; 1.98
2016-03-31; 1393.77; 100.87; 1292.9; 0.0; 812.78; 0.0; 825.1; 467.8; 0.0; 467.8; 169.27; 298.53; 0.0; 298.53; 0.0; 275.74; 0.0; 0.0; 158.73; 159.18; 1.74; 1.73
2015-12-31; 1350.48; 95.33; 1255.15; 0.0; 834.54; 0.0; 844.11; 411.04; 0.0; 411.04; 140.07; 270.96; 0.0; 270.96; 0.0; 248.05; 0.0; 0.0; 136.8; 137.53; 1.63; 1.62
2015-09-30; 1209.72; 77.2; 1132.53; 0.0; 693.73; 0.0; 697.82; 434.71; 0.0; 434.71; 154.31; 280.4; 0.0; 280.4; 0.0; 257.34; 0.0; 0.0; 132.63; 133.38; 1.94; 1.93
2015-06-30; 1257.38; 77.23; 1180.15; 0.0; 720.66; 0.0; 726.63; 453.53; 0.0; 453.53; 166.84; 286.69; 0.0; 286.69; 0.0; 263.47; 0.0; 0.0; 132.36; 133.12; 1.99; 1.98
2015-03-31; 1178.29; 78.5; 1099.79; 0.0; 717.58; 0.0; 724.38; 375.42; 0.0; 375.42; 133.8; 241.61; 0.0; 241.61; 0.0; 218.83; 0.0; 0.0; 132.05; 132.77; 1.66; 1.65
2014-12-31; 1208.26; 74.77; 1133.48; 0.0; 692.05; 0.0; 699.22; 434.26; 0.0; 434.26; 156.71; 277.55; 0.0; 277.55; 0.0; 254.23; 0.0; 0.0; 130.95; 131.84; 1.93; 1.92
2014-09-30; 1194.13; 73.96; 1120.17; 0.0; 687.0; 0.0; 694.36; 425.81; 0.0; 425.81; 150.47; 275.34; 0.0; 275.34; 0.0; 251.91; 0.0; 0.0; 131.26; 132.13; 1.92; 1.91
2014-06-30; 1190.7; 65.18; 1125.53; 0.0; 688.43; 0.0; 697.66; 427.87; 0.0; 427.87; 143.53; 284.34; 0.0; 284.34; 0.0; 260.68; 0.0; 0.0; 130.86; 131.83; 1.99; 1.98
2014-03-31; 1143.06; 66.52; 1076.54; 0.0; 712.17; 0.0; 722.23; 354.31; 0.0; 354.31; 125.29; 229.02; 0.0; 229.02; 0.0; 211.72; 0.0; 0.0; 130.21; 131.13; 1.63; 1.61
2013-12-31; 1180.71; 67.98; 1112.73; 0.0; 726.61; 0.0; 737.05; 375.68; 0.0; 375.68; 154.25; 221.42; 0.0; 221.42; 0.0; 203.48; 0.0; 0.0; 128.65; 129.6; 1.57; 1.56
2013-09-30; 1220.07; 69.58; 1150.5; 0.0; 696.0; 0.0; 706.63; 443.87; 0.0; 443.87; 149.39; 294.48; 0.0; 294.48; 0.0; 275.34; 0.0; 0.0; 129.17; 130.26; 2.13; 2.11
2013-06-30; 1258.9; 72.62; 1186.28; 0.0; 643.09; 0.0; 655.59; 530.68; 0.0; 530.68; 182.22; 348.47; 0.0; 348.47; 0.0; 328.54; 0.0; 0.0; 128.25; 129.02; 2.56; 2.55
2013-03-31; 1162.86; 73.92; 1088.93; 0.0; 660.25; 0.0; 673.6; 415.34; 0.0; 415.34; 141.22; 274.11; 0.0; 274.11; 0.0; 255.08; 0.0; 0.0; 127.67; 128.64; 2.0; 1.98
2012-12-31; 1198.52; 77.93; 1120.59; 0.0; 661.28; 0.0; 675.15; 445.44; 0.0; 445.44; 149.25; 296.19; 0.0; 296.19; 0.0; 276.56; 0.0; 0.0; 125.86; 126.41; 2.18; 2.16
2012-09-30; 1190.58; 82.13; 1108.45; 0.0; 647.94; 0.0; 662.03; 446.43; 0.0; 446.43; 152.97; 293.46; 0.0; 293.46; 0.0; 273.88; 0.0; 0.0; 125.82; 126.29; 2.18; 2.17
2012-06-30; 1129.04; 89.4; 1039.63; 0.0; 671.49; 0.0; 687.39; 352.24; 0.0; 352.24; 118.86; 233.38; 0.0; 233.38; 0.0; 214.71; 0.0; 0.0; 125.49; 125.9; 1.71; 1.71
2012-03-31; 1090.82; 93.71; 997.11; 0.0; 671.92; 0.0; 688.7; 308.42; 0.0; 308.42; 101.95; 206.46; 0.0; 206.46; 0.0; 188.24; 0.0; 0.0; 125.22; 125.62; 1.5; 1.5
2011-12-31; 1114.45; 97.97; 1016.49; 0.0; 796.42; 0.0; 813.58; 202.9; 0.0; 202.9; 55.16; 147.74; 0.0; 147.74; 0.0; 129.8; 0.0; 0.0; 122.66; 123.08; 1.03; 1.02
2011-09-30; 1088.73; 103.63; 985.1; 0.0; 702.62; 0.0; 720.02; 265.08; 0.0; 265.08; 81.97; 183.11; 0.0; 183.11; 0.0; 164.67; 0.0; 0.0; 124.58; 124.86; 1.32; 1.32
2011-06-30; 1189.91; 102.05; 1087.86; 0.0; 625.15; 0.0; 639.89; 447.96; 0.0; 447.96; 125.61; 322.36; 0.0; 322.36; 0.0; 297.16; 0.0; 0.0; 122.18; 122.8; 2.43; 2.42
2011-03-31; 981.9; 98.68; 883.22; 0.0; 562.26; 0.0; 574.57; 308.65; 0.0; 308.65; 102.38; 206.27; 0.0; 206.27; 0.0; 190.11; 0.0; 0.0; 119.2; 119.85; 1.59; 1.59
2010-12-31; 969.66; 108.63; 861.03; 0.0; 541.0; 0.0; 554.27; 306.76; 0.0; 306.76; 102.32; 204.44; 0.0; 204.44; 0.0; 189.03; 0.0; 0.0; 118.19; 118.84; 1.6; 1.6
2010-09-30; 975.8; 116.03; 859.77; 0.0; 559.61; 0.0; 573.13; 286.63; 0.0; 286.63; 94.62; 192.01; 0.0; 192.01; 0.0; 176.78; 0.0; 0.0; 118.32; 119.16; 1.49; 1.48
2010-06-30; 958.34; 117.56; 840.78; 0.0; 546.24; 0.0; 561.07; 279.72; 0.0; 279.72; 90.97; 188.75; 0.0; 188.75; 0.0; 173.59; 0.0; 0.0; 118.05; 118.88; 1.47; 1.46
2010-03-31; 934.09; 120.05; 814.04; 0.0; 577.89; 0.0; 594.36; 219.68; 0.0; 219.68; 68.72; 150.96; 0.0; 150.96; 0.0; 136.43; 0.0; 0.0; 117.77; 118.26; 1.16; 1.15
2009-12-31; 958.56; 133.95; 824.61; 0.0; 606.72; 0.0; 623.45; 201.16; 0.0; 201.16; 64.34; 136.82; 0.0; 136.82; 0.0; 122.98; 0.0; 0.0; 114.66; 114.78; 1.08; 1.07
2009-09-30; 978.82; 152.94; 825.88; 0.0; 637.13; 0.0; 654.06; 171.83; 0.0; 171.82; 44.16; 127.66; 0.0; 127.66; 0.0; 113.89; 0.0; 0.0; 117.37; 117.55; 0.97; 0.97
2009-06-30; 949.07; 175.86; 773.22; 0.0; 695.48; 0.0; 710.71; 62.51; 0.0; 62.51; 11.32; 51.19; 0.0; 51.19; 0.0; 40.52; 0.0; 0.0; 113.22; 113.52; 0.36; 0.36
2009-03-31; 886.85; 206.71; 680.15; 0.0; 580.98; 0.0; 596.35; 83.8; 0.0; 83.8; 19.58; 64.22; 0.0; 64.22; 0.0; 54.62; 0.0; 0.0; 110.44; 110.44; 0.49; 0.49
