Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 985.85; 401.19; 584.66; 44.13; 233.36; 0.0; 294.21; 290.44; -14.56; 275.88; 55.29; 220.6; 0.0; 220.6; 0.0; 220.6; 318.84; 290.44; 22.4; 22.61; 9.85; 9.76
2022-06-30; 978.39; 406.73; 571.66; 44.02; 242.21; 0.0; 302.59; 269.07; -12.38; 256.69; 44.62; 212.07; 0.0; 212.07; 0.0; 212.07; 296.88; 269.07; 22.59; 22.82; 9.39; 9.29
2022-03-31; 897.79; 378.21; 519.59; 43.03; 235.31; 0.0; 294.94; 224.64; -11.64; 213.0; 39.0; 174.0; 0.0; 174.0; 0.0; 174.0; 253.12; 224.64; 22.77; 23.04; 7.64; 7.55
2021-12-31; 1037.24; 430.11; 607.13; 45.62; 242.44; 0.0; 304.99; 302.14; -16.16; 285.98; 55.1; 230.87; 0.0; 230.87; 0.0; 230.87; 330.61; 302.14; 23.13; 23.46; 10.04; 9.9
2021-09-30; 951.95; 396.13; 555.82; 42.28; 240.73; 0.0; 299.05; 256.77; -9.18; 247.59; 43.9; 203.69; 0.0; 203.69; 0.0; 203.69; 283.99; 256.77; 23.06; 23.39; 8.83; 8.71
2021-06-30; 924.35; 387.45; 536.9; 42.6; 239.04; 0.0; 297.87; 239.04; -8.65; 230.38; 45.62; 184.76; 0.0; 184.76; 0.0; 184.76; 266.57; 239.04; 23.19; 23.52; 7.97; 7.85
2021-03-31; 804.39; 332.69; 471.7; 39.27; 221.75; 0.0; 274.91; 196.79; -11.37; 185.41; 35.75; 149.66; 0.0; 149.66; 0.0; 149.66; 221.62; 196.79; 23.36; 23.69; 6.41; 6.32
2020-12-31; 937.99; 378.94; 559.04; 39.87; 226.37; 0.0; 280.89; 278.15; -8.97; 269.18; 52.88; 216.29; 0.0; 216.29; 0.0; 216.29; 303.9; 278.15; 23.88; 24.2; 9.11; 8.98
2020-09-30; 807.36; 337.75; 469.61; 34.66; 204.97; 0.0; 253.75; 215.86; -10.05; 205.81; 44.04; 161.77; 0.0; 161.77; 0.0; 161.77; 240.6; 215.86; 23.92; 24.23; 6.76; 6.68
2020-06-30; 690.67; 292.7; 397.97; 31.19; 190.13; 0.0; 235.22; 162.75; -7.5; 155.25; 28.69; 126.56; 0.0; 126.56; 0.0; 126.56; 186.84; 162.75; 23.94; 24.23; 5.29; 5.22
2020-03-31; 649.16; 274.75; 374.41; 34.39; 198.74; 0.0; 247.13; 127.28; -8.78; 118.5; 20.38; 98.11; 0.0; 98.11; 0.0; 98.11; 151.41; 127.28; 24.03; 24.35; 4.08; 4.03
2019-12-31; 843.97; 345.67; 498.3; 35.3; 206.72; 0.0; 254.83; 243.47; -12.32; 231.14; 38.39; 192.75; 0.0; 192.75; 0.0; 192.75; 265.92; 243.47; 24.57; 24.97; 7.91; 7.79
2019-09-30; 753.87; 318.81; 435.06; 36.02; 202.83; 0.0; 251.17; 183.89; -14.53; 169.36; 39.96; 129.4; 0.0; 129.4; 0.0; 129.4; 206.17; 183.89; 24.49; 24.88; 5.28; 5.2
2019-06-30; 731.37; 311.83; 419.54; 36.58; 205.22; 0.0; 254.12; 165.41; -10.2; 155.22; 28.06; 127.16; 0.0; 127.16; 0.0; 127.16; 187.36; 165.41; 24.7; 25.12; 5.15; 5.06
