Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 6164.0; 1501.0; 4663.0; 0.0; 1774.0; 326.0; 2618.0; 2045.0; -449.0; 1596.0; 329.0; 1267.0; 0.0; 1267.0; 0.0; 1522.0; 0.0; 2045.0; 0.0; 1993.0; 0.0; 0.76
2022-09-30; 6719.0; 1933.0; 4786.0; 0.0; 1806.0; 171.0; 2924.0; 1862.0; 20.0; 1882.0; 323.0; 1559.0; 0.0; 1559.0; 0.0; 1696.0; 3218.0; 1862.0; 1972.5; 1978.9; 0.86; 0.86
2022-06-30; 5183.0; 1589.0; 3594.0; 0.0; 1488.0; 1.0; 2646.0; 948.0; 459.0; 1407.0; 294.0; 1113.0; 0.0; 1113.0; 0.0; 1380.0; 2175.0; 948.0; 1965.2; 1972.9; 0.7; 0.7
2022-03-31; 2890.0; 1366.0; 1524.0; 0.0; 1437.0; 23.0; 2299.0; -775.0; -277.0; -1052.0; -359.0; -693.0; 0.0; -693.0; 0.0; -451.0; 185.0; -775.0; 1964.7; 1973.6; -0.23; -0.23
2021-12-31; 5046.0; 1135.0; 3911.0; 0.0; 1621.0; 29.0; 2556.0; 1355.0; -137.0; 1218.0; 265.0; 953.0; 0.0; 953.0; 0.0; 1204.0; 2407.0; 1355.0; 1962.5; 1972.2; 0.61; 0.61
2021-09-30; 4370.0; 1383.0; 2987.0; 0.0; 1391.0; 13.0; 2608.0; 379.0; -102.0; 277.0; -27.0; 304.0; 0.0; 304.0; 0.0; 447.0; 1677.0; 379.0; 1962.7; 1972.9; 0.23; 0.23
2021-06-30; 3927.0; 1103.0; 2824.0; 0.0; 1326.0; -7.0; 2314.0; 510.0; -578.0; -68.0; -140.0; 72.0; 0.0; 72.0; 0.0; 256.0; 1551.0; 510.0; 1962.4; 1970.3; 0.13; 0.13
2021-03-31; 3726.0; 906.0; 2820.0; 0.0; 1416.0; 14.0; 2151.0; 669.0; 1079.0; 1748.0; 250.0; 1498.0; 0.0; 1498.0; 0.0; 1666.0; 1492.0; 669.0; 1961.6; 1973.0; 0.85; 0.84
2020-12-31; 4395.0; 876.0; 3519.0; 0.0; 1525.0; -109.0; 2578.0; 941.0; -1167.0; -226.0; -35.0; -191.0; 0.0; -191.0; 0.0; -6.0; 1964.0; 941.0; 1959.0; 1968.8; 0.0; 0.0
2020-09-30; 4785.0; 1111.0; 3674.0; 0.0; 1376.0; -11.0; 2666.0; 1008.0; 244.0; 1252.0; 129.0; 1123.0; 0.0; 1123.0; 0.0; 1229.0; 2346.0; 1008.0; 1959.4; 1968.9; 0.63; 0.62
2020-06-30; 4204.0; 731.0; 3473.0; 0.0; 1323.0; 17.0; 2287.0; 1186.0; 128.0; 1314.0; 185.0; 1129.0; 0.0; 1129.0; 0.0; 1275.0; 2218.0; 1186.0; 1958.8; 1967.3; 0.65; 0.65
2020-03-31; 4613.0; 821.0; 3792.0; 0.0; 1236.0; 273.0; 1811.0; 1981.0; -1908.0; 73.0; -235.0; 308.0; 0.0; 308.0; 0.0; 421.0; 2903.0; 1981.0; 1957.0; 1967.0; 0.21; 0.21
2019-12-31; 4587.0; 1056.0; 3531.0; 0.0; 1479.0; -206.0; 2653.0; 878.0; 159.0; 1037.0; 192.0; 845.0; 0.0; 845.0; 0.0; 976.0; 1919.0; 878.0; 1927.9; 1941.9; 0.49; 0.49
2019-09-30; 5572.0; 1266.0; 4306.0; 0.0; 1416.0; -2.0; 2713.0; 1593.0; -737.0; 856.0; 58.0; 798.0; 0.0; 798.0; 0.0; 879.0; 2906.0; 1593.0; 1927.6; 1944.0; 0.46; 0.45
2019-06-30; 4970.0; 1074.0; 3896.0; 0.0; 1322.0; 354.0; 2149.0; 1747.0; -484.0; 1263.0; 124.0; 1139.0; 0.0; 1139.0; 0.0; 1234.0; 3009.0; 1747.0; 1915.6; 1931.2; 0.65; 0.64
2019-03-31; 4075.0; 967.0; 3108.0; 0.0; 1227.0; 26.0; 1973.0; 1135.0; -455.0; 680.0; 74.0; 606.0; 0.0; 606.0; 0.0; 680.0; 1997.0; 1135.0; 1913.2; 1927.2; 0.35; 0.35
2018-12-31; 4391.0; 936.0; 3455.0; 0.0; 1286.0; 29.0; 2348.0; 1107.0; -818.0; 289.0; -25.0; 314.0; 0.0; 314.0; 0.0; 421.0; 2252.0; 1107.0; 1892.8; 1907.9; 0.21; 0.21
2018-09-30; 4416.0; 1083.0; 3333.0; 0.0; 1239.0; 6.0; 2365.0; 968.0; 98.0; 1066.0; 125.0; 941.0; 0.0; 941.0; 0.0; 1005.0; 2151.0; 968.0; 1892.4; 1909.6; 0.53; 0.53
2018-06-30; 4063.0; 894.0; 3169.0; 0.0; 1219.0; 28.0; 2023.0; 1146.0; -233.0; 913.0; 226.0; 687.0; 0.0; 687.0; 0.0; 781.0; 2040.0; 1146.0; 1884.4; 1900.8; 0.41; 0.4
2018-03-31; 3857.0; 819.0; 3038.0; 0.0; 1137.0; 14.0; 1979.0; 1059.0; 4025.0; 5084.0; 1250.0; 3834.0; 0.0; 3834.0; 0.0; 4431.0; 1984.0; 1059.0; 1882.8; 1897.2; 2.35; 2.33
