Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2776.9; 2092.46; 684.44; 0.0; 153.67; 11.51; 138.73; 545.72; -7.2; 538.51; 127.12; 411.39; 0.0; 411.39; 0.0; 411.39; 553.4; 549.15; 3.27; 3.47; 125.97; 118.51
2022-06-30; 2658.94; 1924.73; 734.22; 0.0; 155.92; 5.2; 147.95; 586.27; -12.26; 574.01; 140.7; 433.31; 0.0; 433.31; 0.0; 433.31; 593.57; 589.04; 3.29; 3.5; 131.84; 123.65
2022-03-31; 2378.41; 1651.37; 727.04; 0.0; 152.42; 2.41; 147.93; 579.11; -13.17; 565.95; 139.84; 426.1; 0.0; 426.1; 0.0; 426.1; 585.64; 581.18; 3.38; 3.66; 125.87; 116.56
2021-12-31; 2230.34; 1646.05; 584.29; 0.0; 149.15; 2.72; 144.28; 440.01; -13.21; 426.8; 92.22; 334.58; 0.0; 334.58; 0.0; 334.58; 446.9; 442.16; 3.58; 3.86; 95.71; 88.38
2021-09-30; 2395.64; 1817.94; 577.7; 0.0; 135.19; 2.52; 130.33; 447.37; -13.24; 434.13; 102.05; 332.08; 0.0; 332.08; 0.0; 332.08; 454.39; 449.71; 3.56; 3.84; 93.25; 86.44
2021-06-30; 2283.6; 1721.67; 561.92; 0.0; 136.02; 2.62; 131.19; 430.73; -13.27; 417.46; 96.17; 321.3; 0.0; 321.3; 0.0; 321.3; 437.78; 432.94; 3.62; 3.9; 88.69; 82.45
2021-03-31; 2041.45; 1577.45; 463.99; 0.0; 143.07; 2.45; 138.59; 325.4; -13.4; 312.01; 63.24; 248.76; 0.0; 248.76; 0.0; 248.76; 332.64; 327.44; 3.67; 3.94; 67.72; 63.21
2020-12-31; 2344.01; 1822.12; 521.89; 0.0; 133.97; 8.24; 123.35; 398.54; -13.17; 385.37; 80.37; 305.0; 0.0; 305.0; 0.0; 305.0; 406.12; 400.93; 3.69; 3.92; 82.39; 77.54
2020-09-30; 1990.01; 1536.04; 453.97; 0.0; 125.92; 2.88; 120.82; 333.14; -11.69; 321.46; 64.99; 256.47; 0.0; 256.47; 0.0; 256.47; 340.91; 335.37; 3.71; 3.94; 69.19; 65.11
2020-06-30; 1620.37; 1284.49; 335.88; 0.0; 121.46; 3.09; 116.52; 219.36; -9.53; 209.83; 45.76; 164.07; 0.0; 164.07; 0.0; 164.07; 226.84; 221.21; 3.68; 3.86; 44.56; 42.5
2020-03-31; 1582.53; 1294.74; 287.78; 0.0; 128.38; 5.99; 119.92; 167.86; -6.49; 161.38; -14.33; 175.7; 0.0; 175.7; 0.0; 175.7; 175.95; 170.33; 3.66; 3.91; 47.97; 44.96
2019-12-31; 1990.19; 1567.39; 422.8; 0.0; 131.49; 7.33; 120.93; 301.87; -6.57; 295.3; 39.16; 256.14; 0.0; 256.14; 0.0; 256.14; 310.55; 305.11; 3.64; 3.97; 69.94; 64.29
2019-09-30; 1911.26; 1518.28; 392.99; 0.0; 130.38; 7.51; 119.52; 273.47; -6.29; 267.17; 43.39; 223.79; 0.0; 223.79; 0.0; 223.79; 282.03; 276.81; 3.67; 3.99; 60.94; 56.11
2019-06-30; 1800.19; 1425.39; 374.81; 0.0; 133.04; 6.51; 123.79; 251.01; -6.3; 244.71; 34.5; 210.21; 0.0; 210.21; 0.0; 210.21; 258.83; 253.75; 3.61; 3.96; 58.2; 53.09
2019-03-31; 1687.01; 1338.81; 348.2; 0.0; 132.49; 6.28; 123.38; 224.82; -6.21; 218.61; 30.2; 188.41; 0.0; 188.41; 0.0; 188.41; 232.72; 227.65; 3.61; 3.96; 52.23; 47.64
2018-12-31; 1994.55; 1590.73; 403.81; 0.0; 128.91; 5.58; 120.1; 283.71; -6.27; 277.44; 45.28; 232.16; 0.0; 232.16; 0.0; 232.16; 292.05; 286.93; 3.63; 4.09; 64.28; 58.13
2018-09-30; 1852.41; 1472.65; 379.76; 0.0; 130.71; 3.5; 123.85; 255.91; -6.2; 249.71; 53.89; 195.82; 0.0; 195.82; 0.0; 195.82; 264.3; 259.27; 3.61; 4.06; 54.21; 48.28
2018-06-30; 1787.31; 1416.8; 370.51; 0.0; 128.31; 2.81; 122.59; 247.92; -6.33; 241.59; 38.41; 203.17; 0.0; 203.17; 0.0; 203.17; 255.82; 250.83; 3.63; 4.14; 55.9; 49.05
2018-03-31; 1529.41; 1211.95; 317.47; 0.0; 124.78; 2.5; 120.19; 197.28; -6.28; 191.0; 24.95; 166.05; 0.0; 166.05; 0.0; 166.05; 204.41; 199.37; 3.67; 4.22; 45.19; 39.34
2017-12-31; 1816.34; 1438.31; 378.03; 0.0; 116.0; 2.92; 110.4; 267.63; -6.32; 261.32; 136.7; 124.62; 0.0; 124.62; 0.0; 124.62; 275.9; 270.31; 3.73; 4.24; 33.5; 28.44
2017-09-30; 1667.92; 1307.97; 359.95; 0.0; 113.62; 2.3; 109.36; 250.58; -6.12; 244.46; 82.36; 162.1; 0.0; 162.1; 0.0; 162.1; 258.13; 252.54; 3.75; 4.26; 43.26; 38.02
2017-06-30; 1544.49; 1218.08; 326.41; 0.0; 115.03; 1.95; 111.53; 214.88; -5.91; 208.97; 61.09; 147.88; 0.0; 147.88; 0.0; 147.88; 222.23; 216.44; 3.75; 4.2; 39.46; 35.19
2017-03-31; 1277.09; 1026.02; 251.08; 0.0; 116.15; 1.41; 113.08; 138.0; -5.84; 132.16; 29.24; 102.92; 0.0; 102.92; 0.0; 102.92; 145.36; 139.66; 3.71; 4.1; 27.78; 25.12
2016-12-31; 1752.77; 1413.44; 339.33; 0.0; 108.05; 1.11; 104.48; 234.84; -6.18; 228.66; 77.77; 150.89; 0.0; 150.89; 0.0; 150.89; 242.98; 237.3; 3.85; 4.1; 39.78; 37.35
2016-09-30; 1537.57; 1242.29; 295.28; 0.0; 107.83; 1.18; 104.65; 190.63; -5.62; 185.0; 67.61; 117.39; 0.0; 117.39; 0.0; 117.39; 198.28; 192.63; 3.86; 4.12; 30.43; 28.46
2016-06-30; 1388.18; 1126.37; 261.81; 0.0; 114.88; 1.16; 112.28; 149.53; -4.81; 144.72; 53.04; 91.68; 0.0; 91.68; 0.0; 91.68; 156.46; 150.97; 3.9; 4.17; 23.51; 22.01
2016-03-31; 1144.03; 925.76; 218.27; 0.0; 112.56; 1.02; 109.87; 108.4; -5.09; 103.31; 38.01; 65.3; 0.0; 65.3; 0.0; 65.3; 115.52; 110.07; 3.88; 4.13; 16.81; 15.79
2015-12-31; 1555.28; 1238.59; 316.69; 0.0; 106.91; 0.87; 103.91; 212.77; -5.6; 207.17; 73.17; 134.0; 0.0; 134.0; 0.0; 134.0; 220.26; 214.9; 4.02; 4.25; 33.86; 31.75
2015-09-30; 1402.35; 1111.67; 290.68; 0.0; 102.58; 1.01; 99.6; 191.08; -6.08; 185.0; 68.53; 116.47; 0.0; 116.47; 0.0; 116.47; 198.49; 193.05; 4.05; 4.3; 28.75; 27.11
2015-06-30; 1243.63; 986.85; 256.78; 0.0; 104.81; 1.36; 102.14; 154.64; -5.96; 148.68; 55.29; 93.39; 0.0; 93.39; 0.0; 93.39; 161.4; 155.94; 4.07; 4.26; 22.97; 21.91
2015-03-31; 957.75; 781.67; 176.08; 0.0; 109.71; 0.83; 107.8; 68.28; -5.92; 62.36; 23.3; 39.06; 0.0; 39.06; 0.0; 39.06; 74.64; 69.36; 4.06; 4.24; 9.63; 9.22
2014-12-31; 1328.04; 1070.6; 257.44; 0.0; 102.71; 0.78; 100.36; 157.07; -5.85; 151.22; 51.77; 99.45; 0.0; 99.45; 0.0; 99.45; 163.66; 158.63; 4.28; 4.43; 23.32; 22.47
2014-09-30; 1203.17; 960.05; 243.11; 0.0; 96.06; 1.15; 93.55; 149.57; -5.78; 143.79; 53.64; 90.15; 0.0; 90.15; 0.0; 90.15; 155.6; 150.94; 4.2; 4.35; 21.49; 20.7
2014-06-30; 1102.05; 882.78; 219.28; 0.0; 106.2; 0.65; 104.73; 114.55; -5.72; 108.82; 40.65; 68.18; 0.0; 68.18; 0.0; 68.18; 119.59; 115.37; 4.35; 4.5; 15.68; 15.17
2014-03-31; 811.31; 655.15; 156.16; 0.0; 102.9; 1.06; 100.66; 55.5; -5.79; 49.71; 25.86; 23.85; 0.0; 23.85; 0.0; 23.85; 60.4; 56.69; 4.47; 4.62; 5.34; 5.16
2013-12-31; 1242.15; 1001.41; 240.74; 0.0; 85.73; 0.99; 83.15; 157.58; -5.76; 151.82; 54.01; 97.81; 0.0; 97.81; 0.0; 97.81; 163.18; 159.17; 4.74; 4.86; 20.76; 20.19
2013-09-30; 1188.97; 964.42; 224.55; 0.0; 89.92; 1.25; 87.28; 137.27; -5.68; 131.59; 48.66; 82.94; 0.0; 82.94; 0.0; 82.94; 142.2; 138.67; 4.59; 4.7; 18.08; 17.67
2013-06-30; 1009.89; 834.29; 175.6; 0.0; 92.37; 1.28; 90.05; 85.56; -5.37; 80.18; 29.49; 50.69; 0.0; 50.69; 0.0; 50.69; 89.68; 86.6; 4.89; 5.01; 10.37; 10.11
2013-03-31; 770.26; 624.09; 146.17; 0.0; 87.59; 1.14; 85.5; 60.67; -5.57; 55.1; 20.06; 35.04; 0.0; 35.04; 0.0; 35.04; 64.4; 61.63; 4.98; 5.12; 7.04; 6.84
2012-12-31; 943.74; 756.4; 187.34; 0.0; 88.45; 1.63; 85.82; 101.53; -5.5; 96.03; 35.4; 60.63; 0.0; 60.63; 0.0; 60.63; 104.8; 102.52; 5.01; 5.14; 12.28; 11.92
2012-09-30; 870.64; 702.44; 168.2; 0.0; 84.34; 0.76; 82.56; 85.64; -1.51; 84.13; 31.13; 53.0; 0.0; 53.0; 0.0; 53.0; 88.76; 86.67; 5.0; 5.13; 10.6; 10.33
2012-06-30; 769.78; 624.98; 144.81; 0.0; 82.08; 0.67; 80.59; 64.21; -0.26; 63.95; 17.12; 46.84; 0.0; 46.84; 0.0; 46.84; 66.95; 65.03; 5.11; 5.22; 9.17; 8.97
2012-03-31; 600.49; 491.83; 108.66; 0.0; 80.09; 0.98; 77.44; 31.22; -0.27; 30.96; 10.84; 20.12; 0.0; 20.12; 0.0; 20.12; 34.69; 32.89; 5.04; 5.16; 3.99; 3.9
2011-12-31; 741.29; 616.72; 124.57; 0.0; 76.45; 0.78; 73.75; 50.81; -0.37; 50.45; 18.05; 32.39; 0.0; 32.39; 0.0; 32.39; 54.45; 52.73; 5.47; 5.62; 6.21; 6.03
2011-09-30; 707.48; 572.38; 135.09; 0.0; 68.26; 0.99; 65.68; 69.42; -0.48; 68.94; 25.53; 43.41; 0.0; 43.41; 0.0; 43.41; 72.72; 71.01; 5.3; 5.44; 8.19; 7.98
2011-06-30; 695.88; 558.6; 137.28; 0.0; 75.94; 1.48; 73.38; 63.91; -0.55; 63.35; 24.91; 38.45; 0.0; 38.45; 0.0; 38.45; 66.63; 64.99; 5.79; 5.93; 6.65; 6.48
