Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 837.27; 52.72; 784.55; 0.0; 34.1; -118.82; 575.68; 208.87; 21.58; 230.45; 10.16; 220.29; 0.0; 220.29; 0.0; 219.57; 617.93; 208.87; 617.51; 617.96; 0.36; 0.36
2022-06-30; 810.42; 52.18; 758.24; 0.0; 34.14; -117.69; 563.99; 194.25; 44.23; 238.48; 14.66; 223.82; 0.0; 223.82; 0.0; 223.21; 594.75; 194.25; 601.67; 602.03; 0.37; 0.37
2022-03-31; 807.34; 52.34; 755.0; 0.0; 32.7; -113.44; 556.42; 198.58; 12.37; 210.95; 10.98; 199.97; 0.0; 199.97; 0.0; 199.37; 591.49; 198.58; 593.83; 594.04; 0.34; 0.34
2021-12-31; 685.02; 43.71; 641.31; 0.0; 30.52; -155.45; 656.53; -15.22; 29.82; 14.6; 10.13; 4.47; 0.0; 4.47; 0.0; 4.04; 338.33; -15.22; 414.54; 414.77; -0.06; -0.06
2021-09-30; 489.89; 29.66; 460.23; 0.0; 23.81; -91.15; 330.58; 129.65; 11.7; 141.35; 6.08; 135.28; 0.0; 135.28; 0.0; 135.0; 335.38; 129.65; 391.91; 392.05; 0.34; 0.34
2021-06-30; 463.3; 31.73; 431.56; 0.0; 21.85; -90.92; 313.86; 117.71; 16.29; 133.99; 9.22; 124.77; 0.0; 124.77; 0.0; 124.48; 312.46; 117.71; 374.24; 374.34; 0.33; 0.33
2021-03-31; 442.25; 28.5; 413.75; 0.0; 20.8; -122.27; 321.05; 92.71; 9.76; 102.46; 6.22; 96.24; 0.0; 96.24; 0.0; 95.94; 276.76; 92.71; 371.52; 371.6; 0.26; 0.26
2020-12-31; 413.54; 27.14; 386.4; 0.0; 16.67; -102.55; 294.27; 92.13; 30.52; 122.65; 4.5; 118.15; 0.0; 118.15; 0.0; 117.93; 272.38; 92.13; 345.28; 345.42; 0.33; 0.32
2020-09-30; 404.57; 25.41; 379.16; 0.0; 16.51; -181.9; 367.5; 11.66; 16.07; 27.73; 4.59; 23.14; 0.0; 23.14; 0.0; 22.9; 185.43; 11.66; 346.48; 346.75; 0.07; 0.07
2020-06-30; 414.64; 26.45; 388.18; 0.0; 19.06; -91.71; 279.1; 109.08; 1.82; 110.91; 2.84; 108.07; 0.0; 108.07; 0.0; 107.82; 284.27; 109.08; 343.51; 343.69; 0.31; 0.31
2020-03-31; 414.34; 25.61; 388.74; 0.0; 20.96; -90.22; 275.77; 112.96; 36.94; 149.91; 2.76; 147.14; 0.0; 147.14; 0.0; 146.83; 285.29; 112.96; 336.62; 336.98; 0.44; 0.44
2019-12-31; 394.1; 25.25; 368.85; 0.0; 16.33; -84.02; 256.95; 111.9; 19.39; 131.29; 1.74; 129.55; 0.0; 129.55; 0.0; 129.3; 273.75; 111.9; 315.84; 316.16; 0.38; 0.38
2019-09-30; 374.25; 20.35; 353.89; 0.0; 16.46; -86.91; 252.8; 101.1; 2.0; 103.1; 1.82; 101.28; 0.0; 101.28; 0.0; 101.05; 255.77; 101.1; 319.95; 320.26; 0.32; 0.32
2019-06-30; 365.45; 21.34; 344.11; 0.0; 18.59; -85.55; 254.56; 89.55; 7.03; 96.58; 1.16; 95.42; 0.0; 95.42; 0.0; 95.19; 246.15; 89.55; 311.03; 311.32; 0.31; 0.31
2019-03-31; 354.37; 21.64; 332.73; 0.0; 15.11; -74.69; 227.32; 105.41; 7.26; 112.67; 1.45; 111.23; 0.0; 111.23; 0.0; 110.94; 247.3; 105.41; 303.53; 303.82; 0.37; 0.37
2018-12-31; 342.58; 17.73; 324.84; 0.0; 34.18; -71.87; 243.76; 81.08; 5.83; 86.91; 1.61; 85.3; 0.0; 85.3; 0.0; 85.07; 235.61; 81.08; 289.43; 289.92; 0.29; 0.29
2018-09-30; 338.08; 15.81; 322.27; 0.0; 16.33; -76.2; 229.5; 92.77; 7.81; 100.58; 1.3; 99.28; 0.0; 99.28; 0.0; 99.0; 235.12; 92.77; 290.66; 291.21; 0.34; 0.34
2018-06-30; 328.89; 16.24; 312.65; 0.0; 17.95; -70.58; 222.53; 90.12; 7.79; 97.91; 1.21; 96.7; 0.0; 96.7; 0.0; 96.38; 230.57; 90.12; 284.93; 285.37; 0.34; 0.34
2018-03-31; 318.3; 16.55; 301.74; 0.0; 15.68; -73.64; 220.42; 81.32; 3.22; 84.54; 1.22; 83.31; 0.0; 83.31; 0.0; 83.16; 217.28; 81.32; 283.92; 284.35; 0.29; 0.29
2017-12-31; 310.65; 16.65; 294.0; 0.0; 15.22; -110.58; 252.84; 41.17; 23.21; 64.37; 3.42; 60.95; 0.0; 60.95; 0.0; 60.85; 174.96; 41.17; 273.47; 273.94; 0.21; 0.21
2017-09-30; 306.92; 17.27; 289.65; 0.0; 13.88; -63.32; 204.77; 84.89; 4.32; 89.21; 1.13; 88.07; 0.0; 88.07; 0.0; 87.94; 217.68; 84.89; 275.51; 276.05; 0.32; 0.32
2017-06-30; 300.17; 16.49; 283.68; 0.0; 15.78; -65.95; 204.82; 78.86; 2.84; 81.7; 0.44; 81.26; 0.0; 81.26; 0.0; 81.14; 208.1; 78.86; 272.59; 273.1; 0.3; 0.3
2017-03-31; 298.02; 19.07; 278.95; 0.0; 13.56; -64.74; 199.4; 79.55; 10.53; 90.08; 1.05; 89.03; 0.0; 89.03; 0.0; 71.59; 205.16; 79.55; 263.34; 263.93; 0.27; 0.27
2016-12-31; 287.84; 17.41; 270.43; 0.0; 13.56; -52.64; 183.96; 86.48; 6.7; 93.17; 0.45; 92.72; 0.0; 92.72; 0.0; 85.67; 208.68; 86.48; 255.07; 255.62; 0.34; 0.34
2016-09-30; 277.17; 15.68; 261.5; 0.0; 12.1; -61.72; 187.74; 73.76; 4.33; 78.1; 0.89; 77.2; 0.0; 77.2; 0.0; 70.3; 191.64; 73.76; 258.09; 258.67; 0.27; 0.27
2016-06-30; 271.04; 14.67; 256.37; 0.0; 13.98; -63.68; 188.0; 68.36; 8.66; 77.02; 0.95; 76.07; 0.0; 76.07; 0.0; 69.05; 184.08; 68.36; 253.38; 253.97; 0.27; 0.27
2016-03-31; 267.12; 15.11; 252.01; 0.0; 12.32; -62.6; 182.85; 69.16; 2.29; 71.45; 0.96; 70.48; 0.0; 70.48; 0.0; 63.47; 180.8; 69.16; 250.17; 250.7; 0.25; 0.25
2015-12-31; 263.67; 12.9; 250.77; 0.0; 12.97; -53.36; 172.06; 78.71; 5.13; 83.83; 0.72; 83.11; 0.0; 83.11; 0.0; 76.17; 187.6; 78.71; 235.77; 236.21; 0.3; 0.31
2015-09-30; 258.89; 13.54; 245.35; 0.0; 10.86; -67.81; 183.01; 62.33; 6.22; 68.56; 0.74; 67.81; 0.0; 67.81; 0.0; 60.7; 167.42; 62.33; 236.21; 236.74; 0.26; 0.26
2015-06-30; 253.86; 14.94; 238.92; 0.0; 12.61; -61.91; 175.62; 63.3; 3.67; 66.98; 0.63; 66.35; 0.0; 66.35; 0.0; 59.32; 169.63; 63.3; 232.4; 232.89; 0.26; 0.25
2015-03-31; 246.87; 13.98; 232.89; 0.0; 12.86; -60.55; 171.45; 61.44; 7.22; 68.66; 1.07; 67.58; 0.0; 67.58; 0.0; 60.49; 162.29; 61.44; 225.35; 225.83; 0.27; 0.27
2014-12-31; 247.57; 20.4; 227.18; 0.0; 15.59; -60.57; 172.69; 54.48; 25.0; 79.48; 1.1; 78.38; 0.0; 78.38; -0.3; 71.02; 153.59; 54.48; 218.39; 218.77; 0.32; 0.32
2014-09-30; 235.71; 12.77; 222.94; 0.0; 11.03; -53.31; 159.59; 63.35; 10.97; 74.32; 0.7; 73.63; 0.0; 73.63; 0.0; 57.94; 158.12; 63.35; 222.06; 222.24; 0.26; 0.26
2014-06-30; 228.65; 10.13; 218.52; 0.0; 11.59; -53.21; 157.69; 60.83; 1.96; 62.79; 0.57; 62.22; 0.0; 62.22; 0.02; 51.42; 156.15; 60.83; 220.98; 221.36; 0.23; 0.23
2014-03-31; 221.57; 10.58; 211.0; 0.0; 12.89; -53.4; 156.26; 54.74; 1.27; 56.01; 1.09; 54.92; 0.0; 54.92; 3.08; 47.18; 147.6; 54.74; 207.0; 207.32; 0.23; 0.23
2013-12-31; 216.16; 13.06; 203.1; 0.0; 16.52; -50.77; 152.73; 50.37; 0.0; 50.37; 0.58; 49.79; 0.0; 49.79; 14.84; 53.85; 142.38; 50.37; 191.75; 191.78; 0.25; 0.26
2013-09-30; 202.08; 8.47; 193.62; 0.0; 16.64; -49.84; 147.54; 46.08; 0.0; 46.08; 0.57; 45.51; 0.0; 45.51; 6.4; 41.09; 133.5; 46.08; 195.77; 196.62; 0.21; 0.21
2013-06-30; 186.44; 7.75; 178.69; 0.0; 12.09; -39.52; 126.12; 52.57; 0.0; 52.57; 0.62; 51.94; 0.0; 51.94; 4.57; 45.96; 129.79; 52.57; 195.57; 196.08; 0.23; 0.23
2013-03-31; 175.52; 9.57; 165.95; 0.0; 11.63; -41.6; 132.01; 33.94; 0.0; 33.94; 0.58; 33.37; 0.0; 33.37; 39.86; 62.73; 104.73; 33.94; 171.66; 172.05; 0.37; 0.36
2012-12-31; 141.99; 15.87; 126.12; 0.0; 10.35; -39.3; 93.21; 32.91; 0.0; 32.91; -0.15; 33.06; 0.0; 33.06; 5.96; 28.54; 78.52; 32.91; 132.82; 132.88; 0.21; 0.21
