Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3443.4; 2757.1; 686.3; 0.0; 86.4; 0.0; 140.3; 546.0; -29.1; 516.9; 134.7; 382.2; 0.0; 383.3; 0.0; 364.5; 601.3; 546.0; 205.0; 206.3; 1.78; 1.77
2022-06-30; 3567.2; 2859.0; 708.2; 0.0; 110.9; 0.0; 166.6; 541.6; -40.1; 501.5; 133.1; 368.4; 0.0; 370.0; 0.0; 348.4; 598.6; 541.6; 205.3; 206.9; 1.7; 1.68
2022-03-31; 3410.3; 2792.0; 618.3; 0.0; 96.7; -113.4; 265.3; 353.0; -42.8; 310.2; 115.5; 194.7; 0.0; 194.6; 0.0; 173.8; 409.6; 353.0; 208.3; 209.8; 0.83; 0.83
2021-12-31; 3855.9; 3069.3; 786.6; 0.0; 109.9; 0.0; 164.1; 622.5; -44.4; 578.1; 133.6; 444.5; 0.0; 449.9; 0.0; 416.2; 678.1; 622.5; 214.3; 215.6; 1.96; 1.95
2021-09-30; 3435.0; 2747.3; 687.7; 0.0; 95.0; 0.0; 146.1; 541.6; -43.7; 497.9; 120.0; 377.9; 0.0; 380.1; 0.0; 355.6; 594.0; 541.6; 214.0; 215.4; 1.66; 1.65
2021-06-30; 3571.6; 2846.5; 725.1; 0.0; 103.2; 0.0; 156.7; 568.4; -73.5; 494.9; 123.2; 371.7; 0.0; 371.6; 0.0; 348.2; 611.7; 568.4; 215.4; 217.1; 1.62; 1.6
2021-03-31; 3426.9; 2836.6; 590.3; 0.0; 71.6; 0.0; 124.9; 465.4; -47.5; 417.9; 111.9; 306.0; 0.0; 306.0; 0.0; 287.8; 517.4; 465.4; 215.6; 216.8; 1.33; 1.33
2020-12-31; 3757.0; 2987.1; 769.9; 0.0; 101.4; 0.0; 155.2; 614.7; -48.0; 566.7; 141.5; 425.2; 0.0; 428.6; 0.0; 398.2; 667.2; 614.7; 215.6; 216.2; 1.85; 1.84
2020-09-30; 3206.5; 2560.2; 646.3; 0.0; 90.2; 0.0; 144.9; 501.4; -48.5; 452.9; 120.9; 332.0; 0.0; 334.9; 0.0; 313.3; 554.7; 501.4; 215.4; 215.8; 1.45; 1.45
2020-06-30; 2800.7; 2321.1; 479.6; 0.0; 82.1; -277.9; 417.1; 62.5; -47.2; 15.3; 21.9; -6.6; 0.0; -14.4; 0.0; -24.2; 118.3; 62.5; 214.9; 215.4; -0.11; -0.11
