Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3798.62; 1863.66; 1934.96; 0.0; 1130.77; 0.0; 1130.77; 804.19; -42.34; 761.85; 176.41; 585.44; 0.0; 585.44; 0.0; 585.44; 895.45; 804.19; 63.29; 63.86; 9.25; 9.17
2022-06-30; 3670.74; 1786.02; 1884.72; 0.0; 1086.17; 0.0; 1086.17; 798.55; -41.25; 757.3; 180.54; 576.76; 0.0; 576.76; 0.0; 576.76; 884.81; 798.55; 65.12; 65.69; 8.86; 8.78
2022-03-31; 3296.01; 1587.94; 1708.07; 0.0; 1038.54; 0.0; 1038.54; 669.53; -36.27; 633.26; 151.38; 481.88; 0.0; 481.88; 0.0; 481.88; 753.56; 669.53; 66.57; 67.19; 7.24; 7.17
2021-12-31; 3291.49; 1556.96; 1734.54; 0.0; 1058.65; 0.0; 1058.65; 675.88; -31.66; 644.22; 125.25; 518.97; 0.0; 518.97; 0.0; 518.97; 767.54; 675.88; 68.97; 69.61; 7.71; 7.64
2021-09-30; 3479.57; 1661.33; 1818.24; 0.0; 1063.64; 0.0; 1063.64; 754.6; -34.07; 720.53; 161.88; 558.65; 0.0; 558.65; 0.0; 558.65; 834.42; 754.6; 68.61; 69.24; 8.14; 8.07
2021-06-30; 3465.6; 1639.22; 1826.38; 0.0; 1030.8; 0.0; 1030.8; 795.58; -34.25; 761.33; 175.88; 585.45; 0.0; 585.45; 0.0; 585.45; 875.88; 795.58; 69.62; 70.26; 8.41; 8.33
2021-03-31; 3090.9; 1450.1; 1640.8; 0.0; 949.69; 0.0; 949.69; 691.11; -35.28; 655.83; 154.22; 501.61; 0.0; 501.61; 0.0; 501.61; 771.93; 691.11; 70.38; 71.02; 7.13; 7.06
2020-12-31; 2828.77; 1356.63; 1472.14; 0.0; 937.87; 0.0; 937.87; 534.27; -34.34; 499.93; 106.98; 392.95; 0.0; 392.95; 0.0; 392.95; 618.68; 534.27; 73.82; 74.46; 5.45; 5.39
2020-09-30; 3207.64; 1527.17; 1680.47; 0.0; 955.46; 0.0; 955.46; 725.01; -38.61; 686.41; 159.15; 527.25; 0.0; 527.25; 0.0; 527.25; 805.8; 725.01; 73.92; 74.59; 7.13; 7.07
2020-06-30; 3091.59; 1454.41; 1637.18; 0.0; 900.69; 0.0; 900.69; 736.49; -36.08; 700.41; 168.74; 531.67; 0.0; 531.67; 0.0; 531.67; 815.52; 736.49; 74.2; 74.83; 7.16; 7.1
2020-03-31; 2476.49; 1180.58; 1295.91; 0.0; 872.35; 0.0; 872.35; 423.56; -43.9; 379.66; 79.22; 300.44; 0.0; 300.44; 0.0; 300.44; 498.56; 423.56; 75.02; 75.66; 4.0; 3.97
2019-12-31; 2482.97; 1158.39; 1324.58; 0.0; 883.08; 0.0; 883.08; 441.5; -32.19; 409.31; 84.4; 324.92; 0.0; 324.92; 0.0; 324.92; 513.01; 441.5; 76.98; 77.79; 4.28; 4.24
2019-09-30; 2666.53; 1244.0; 1422.53; 0.0; 886.17; 0.0; 886.17; 536.36; -34.47; 501.89; 110.6; 391.29; 0.0; 391.29; 0.0; 391.29; 605.48; 536.36; 76.17; 76.97; 5.14; 5.08
2019-06-30; 2589.87; 1221.59; 1368.29; 0.0; 870.21; 0.0; 870.21; 498.07; -33.1; 464.97; 111.29; 353.68; 0.0; 353.68; 0.0; 353.68; 567.35; 498.07; 77.61; 78.41; 4.56; 4.51
2019-03-31; 2410.61; 1131.32; 1279.29; 0.0; 834.5; 0.0; 834.5; 444.79; -30.63; 414.15; 93.0; 321.15; 0.0; 321.15; 0.0; 321.15; 509.67; 444.79; 78.48; 79.3; 4.09; 4.05
2018-12-31; 2314.96; 1080.64; 1234.32; 0.0; 806.27; 0.0; 806.27; 428.04; -34.88; 393.16; 92.8; 300.36; 0.0; 300.36; 0.0; 300.36; 494.57; 428.04; 81.41; 82.28; 3.76; 3.71
2018-09-30; 2482.72; 1166.96; 1315.76; 0.0; 830.61; 0.0; 830.61; 485.15; -29.5; 455.65; 89.5; 366.15; 0.0; 366.15; 0.0; 366.15; 548.58; 485.15; 80.59; 81.41; 4.54; 4.5
2018-06-30; 2456.07; 1167.43; 1288.64; 0.0; 809.49; 0.0; 809.49; 479.15; -29.28; 449.87; 96.8; 353.07; 0.0; 353.07; 0.0; 353.07; 540.88; 479.15; 81.73; 82.54; 4.32; 4.28
2018-03-31; 2282.68; 1081.42; 1201.26; 0.0; 778.41; 0.0; 778.41; 422.85; -27.44; 395.41; 90.5; 304.91; 0.0; 304.91; 0.0; 304.91; 493.56; 422.85; 83.53; 84.52; 3.65; 3.61
2017-12-31; 2190.81; 1031.63; 1159.18; 0.0; 756.35; 0.0; 756.35; 402.83; -26.11; 376.72; 74.41; 302.31; 0.0; 302.31; 0.0; 302.31; 463.97; 402.83; 88.43; 89.5; 3.54; 3.52
2017-09-30; 2339.83; 1109.54; 1230.29; 0.0; 768.33; 0.0; 768.33; 461.96; -22.43; 439.53; 155.8; 283.73; 0.0; 283.73; 0.0; 283.73; 521.24; 461.96; 86.95; 88.03; 3.26; 3.22
2017-06-30; 2290.83; 1090.77; 1200.06; 0.0; 742.62; 0.0; 742.62; 457.45; -21.12; 436.33; 153.5; 282.82; 0.0; 282.82; 0.0; 282.82; 516.1; 457.45; 90.03; 91.3; 3.14; 3.1
2017-03-31; 2156.26; 1025.11; 1131.15; 0.0; 727.99; 0.0; 727.99; 403.16; -17.93; 385.22; 120.29; 264.93; 0.0; 264.93; 0.0; 264.93; 460.81; 403.16; 92.0; 93.5; 2.88; 2.83
2016-12-31; 2099.3; 985.08; 1114.23; 0.0; 706.52; 0.0; 706.52; 407.71; -16.78; 390.93; 144.9; 246.03; 0.0; 246.03; 0.0; 246.03; 464.77; 407.71; 95.45; 96.72; 2.62; 2.59
2016-09-30; 2220.95; 1050.93; 1170.03; 0.0; 722.22; 0.0; 722.22; 447.81; -15.92; 431.89; 153.4; 278.49; 0.0; 278.49; 0.0; 278.49; 503.46; 447.81; 94.89; 96.12; 2.93; 2.9
2016-06-30; 2176.69; 1049.51; 1127.18; 0.0; 702.12; 0.0; 702.12; 425.06; -16.27; 408.79; 151.0; 257.79; 0.0; 257.79; 0.0; 257.79; 479.34; 425.06; 95.97; 97.28; 2.69; 2.65
2016-03-31; 2096.15; 998.57; 1097.58; 0.0; 678.95; 0.0; 678.95; 418.63; -13.05; 405.57; 150.2; 255.37; 0.0; 255.37; 0.0; 255.37; 471.95; 418.63; 97.14; 98.54; 2.63; 2.59
2015-12-31; 1949.05; 921.41; 1027.64; 0.0; 665.02; 0.0; 665.02; 362.62; -12.99; 349.63; 131.05; 218.58; 0.0; 218.58; 0.0; 218.58; 415.34; 362.62; 99.97; 101.51; 2.23; 2.18
2015-09-30; 2080.2; 990.95; 1089.25; 0.0; 673.99; 0.0; 673.99; 415.26; -14.39; 400.87; 134.6; 266.27; 0.0; 266.27; 0.0; 266.27; 467.84; 415.26; 99.27; 100.77; 2.68; 2.64
2015-06-30; 2035.52; 976.73; 1058.79; 0.0; 673.02; 0.0; 673.02; 385.77; -13.56; 372.21; 138.7; 233.51; 0.0; 233.51; 0.0; 233.51; 437.35; 385.77; 100.55; 102.11; 2.32; 2.29
2015-03-31; 1901.9; 914.94; 986.96; 0.0; 636.59; 0.0; 636.59; 350.37; -12.71; 337.66; 124.8; 212.86; 0.0; 212.86; 0.0; 212.86; 405.85; 350.37; 101.61; 103.26; 2.09; 2.06
2014-12-31; 1764.18; 852.07; 912.11; 0.0; 609.1; 0.0; 609.1; 303.01; -12.91; 290.11; 108.43; 181.68; 0.0; 181.68; 0.0; 181.68; 354.23; 303.01; 104.26; 106.04; 1.78; 1.76
2014-09-30; 1876.87; 908.67; 968.2; 0.0; 624.43; 0.0; 624.43; 343.77; -11.45; 332.32; 115.32; 217.0; 0.0; 217.0; 0.0; 217.0; 392.8; 343.77; 103.5; 105.22; 2.1; 2.06
2014-06-30; 1847.09; 896.21; 950.88; 0.0; 614.4; 0.0; 614.4; 336.47; -11.68; 324.8; 119.15; 205.65; 0.0; 205.65; 0.0; 205.65; 384.52; 336.47; 105.77; 107.56; 1.94; 1.91
2014-03-31; 1727.94; 850.23; 877.72; 0.0; 590.6; 0.0; 590.6; 287.12; -12.16; 274.96; 101.1; 173.86; 0.0; 173.86; 0.0; 173.86; 335.12; 287.12; 106.19; 108.07; 1.64; 1.61
2013-12-31; 1621.23; 801.93; 819.3; 0.0; 563.54; 0.0; 563.54; 255.76; -11.86; 243.9; 91.55; 152.35; 0.0; 152.35; 0.0; 152.35; 303.4; 255.76; 109.24; 111.1; 1.43; 1.4
2013-09-30; 1728.03; 848.86; 879.16; 0.0; 578.78; 0.0; 578.78; 300.38; -12.09; 288.29; 101.8; 186.49; 0.0; 186.49; 0.0; 186.49; 347.3; 300.38; 108.31; 110.19; 1.72; 1.69
2013-06-30; 1714.97; 843.09; 871.88; 0.0; 575.61; 0.0; 575.61; 296.26; -10.13; 286.13; 109.0; 177.13; 0.0; 177.13; 0.0; 177.13; 342.27; 296.26; 110.28; 112.08; 1.61; 1.58
2013-03-31; 1585.01; 786.35; 798.66; 0.0; 547.58; 0.0; 547.58; 251.08; -10.46; 240.63; 86.3; 154.33; 0.0; 154.33; 0.0; 154.33; 295.76; 251.08; 111.56; 113.4; 1.38; 1.36
2012-12-31; 1488.38; 738.0; 750.38; 0.0; 527.41; 0.0; 527.41; 222.97; -10.29; 212.68; 79.88; 132.8; 0.0; 132.8; 0.0; 132.8; 268.07; 222.97; 121.18; 123.31; 1.16; 1.14
2012-09-30; 1601.56; 796.07; 805.49; 0.0; 542.17; 0.0; 542.17; 263.32; -9.34; 253.98; 94.65; 159.33; 0.0; 159.33; 0.0; 159.33; 308.04; 263.32; 118.55; 120.54; 1.34; 1.32
2012-06-30; 1562.85; 782.99; 779.86; 0.0; 536.26; 0.0; 536.26; 243.6; -8.53; 235.07; 88.95; 146.12; 0.0; 146.12; 0.0; 146.12; 288.42; 243.6; 124.87; 127.19; 1.17; 1.15
2012-03-31; 1529.39; 767.71; 761.68; 0.0; 514.18; 0.0; 514.18; 247.5; -7.71; 239.79; 92.3; 147.49; 0.0; 147.49; 0.0; 147.49; 291.75; 247.5; 126.97; 129.33; 1.16; 1.14
