Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2272.0; 1012.0; 1260.0; 0.0; 765.0; -52.0; 1087.0; 173.0; -118.0; 55.0; -59.0; 114.0; 0.0; 114.0; 0.0; 114.0; 501.0; 173.0; 497.0; 500.0; 0.23; 0.22
2022-06-30; 2076.0; 765.0; 1311.0; 0.0; 751.0; 5.0; 1015.0; 296.0; -198.0; 98.0; -33.0; 131.0; 0.0; 131.0; 0.0; 131.0; 620.0; 296.0; 497.0; 500.0; 0.26; 0.26
2022-03-31; 2313.0; 1245.0; 1068.0; 0.0; 794.0; -43.0; 1120.0; -52.0; -102.0; -154.0; -152.0; -2.0; 0.0; -2.0; 0.0; -2.0; 309.0; -52.0; 501.0; 501.0; 0.0; 0.0
2021-12-31; 3056.0; 1004.0; 2052.0; 0.0; 858.0; -22.0; 1150.0; 902.0; -271.0; 631.0; 186.0; 445.0; 0.0; 445.0; 0.0; 445.0; 1238.0; 902.0; 504.0; 504.0; 0.87; 0.88
2021-09-30; 1903.0; 860.0; 1043.0; 0.0; 807.0; -2158.0; 3248.0; -2205.0; -41.0; -2246.0; -682.0; -1564.0; 0.0; -1564.0; 0.0; -1564.0; -1839.0; -2205.0; 504.0; 504.0; -3.1; -3.1
2021-06-30; 1874.0; 606.0; 1268.0; 0.0; 783.0; -457.0; 1562.0; -294.0; 55.0; -239.0; -62.0; -177.0; 0.0; -177.0; 0.0; -177.0; 112.0; -294.0; 504.0; 504.0; -0.35; -0.35
2021-03-31; 2889.0; 1029.0; 1860.0; 0.0; 778.0; 0.0; 1119.0; 741.0; 24.0; 765.0; 117.0; 648.0; 0.0; 648.0; 0.0; 648.0; 1174.0; 741.0; 504.0; 507.0; 1.29; 1.28
2020-12-31; 2402.0; 780.0; 1622.0; 0.0; 861.0; 1.0; 1189.0; 433.0; 120.0; 553.0; 122.0; 431.0; 0.0; 431.0; 0.0; 431.0; 838.0; 433.0; 504.0; 507.0; 0.85; 0.85
2020-09-30; 2370.0; 775.0; 1595.0; 0.0; 767.0; 122.0; 962.0; 633.0; 63.0; 696.0; 121.0; 575.0; 0.0; 575.0; 0.0; 575.0; 1051.0; 633.0; 504.0; 507.0; 1.15; 1.14
2020-06-30; 2050.0; 595.0; 1455.0; 0.0; 733.0; 0.0; 1048.0; 407.0; 153.0; 560.0; 109.0; 451.0; 0.0; 451.0; 0.0; 451.0; 800.0; 407.0; 504.0; 507.0; 0.89; 0.89
2020-03-31; 2781.0; 906.0; 1875.0; 0.0; 754.0; 0.0; 1078.0; 797.0; -305.0; 492.0; 44.0; 448.0; 0.0; 448.0; 0.0; 448.0; 1201.0; 797.0; 504.0; 507.0; 0.89; 0.88
2019-12-31; 2478.0; 791.0; 1687.0; 0.0; 860.0; 0.0; 1180.0; 507.0; 28.0; 535.0; 98.0; 437.0; 0.0; 437.0; 0.0; 437.0; 896.0; 507.0; 504.0; 507.0; 0.86; 0.86
2019-09-30; 2302.0; 753.0; 1549.0; 0.0; 745.0; -7.0; 1059.0; 490.0; -57.0; 433.0; 30.0; 403.0; 0.0; 403.0; 0.0; 403.0; 879.0; 490.0; 504.0; 507.0; 0.8; 0.79
2019-06-30; 2316.0; 704.0; 1612.0; 0.0; 750.0; -395.0; 1452.0; 160.0; -27.0; 133.0; -20.0; 153.0; 0.0; 153.0; 0.0; 153.0; 531.0; 160.0; 504.0; 507.0; 0.3; 0.3
2019-03-31; 2980.0; 1124.0; 1856.0; 0.0; 756.0; 0.0; 1070.0; 786.0; 63.0; 849.0; 149.0; 700.0; 0.0; 700.0; 0.0; 700.0; 1171.0; 786.0; 504.0; 507.0; 1.39; 1.38
2018-12-31; 2468.0; 869.0; 1599.0; 0.0; 848.0; 0.0; 1098.0; 501.0; -301.0; 200.0; 1.0; 199.0; 0.0; 199.0; 0.0; 199.0; 872.0; 501.0; 504.0; 507.0; 0.39; 0.39
2018-09-30; 2394.0; 804.0; 1590.0; 0.0; 742.0; 0.0; 1036.0; 554.0; -25.0; 529.0; 117.0; 412.0; 0.0; 412.0; 0.0; 412.0; 924.0; 554.0; 504.0; 507.0; 0.82; 0.81
2018-06-30; 2016.0; 600.0; 1416.0; 0.0; 725.0; 0.0; 1005.0; 411.0; -45.0; 366.0; 97.0; 269.0; 0.0; 269.0; 0.0; 269.0; 758.0; 411.0; 504.0; 507.0; 0.53; 0.53
2018-03-31; 2818.0; 952.0; 1866.0; 0.0; 754.0; 0.0; 1034.0; 832.0; -72.0; 760.0; 202.0; 558.0; 0.0; 558.0; 0.0; 558.0; 1186.0; 832.0; 504.0; 507.0; 1.11; 1.1
2017-12-31; 2107.0; 706.0; 1401.0; 0.0; 773.0; 0.0; 1038.0; 363.0; -53.0; 310.0; -646.0; 956.0; 0.0; 956.0; 0.0; 956.0; 699.0; 363.0; 505.0; 507.0; 1.89; 1.88
2017-09-30; 2254.0; 616.0; 1638.0; 0.0; 693.0; 0.0; 945.0; 693.0; -46.0; 647.0; 252.0; 395.0; 0.0; 395.0; 0.0; 395.0; 1024.0; 693.0; 505.0; 507.0; 0.78; 0.78
2017-06-30; 2142.0; 588.0; 1554.0; 0.0; 718.0; 0.0; 1359.0; 195.0; -27.0; 168.0; 59.0; 109.0; 0.0; 109.0; 0.0; 109.0; 908.0; 195.0; 505.0; 507.0; 0.22; 0.22
2017-03-31; 2591.0; 868.0; 1723.0; 0.0; 717.0; 0.0; 1545.0; 178.0; -35.0; 143.0; 29.0; 114.0; 0.0; 114.0; 0.0; 114.0; 1086.0; 178.0; 505.0; 508.0; 0.23; 0.22
2016-12-31; 1995.0; 575.0; 1420.0; 0.0; 776.0; 0.0; 1573.0; -153.0; -96.0; -249.0; -151.0; -98.0; 0.0; -98.0; 0.0; -98.0; 715.0; -153.0; 505.0; 508.0; -0.19; -0.19
2016-09-30; 2450.0; 866.0; 1584.0; 0.0; 776.0; 0.0; 1007.0; 577.0; -62.0; 515.0; 188.0; 327.0; 0.0; 327.0; 0.0; 327.0; 894.0; 577.0; 505.0; 508.0; 0.65; 0.64
2016-06-30; 1905.0; 624.0; 1281.0; 0.0; 710.0; 0.0; 934.0; 347.0; -69.0; 278.0; 91.0; 187.0; 0.0; 187.0; 0.0; 187.0; 641.0; 347.0; 505.0; 508.0; 0.37; 0.37
2016-03-31; 2616.0; 836.0; 1780.0; 0.0; 729.0; 0.0; 953.0; 827.0; -73.0; 754.0; 283.0; 471.0; 0.0; 471.0; 0.0; 471.0; 1136.0; 827.0; 505.0; 508.0; 0.93; 0.93
2015-12-31; 2278.0; 684.0; 1594.0; 0.0; 808.0; 0.0; 1062.0; 532.0; -91.0; 441.0; 132.0; 309.0; 0.0; 309.0; 0.0; 309.0; 941.0; 532.0; 505.0; 508.0; 0.61; 0.6
2015-09-30; 2688.0; 815.0; 1873.0; 0.0; 746.0; 0.0; 1059.0; 814.0; -90.0; 724.0; 285.0; 439.0; 0.0; 439.0; 0.0; 439.0; 1183.0; 814.0; 505.0; 508.0; 0.87; 0.87
2015-06-30; 2314.0; 668.0; 1646.0; 0.0; 761.0; 0.0; 1078.0; 568.0; -37.0; 531.0; 186.0; 345.0; 0.0; 345.0; 0.0; 345.0; 936.0; 568.0; 506.0; 508.0; 0.68; 0.68
