Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3943.82; 2757.23; 1186.58; 0.0; 350.11; -25.19; 375.31; 811.28; 0.0; 811.28; 183.35; 627.93; 0.0; 627.93; 0.0; 624.19; 829.82; 811.28; 230.97; 232.3; 2.7; 2.69
2022-06-30; 3926.19; 2706.86; 1219.33; 0.0; 351.26; -3.5; 354.75; 864.57; 0.0; 864.57; 212.14; 652.43; 0.0; 652.43; 0.0; 648.55; 881.78; 864.57; 236.33; 237.65; 2.74; 2.73
2022-03-31; 3187.61; 2256.56; 931.05; 0.0; 329.02; -2.14; 331.16; 599.89; 0.0; 599.89; 145.17; 454.72; 0.0; 454.72; 0.0; 454.72; 616.07; 599.89; 245.8; 246.87; 1.84; 1.83
2021-12-31; 4358.56; 3164.02; 1194.54; 0.0; 344.22; 5.6; 338.62; 855.92; 0.0; 855.92; 192.65; 663.26; 0.0; 663.26; 0.0; 654.8; 872.85; 855.92; 259.29; 259.93; 2.56; 2.58
2021-09-30; 3479.05; 2533.39; 945.66; 0.0; 320.51; -4.75; 325.26; 620.4; 0.0; 620.4; 144.85; 475.55; 0.0; 475.55; 0.0; 471.71; 638.02; 620.4; 258.15; 258.9; 1.83; 1.82
2021-06-30; 3359.48; 2447.1; 912.38; 0.0; 272.29; -0.62; 272.91; 639.47; 0.0; 639.47; 136.07; 503.4; 0.0; 503.4; 0.0; 499.37; 657.74; 639.47; 262.1; 262.75; 1.91; 1.9
2021-03-31; 2729.79; 1999.94; 729.85; 0.0; 271.69; -2.64; 274.32; 455.52; -61.47; 394.05; 89.94; 304.11; 0.0; 304.11; 0.0; 304.11; 472.66; 455.52; 265.41; 266.01; 1.14; 1.13
2020-12-31; 3192.36; 2383.42; 808.94; 0.0; 279.66; -5.53; 285.19; 523.75; 0.0; 523.75; 85.64; 438.11; 0.0; 438.11; 0.0; 433.72; 541.29; 523.75; 268.55; 269.41; 1.61; 1.61
2020-09-30; 2954.96; 2195.05; 759.91; 0.0; 271.26; -4.48; 275.74; 484.17; 0.0; 484.17; 67.77; 416.4; 0.0; 416.4; 0.0; 413.01; 501.17; 484.17; 268.36; 268.96; 1.54; 1.54
2020-06-30; 2593.78; 1934.63; 659.15; 0.0; 196.86; -5.29; 202.14; 457.01; 0.0; 457.01; 108.39; 348.62; 0.0; 348.62; 0.0; 345.75; 473.4; 457.01; 268.32; 269.02; 1.29; 1.29
2020-03-31; 2294.98; 1744.83; 550.15; 0.0; 263.67; -2.52; 286.38; 263.77; 0.0; 263.77; 60.06; 203.71; 0.0; 203.71; 0.0; 201.9; 299.11; 263.77; 270.0; 271.22; 0.75; 0.74
2019-12-31; 3016.91; 2315.52; 701.39; 0.0; 261.55; 1.03; 260.51; 440.88; 0.0; 435.95; 100.15; 335.8; 0.0; 335.8; 0.0; 332.25; 454.57; 440.88; 274.5; 275.3; 1.23; 1.22
2019-09-30; 2710.36; 2068.49; 641.88; 0.0; 270.62; -5.11; 275.73; 366.15; 0.0; 366.15; 93.04; 273.1; 0.0; 273.1; 0.0; 270.39; 379.95; 366.15; 272.99; 273.63; 0.99; 0.99
2019-06-30; 2488.99; 1905.27; 583.72; 0.0; 259.44; -3.5; 262.94; 320.78; 0.0; 320.78; 79.73; 241.04; 0.0; 241.04; 0.0; 238.65; 334.06; 320.78; 276.65; 277.58; 0.86; 0.86
2019-03-31; 1996.69; 1526.29; 470.4; 0.0; 252.73; -0.97; 253.7; 216.7; 0.0; 216.7; 49.95; 166.76; 0.0; 166.76; 0.0; 165.04; 229.91; 216.7; 277.64; 278.64; 0.59; 0.59
2018-12-31; 2999.15; 2370.24; 628.91; 0.0; 292.32; -7.1; 299.42; 329.49; 0.0; 329.49; 91.84; 237.65; 0.0; 237.65; 0.0; 233.19; 342.2; 329.49; 283.58; 284.87; 0.84; 0.83
2018-09-30; 2649.37; 2008.43; 640.93; 0.0; 252.76; -3.49; 256.25; 384.69; 0.0; 384.69; 95.15; 289.54; 0.0; 289.54; 0.0; 286.38; 397.24; 384.69; 283.49; 284.67; 1.01; 1.01
2018-06-30; 2569.72; 1932.54; 637.18; 0.0; 226.06; -1.96; 228.01; 409.17; 0.0; 409.17; 85.08; 324.09; 0.0; 324.09; 0.0; 320.5; 421.44; 409.17; 285.28; 286.65; 1.12; 1.12
2018-03-31; 1970.09; 1503.7; 466.39; 0.0; 240.89; -1.31; 242.2; 224.19; 0.0; 224.19; 53.44; 170.75; 0.0; 170.75; 0.0; 170.75; 236.08; 224.19; 286.68; 288.03; 0.59; 0.59
2017-12-31; 2794.89; 2180.57; 614.32; 0.0; 201.61; -3.94; 205.55; 408.77; 0.0; 408.77; 331.35; 77.42; 0.0; 77.42; 0.0; 76.78; 421.08; 408.77; 305.09; 306.81; 0.25; 0.26
2017-09-30; 2131.06; 1619.03; 512.03; 0.0; 237.5; -6.28; 243.78; 268.25; 0.0; 268.25; 90.71; 177.54; 0.0; 177.54; 0.0; 175.6; 280.92; 268.25; 298.54; 300.23; 0.59; 0.58
2017-06-30; 2021.86; 1666.01; 355.85; 0.0; 216.21; -17.09; 233.3; 122.55; 0.0; 122.55; 21.8; 100.75; 0.0; 100.75; 0.0; 99.68; 135.36; 122.55; 312.31; 313.88; 0.32; 0.32
