Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 1751.59; 438.83; 1312.76; 0.0; 85.42; 198.47; 499.31; 813.45; -175.7; 637.75; 17.69; 620.07; 0.0; 620.07; 0.0; 585.75; 0.0; 813.45; 0.0; 946.95; 0.0; 0.63
2022-09-30; 1750.89; 415.26; 1335.63; 0.0; 87.9; 68.69; 420.66; 914.97; 192.87; 1107.84; 38.67; 1069.17; 0.0; 1069.17; 0.0; 1013.93; 1284.12; 914.97; 740.72; 766.37; 1.37; 1.36
2022-06-30; 1252.08; 327.52; 924.56; 0.0; 83.11; 94.18; 391.25; 533.32; 162.95; 696.27; 49.83; 646.44; 0.0; 646.44; 0.0; 609.86; 902.63; 533.32; 740.64; 766.07; 0.82; 0.82
2022-03-31; 1219.13; 327.49; 891.64; 0.0; 74.65; 785.45; -314.16; 1205.8; 43.14; 1248.94; 29.22; 1219.72; 0.0; 1219.72; 0.0; 1149.25; 1567.06; 1205.8; 740.37; 765.52; 1.55; 1.54
2021-12-31; 1277.23; 321.93; 955.31; 0.0; 73.82; 723.61; -252.96; 1208.27; 132.49; 1340.76; 39.91; 1300.85; 0.0; 1300.85; 0.0; 1247.12; 1567.93; 1208.27; 739.36; 764.76; 1.68; 1.67
2021-09-30; 1183.05; 309.0; 874.05; 0.0; 66.97; 349.38; 108.39; 765.66; 91.51; 857.17; 59.44; 797.73; 0.0; 797.73; 0.0; 722.01; 1122.8; 765.66; 739.44; 764.95; 0.98; 0.97
2021-06-30; 1150.84; 290.23; 860.61; 0.0; 74.34; 307.33; 159.74; 700.87; -1.36; 699.51; 49.2; 650.31; 0.0; 650.31; 0.0; 598.62; 1059.43; 700.87; 739.19; 764.65; 0.81; 0.81
2021-03-31; 1148.32; 327.33; 820.98; 0.0; 78.03; 186.82; 288.79; 532.2; -106.79; 425.41; 25.72; 399.69; 0.0; 399.69; 0.0; 365.81; 895.21; 532.2; 739.0; 764.96; 0.5; 0.49
2020-12-31; 1111.6; 290.98; 820.62; 0.0; 66.14; 144.97; 338.24; 482.38; -133.49; 348.89; 40.88; 308.01; 0.0; 308.01; 0.0; 280.47; 864.05; 482.38; 728.32; 754.41; 0.37; 0.37
2020-09-30; 1082.77; 291.28; 791.49; 0.0; 74.35; 240.11; 234.97; 556.52; -211.84; 344.68; 12.15; 332.52; 0.0; 332.52; 0.0; 298.69; 923.63; 556.52; 738.19; 764.62; 0.4; 0.4
