Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1469.87; 556.57; 913.3; 0.0; 305.14; -0.2; 495.73; 417.57; -34.21; 383.36; 52.73; 330.63; 0.0; 330.63; 0.0; 326.33; 700.17; 417.57; 113.21; 113.46; 2.88; 2.88
2022-06-30; 1061.67; 352.19; 709.48; 0.0; 299.5; -0.39; 486.39; 223.09; -27.79; 195.31; 26.69; 168.62; 0.0; 168.62; 0.0; 164.31; 481.98; 223.09; 113.17; 113.37; 1.45; 1.45
2022-03-31; 783.53; 265.27; 518.26; 0.0; 276.34; -0.82; 463.77; 54.49; -29.07; 25.42; 4.16; 21.26; 0.0; 21.26; 0.0; 16.96; 297.57; 54.49; 113.1; 113.3; 0.15; 0.15
2021-12-31; 798.86; 257.04; 541.82; 0.0; 319.99; -1.03; 491.8; 50.02; -22.11; 27.9; -3.99; 31.89; 0.0; 31.89; 0.0; 27.58; 256.18; 50.02; 112.91; 113.19; 0.24; 0.24
2021-09-30; 1308.25; 427.45; 880.8; 0.0; 289.99; 2.09; 451.43; 429.37; -13.41; 415.97; 71.86; 344.1; 0.0; 344.1; 0.0; 339.8; 625.54; 429.37; 112.92; 113.22; 3.01; 3.0
2021-06-30; 1000.25; 269.83; 730.41; 0.0; 289.19; -4.09; 452.03; 278.39; -12.39; 266.0; 46.56; 219.44; 0.0; 219.44; 0.0; 215.7; 463.9; 278.39; 112.88; 113.22; 1.91; 1.91
2021-03-31; 696.48; 198.23; 498.25; 0.0; 289.54; -3.36; 450.71; 47.53; -11.37; 36.16; -4.35; 40.51; 0.0; 40.51; 0.0; 35.64; 223.38; 47.53; 112.83; 113.09; 0.32; 0.32
2020-12-31; 740.96; 213.34; 527.62; 0.0; 337.55; -4.1; 496.77; 30.85; -65.28; -34.43; -19.91; -14.52; 0.0; -14.52; 0.0; -19.39; 198.61; 30.85; 112.67; 112.94; -0.17; -0.18
2020-09-30; 1254.5; 353.17; 901.33; 0.0; 291.95; -1.68; 446.32; 455.01; -26.53; 428.48; 77.23; 351.25; 0.0; 351.25; 0.0; 346.37; 623.1; 455.01; 112.68; 112.99; 3.07; 3.07
2020-06-30; 929.59; 238.38; 691.21; 0.0; 276.16; -0.69; 429.33; 261.87; -22.35; 239.52; 41.06; 198.46; 0.0; 198.46; 0.0; 193.59; 428.87; 261.87; 112.64; 112.88; 1.72; 1.71
