Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2134.0; 703.0; 1431.0; 0.0; 778.0; 0.0; 1090.0; 341.0; -126.0; 215.0; 41.0; 174.0; 0.0; 174.0; 0.0; 174.0; 668.0; 341.0; 736.25; 737.07; 0.24; 0.24
2022-06-30; 1696.0; 534.0; 1162.0; 0.0; 630.0; 0.0; 919.0; 243.0; -92.0; 151.0; 32.0; 119.0; 0.0; 119.0; 0.0; 119.0; 540.0; 243.0; 735.98; 736.77; 0.16; 0.16
2022-03-31; 1782.0; 564.0; 1218.0; 0.0; 493.0; 0.0; 764.0; 454.0; -107.0; 347.0; 74.0; 273.0; 0.0; 273.0; 0.0; 273.0; 732.0; 454.0; 735.5; 736.18; 0.37; 0.37
2021-12-31; 1485.0; 407.0; 1078.0; 0.0; 498.0; 0.0; 770.0; 308.0; -118.0; 190.0; 48.0; 142.0; 0.0; 142.0; -8.0; 134.0; 589.0; 308.0; 762.9; 764.82; 0.16; 0.16
2021-09-30; 1512.0; 362.0; 1150.0; 0.0; 445.0; 0.0; 719.0; 431.0; -171.0; 260.0; 51.0; 209.0; 0.0; 209.0; -2.0; 207.0; 695.0; 431.0; 767.73; 769.85; 0.27; 0.27
2021-06-30; 1288.0; 296.0; 992.0; 0.0; 453.0; 0.0; 722.0; 270.0; -461.0; -191.0; 345.0; -536.0; 0.0; -536.0; 555.0; 19.0; 568.0; 270.0; 769.47; 769.47; 0.03; 0.03
2021-03-31; 1498.0; 397.0; 1101.0; 0.0; 419.0; 0.0; 686.0; 415.0; -153.0; 262.0; 59.0; 203.0; 0.0; 203.0; -2043.0; -1840.0; 693.0; 415.0; 769.16; 770.71; -2.39; -2.39
2020-12-31; 1371.0; 318.0; 1053.0; 0.0; 415.0; 0.0; 675.0; 378.0; -164.0; 214.0; 48.0; 166.0; 0.0; 166.0; 124.0; 290.0; 656.0; 378.0; 768.59; 769.38; 0.37; 0.37
2020-09-30; 1400.0; 313.0; 1087.0; 0.0; 393.0; 0.0; 650.0; 437.0; -155.0; 282.0; 165.0; 117.0; 0.0; 117.0; 164.0; 281.0; 712.0; 437.0; 768.79; 769.66; 0.37; 0.37
2020-06-30; 1263.0; 271.0; 992.0; 0.0; 390.0; 0.0; 645.0; 347.0; -154.0; 193.0; 40.0; 153.0; 0.0; 153.0; 191.0; 344.0; 615.0; 347.0; 768.77; 769.41; 0.45; 0.45
2020-03-31; 1440.0; 364.0; 1076.0; 0.0; 402.0; 0.0; 652.0; 424.0; -159.0; 265.0; 61.0; 204.0; 0.0; 204.0; 350.0; 554.0; 683.0; 424.0; 767.95; 768.74; 0.72; 0.72
2019-12-31; -213.0; 338.0; -551.0; 0.0; 11.0; 0.0; 70.0; -621.0; -170.0; -791.0; -145.0; -646.0; 0.0; -646.0; 0.0; 364.0; -564.0; -621.0; 728.51; 736.75; 0.47; 0.48
2019-09-30; 1933.0; 344.0; 1589.0; 0.0; 557.0; 0.0; 863.0; 726.0; -133.0; 593.0; 118.0; 475.0; 0.0; 475.0; 0.0; 475.0; 1061.0; 726.0; 722.26; 731.15; 0.66; 0.65
2019-06-30; 1803.0; 306.0; 1497.0; 0.0; 557.0; 0.0; 857.0; 640.0; -115.0; 525.0; 84.0; 441.0; 0.0; 441.0; 0.0; 441.0; 949.0; 640.0; 721.78; 730.91; 0.61; 0.6
2019-03-31; 2079.0; 444.0; 1635.0; 0.0; 570.0; 0.0; 854.0; 781.0; -189.0; 592.0; 126.0; 466.0; 0.0; 466.0; 0.0; 466.0; 1087.0; 781.0; 721.02; 729.95; 0.65; 0.64
2018-12-31; 1939.0; 397.0; 1542.0; 0.0; 608.0; 0.0; 885.0; 657.0; -146.0; 511.0; 96.0; 415.0; 0.0; 415.0; 0.0; 415.0; 956.0; 657.0; 704.44; 708.62; 0.57; 0.58
2018-09-30; 1872.0; 355.0; 1517.0; 0.0; 556.0; 0.0; 831.0; 686.0; -138.0; 548.0; 103.0; 445.0; 0.0; 445.0; 0.0; 445.0; 983.0; 686.0; 703.73; 710.52; 0.63; 0.62
2018-06-30; 1848.0; 337.0; 1511.0; 0.0; 580.0; 0.0; 853.0; 658.0; -1.0; 657.0; 142.0; 515.0; 0.0; 515.0; 0.0; 515.0; 944.0; 658.0; 699.01; 700.98; 0.74; 0.73
2018-03-31; 2126.0; 455.0; 1671.0; 0.0; 551.0; 0.0; 820.0; 851.0; -282.0; 569.0; 117.0; 452.0; 0.0; 452.0; 0.0; 452.0; 1141.0; 851.0; 694.51; 695.32; 0.65; 0.65
2017-12-31; 1926.0; 374.0; 1552.0; 0.0; 540.0; 0.0; 803.0; 749.0; -208.0; 541.0; 463.0; 78.0; 0.0; 78.0; 0.0; 78.0; 1037.0; 749.0; 685.24; 687.33; 0.1; 0.11
2017-09-30; 1845.0; 345.0; 1500.0; 0.0; 507.0; 0.0; 764.0; 736.0; -265.0; 471.0; 116.0; 355.0; 0.0; 355.0; 0.0; 355.0; 1020.0; 736.0; 686.56; 688.75; 0.52; 0.51
2017-06-30; 1725.0; 319.0; 1406.0; 0.0; 502.0; 0.0; 748.0; 658.0; -290.0; 368.0; 76.0; 292.0; 0.0; 292.0; 0.0; 292.0; 926.0; 658.0; 683.84; 686.35; 0.43; 0.43
2017-03-31; 1951.0; 406.0; 1545.0; 0.0; 545.0; 0.0; 787.0; 758.0; -226.0; 532.0; 129.0; 403.0; 0.0; 403.0; 0.0; 403.0; 1023.0; 758.0; 680.88; 683.08; 0.59; 0.59
2016-12-31; 1832.0; 359.0; 1473.0; 0.0; 637.0; 0.0; 871.0; 602.0; 1.0; 603.0; 138.0; 465.0; 0.0; 465.0; 0.0; 465.0; 862.0; 602.0; 677.59; 680.45; 0.68; 0.68
2016-09-30; 1889.0; 378.0; 1511.0; 0.0; 493.0; 0.0; 725.0; 786.0; -174.0; 612.0; 139.0; 473.0; 0.0; 473.0; 0.0; 473.0; 1035.0; 786.0; 678.11; 680.35; 0.7; 0.69
2016-06-30; 1785.0; 330.0; 1455.0; 0.0; 499.0; 0.0; 730.0; 725.0; -50.0; 675.0; 192.0; 483.0; 0.0; 483.0; 0.0; 483.0; 975.0; 725.0; 677.14; 680.73; 0.71; 0.71
2016-03-31; 2011.0; 430.0; 1581.0; 0.0; 529.0; 0.0; 758.0; 823.0; -163.0; 660.0; 179.0; 481.0; 0.0; 481.0; 0.0; 481.0; 1070.0; 823.0; 675.44; 678.82; 0.71; 0.71
2015-12-31; 1780.0; 347.0; 1433.0; 0.0; 591.0; 0.0; 816.0; 617.0; -179.0; 438.0; 33.0; 405.0; 0.0; 405.0; -6.0; 399.0; 855.0; 617.0; 669.81; 672.59; 0.59; 0.6
2015-09-30; 1878.0; 405.0; 1473.0; 0.0; 561.0; 0.0; 787.0; 686.0; -146.0; 540.0; 144.0; 396.0; 0.0; 396.0; -3.0; 393.0; 931.0; 686.0; 670.76; 673.7; 0.58; 0.58
2015-06-30; 1781.0; 384.0; 1397.0; 0.0; 543.0; 0.0; 759.0; 638.0; -317.0; 321.0; 71.0; 250.0; 0.0; 250.0; -1007.0; -757.0; 870.0; 638.0; 668.41; 671.29; -1.13; -1.13
2015-03-31; 2230.0; 582.0; 1648.0; 0.0; 542.0; 0.0; 758.0; 890.0; -121.0; 769.0; 217.0; 552.0; 0.0; 552.0; 95.0; 647.0; 1117.0; 890.0; 666.97; 668.73; 0.97; 0.96
2014-12-31; 2930.0; 1809.0; 1121.0; 0.0; 335.0; 0.0; 343.0; 778.0; -94.0; 684.0; 211.0; 473.0; 0.0; 473.0; 222.0; 686.0; 1027.0; 778.0; 653.5; 665.97; 1.05; 1.04
