Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 6093.0; 2530.0; 3563.0; 0.0; 350.0; -8.0; 999.0; 2564.0; -70.0; 2494.0; 510.0; 1984.0; 0.0; 1984.0; 0.0; 1984.0; 3228.0; 2564.0; 239.0; 250.0; 8.29; 7.93
2022-06-30; 6920.0; 2860.0; 4060.0; 0.0; 359.0; -11.0; 990.0; 3070.0; -42.0; 3028.0; 657.0; 2371.0; 0.0; 2371.0; 0.0; 2371.0; 3714.0; 3070.0; 242.0; 254.0; 9.78; 9.3
2022-03-31; 6172.0; 2568.0; 3604.0; 0.0; 297.0; -14.0; 925.0; 2679.0; -118.0; 2561.0; 552.0; 2009.0; 0.0; 2009.0; 0.0; 2009.0; 3316.0; 2679.0; 243.0; 256.0; 8.25; 7.85
2021-12-31; 4317.0; 2292.0; 2025.0; 0.0; 283.0; -12.0; 967.0; 1058.0; -67.0; 991.0; 228.0; 763.0; 0.0; 763.0; 0.0; 758.0; 1752.0; 1058.0; 233.0; 246.0; 3.5; 3.33
2021-09-30; 4463.0; 2085.0; 2378.0; 0.0; 251.0; -10.0; 965.0; 1413.0; -77.0; 1336.0; 291.0; 1045.0; 0.0; 1045.0; 0.0; 1045.0; 2137.0; 1413.0; 244.0; 257.0; 4.27; 4.07
2021-06-30; 3419.0; 1943.0; 1476.0; 0.0; 228.0; -10.0; 886.0; 590.0; -90.0; 500.0; 120.0; 380.0; 0.0; 380.0; 0.0; 380.0; 1256.0; 590.0; 234.0; 247.0; 1.62; 1.54
2021-03-31; 2444.0; 1507.0; 937.0; 0.0; 181.0; -19.0; 674.0; 263.0; -344.0; -81.0; -11.0; -70.0; 0.0; -70.0; 0.0; -70.0; 790.0; 263.0; 210.0; 210.0; -0.33; -0.33
2020-12-31; 1855.0; 1211.0; 644.0; 0.0; 121.0; -12.0; 529.0; 115.0; -86.0; 29.0; -14.0; 43.0; 0.0; 43.0; 0.0; 44.0; 531.0; 115.0; 165.0; 165.0; 0.29; 0.29
2020-09-30; 1731.0; 1161.0; 570.0; 0.0; 127.0; -16.0; 536.0; 34.0; -134.0; -100.0; -15.0; -85.0; 0.0; -85.0; 0.0; -85.0; 450.0; 34.0; 165.0; 165.0; -0.52; -0.52
2020-06-30; 839.0; 739.0; 100.0; 0.0; 107.0; -10.0; 533.0; -433.0; -125.0; -558.0; -109.0; -449.0; 0.0; -449.0; 0.0; -449.0; 3.0; -433.0; 165.0; 165.0; -2.73; -2.73
2020-03-31; 2260.0; 1204.0; 1056.0; 0.0; 131.0; -9.0; 574.0; 482.0; -114.0; 368.0; 77.0; 291.0; 0.0; 291.0; 0.0; 290.0; 934.0; 482.0; 166.0; 166.0; 1.75; 1.75
2019-12-31; 2664.0; 1495.0; 1169.0; 0.0; 154.0; -12.0; 606.0; 563.0; -95.0; 468.0; 107.0; 361.0; 0.0; 361.0; 0.0; 358.0; 1025.0; 563.0; 167.0; 167.0; 2.17; 2.16
2019-09-30; 2325.0; 1352.0; 973.0; 0.0; 158.0; -11.0; 607.0; 366.0; -63.0; 303.0; 72.0; 231.0; 0.0; 231.0; 0.0; 231.0; 825.0; 366.0; 167.0; 167.0; 1.38; 1.38
2019-06-30; 1923.0; 1321.0; 602.0; 0.0; 149.0; -15.0; 576.0; 26.0; -242.0; -216.0; -47.0; -169.0; 0.0; -169.0; 0.0; -169.0; 478.0; 26.0; 168.0; 168.0; -1.01; -1.01
2019-03-31; 2413.0; 1178.0; 1235.0; 0.0; 162.0; -20.0; 603.0; 632.0; -179.0; 453.0; 103.0; 350.0; 0.0; 350.0; 0.0; 350.0; 1080.0; 632.0; 169.0; 169.0; 2.06; 2.06
2018-12-31; 2678.0; 1110.0; 1568.0; 0.0; 155.0; -31.0; 591.0; 977.0; -565.0; 412.0; 89.0; 323.0; 0.0; 323.0; 0.0; 323.0; 1406.0; 977.0; 171.0; 171.0; 1.89; 1.89
2018-09-30; 2476.0; 1139.0; 1337.0; 0.0; 179.0; -20.0; 593.0; 744.0; -215.0; 529.0; 118.0; 411.0; 0.0; 411.0; 0.0; 411.0; 1164.0; 744.0; 171.0; 171.0; 2.4; 2.39
2018-06-30; 2111.0; 1269.0; 842.0; 0.0; 165.0; -105.0; 648.0; 194.0; -112.0; 82.0; 19.0; 63.0; 0.0; 63.0; 0.0; 66.0; 600.0; 194.0; 170.0; 171.0; 0.38; 0.38
2018-03-31; 2150.0; 1267.0; 883.0; 0.0; 166.0; -35.0; 558.0; 325.0; -97.0; 228.0; 50.0; 178.0; 0.0; 178.0; 0.0; 178.0; 703.0; 325.0; 170.0; 171.0; 1.04; 1.04
2017-12-31; 1526.0; 818.0; 708.0; 0.0; 144.0; -29.0; 540.0; 168.0; -106.0; 62.0; -603.0; 665.0; 0.0; 665.0; 0.0; 665.0; 558.0; 168.0; 170.0; 170.0; 3.88; 3.87
2017-09-30; 1167.0; 594.0; 573.0; 0.0; 134.0; -18.0; 507.0; 66.0; -100.0; -34.0; -11.0; -23.0; 0.0; -23.0; 0.0; -23.0; 443.0; 66.0; 170.0; 170.0; -0.13; -0.13
