Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 11395.0; 4868.0; 6527.0; 2178.0; 683.0; 0.0; 2861.0; 3666.0; -195.0; 3471.0; 548.0; 2923.0; 0.0; 2923.0; 0.0; 2873.0; 4156.0; 3666.0; 1123.0; 1137.0; 2.57; 2.53
2022-06-30; 10936.0; 4816.0; 6120.0; 2052.0; 655.0; 1059.0; 1648.0; 4472.0; -233.0; 4239.0; 509.0; 3730.0; 0.0; 3730.0; 0.0; 3730.0; 4910.0; 4472.0; 1122.0; 1134.0; 3.32; 3.29
2022-03-31; 11164.0; 4648.0; 6516.0; 2034.0; 624.0; 0.0; 2658.0; 3858.0; -435.0; 3423.0; 489.0; 2934.0; 0.0; 2934.0; 0.0; 2934.0; 4286.0; 3858.0; 1125.0; 1140.0; 2.61; 2.57
2021-12-31; 10705.0; 4303.0; 6402.0; 1930.0; 608.0; 0.0; 2538.0; 3864.0; 1.0; 3865.0; 466.0; 3399.0; 0.0; 3399.0; 0.0; 3399.0; 4270.0; 3864.0; 1124.0; 1142.0; 3.02; 2.98
2021-09-30; 9336.0; 3937.0; 5399.0; 1879.0; 618.0; 0.0; 2497.0; 2902.0; 382.0; 3284.0; 485.0; 2799.0; 0.0; 2799.0; 0.0; 2799.0; 3327.0; 2902.0; 1131.0; 1149.0; 2.48; 2.45
2021-06-30; 8060.0; 3404.0; 4656.0; 1864.0; 597.0; 0.0; 2461.0; 2195.0; 62.0; 2257.0; 230.0; 2027.0; 0.0; 2027.0; 0.0; 2027.0; 2601.0; 2195.0; 1129.0; 1145.0; 1.8; 1.77
2021-03-31; 7935.0; 3432.0; 4503.0; 1780.0; 557.0; 0.0; 2337.0; 2166.0; -37.0; 2129.0; 367.0; 1762.0; 0.0; 1762.0; 0.0; 1762.0; 2553.0; 2166.0; 1133.0; 1151.0; 1.55; 1.53
2020-12-31; 8235.0; 3489.0; 4746.0; 1653.0; 567.0; 0.0; 2220.0; 2526.0; 78.0; 2604.0; 149.0; 2455.0; 0.0; 2455.0; 0.0; 2455.0; 2890.0; 2526.0; 1134.0; 1156.0; 2.16; 2.12
2020-09-30; 8345.0; 2765.0; 5580.0; 1581.0; 552.0; 5.0; 2128.0; 3452.0; -146.0; 3306.0; 346.0; 2960.0; 0.0; 2960.0; 0.0; 2960.0; 3791.0; 3452.0; 1135.0; 1149.0; 2.61; 2.57
2020-06-30; 4893.0; 2080.0; 2813.0; 1520.0; 511.0; 0.0; 2031.0; 782.0; 86.0; 868.0; 23.0; 845.0; 0.0; 845.0; 0.0; 845.0; 1145.0; 782.0; 1127.0; 1139.0; 0.75; 0.74
