Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1158.06; 619.13; 538.93; 168.16; 97.75; -11.45; 277.37; 261.56; -14.69; 246.87; 58.26; 188.62; 0.0; 188.62; 0.0; 188.62; 346.26; 261.56; 102.93; 103.67; 1.83; 1.82
2022-06-30; 1035.36; 660.11; 375.25; 168.57; 101.81; -3.01; 273.39; 101.86; -22.31; 79.55; 10.66; 68.88; 0.0; 68.88; 0.0; 68.88; 187.58; 101.86; 105.17; 106.08; 0.65; 0.65
2022-03-31; 1166.16; 595.82; 570.34; 158.75; 83.93; -57.07; 299.74; 270.6; -23.13; 247.47; 35.19; 212.28; 0.0; 212.28; 0.0; 212.28; 360.45; 270.6; 110.2; 111.55; 1.99; 1.96
2021-12-31; 1113.96; 565.86; 548.09; 154.44; 82.0; -15.64; 252.08; 296.01; -12.8; 283.21; 66.95; 216.26; 0.0; 216.26; 0.0; 216.26; 388.34; 296.01; 109.69; 110.81; 1.97; 1.95
2021-09-30; 1255.25; 633.7; 621.55; 158.38; 93.49; -7.33; 259.19; 362.36; -10.57; 351.79; 32.6; 319.19; 0.0; 319.19; 0.0; 319.19; 451.75; 362.36; 111.03; 112.41; 2.87; 2.84
2021-06-30; 1110.35; 564.17; 546.18; 152.08; 90.3; -6.7; 249.08; 297.1; 1.51; 298.61; 12.99; 285.63; 0.0; 285.63; 0.0; 285.63; 386.93; 297.1; 112.03; 113.87; 2.55; 2.51
2021-03-31; 1072.73; 544.25; 528.48; 147.28; 78.12; -10.0; 235.41; 293.07; -6.28; 286.79; -11.95; 298.74; 0.0; 298.74; 0.0; 298.74; 379.05; 293.07; 114.03; 116.02; 2.61; 2.57
2020-12-31; 1094.83; 557.08; 537.75; 136.7; 93.14; -8.71; 238.55; 299.2; -75.69; 223.52; 22.48; 201.03; 0.0; 201.03; 0.0; 201.03; 424.05; 299.2; 113.81; 115.69; 1.77; 1.74
2020-09-30; 1060.29; 568.74; 491.55; 156.34; 109.37; -4.19; 269.91; 221.64; -21.57; 200.08; 63.16; 136.92; 0.0; 136.92; 0.0; 136.92; 344.8; 221.64; 114.33; 116.18; 1.2; 1.18
2020-06-30; 787.45; 461.66; 325.79; 130.07; 86.6; -16.4; 233.08; 92.71; 4.29; 97.0; 0.08; 96.92; 0.0; 96.92; 0.0; 96.92; 214.83; 92.71; 114.58; 116.75; 0.85; 0.83
2020-03-31; 787.77; 451.99; 335.78; 127.03; 85.11; -21.49; 233.63; 102.15; -37.52; 64.64; 14.24; 50.39; 0.0; 50.39; 0.0; 50.39; 220.84; 102.15; 117.01; 119.29; 0.43; 0.41
2019-12-31; 869.07; 500.96; 368.11; 122.85; 81.2; -10.99; 215.04; 153.07; 30.12; 183.19; 21.84; 161.36; 0.0; 161.36; 0.0; 161.36; 269.85; 153.07; 116.13; 118.45; 1.39; 1.36
2019-09-30; 806.7; 483.12; 323.58; 115.61; 88.27; -6.93; 210.81; 112.77; -10.7; 102.07; 19.03; 83.04; 0.0; 83.04; 0.0; 83.04; 223.96; 112.77; 117.29; 119.43; 0.71; 0.7
2019-06-30; 775.6; 481.31; 294.29; 118.92; 88.98; -31.16; 239.06; 55.23; -10.03; 45.2; 5.66; 39.54; 0.0; 39.54; 0.0; 39.54; 177.5; 55.23; 118.76; 121.12; 0.33; 0.33
2019-03-31; 680.88; 414.31; 266.57; 112.85; 75.03; -14.65; 202.53; 64.05; -13.85; 50.2; -11.32; 61.52; 0.0; 61.52; 0.0; 61.52; 184.94; 64.05; 124.53; 127.36; 0.49; 0.49
2018-12-31; 832.33; 493.97; 338.36; 109.98; 125.6; -21.62; 257.21; 81.16; -10.27; 70.89; 1.37; 69.52; 0.0; 69.52; 0.0; 69.52; 266.44; 81.16; 124.31; 126.84; 0.56; 0.55
2018-09-30; 884.44; 530.93; 353.51; 116.75; 139.51; -6.78; 263.04; 90.48; -57.64; 32.84; 0.75; 32.08; 0.0; 32.08; 0.0; 32.08; 270.63; 90.48; 125.64; 128.55; 0.26; 0.25
2018-06-30; 692.67; 455.94; 236.73; 110.9; 135.93; -9.12; 255.95; -19.21; -42.91; -62.13; -32.14; -29.99; 0.0; -29.99; 0.0; -29.99; 157.56; -19.21; 126.2; 126.2; -0.24; -0.24
2018-03-31; 665.38; 412.74; 252.64; 110.8; 122.9; -50.72; 284.41; -31.77; -11.91; -43.68; -31.18; -12.5; 0.0; -12.5; 0.0; -12.5; 143.19; -31.77; 126.95; 126.95; -0.1; -0.09
2017-12-31; 845.74; 508.81; 336.93; 106.41; 126.56; -23.64; 256.61; 80.32; -14.88; 65.44; 98.52; -33.08; 0.0; -33.08; 0.0; -33.08; 262.3; 80.32; 127.03; 127.03; -0.26; -0.26
2017-09-30; 821.58; 500.56; 321.02; 111.4; 138.87; -21.19; 271.46; 49.56; -13.91; 35.65; -0.27; 35.92; 0.0; 35.92; 0.0; 35.92; 229.62; 49.56; 127.26; 130.78; 0.28; 0.27
2017-06-30; 640.83; 404.45; 236.38; 116.5; 139.43; -8.28; 264.21; -27.83; -12.44; -40.27; -9.64; -30.62; 0.0; -30.62; 0.0; -30.62; 149.39; -27.83; 126.96; 126.96; -0.24; -0.24
2017-03-31; 642.99; 411.4; 231.6; 115.67; 132.74; -7.64; 256.05; -24.46; -12.83; -37.29; -93.2; 55.91; 0.0; 55.91; 0.0; 55.91; 160.9; -24.46; 127.12; 127.12; 0.44; 0.44
