Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 303.99; 87.5; 216.49; 0.0; 20.27; -0.95; 101.49; 114.99; -37.58; 77.42; 0.0; 77.42; 0.22; 88.85; 0.0; 87.58; 191.64; 114.99; 171.12; 171.53; 0.51; 0.51
2022-06-30; 302.08; 84.45; 217.63; 0.0; 17.64; -0.62; 97.61; 120.02; -42.17; 77.85; 0.0; 77.85; 4.29; 105.99; 0.0; 104.8; 195.59; 120.02; 172.06; 172.42; 0.61; 0.61
2022-03-31; 303.43; 83.33; 220.1; 0.0; 18.79; -2.17; 98.81; 121.3; -39.23; 82.06; 0.0; 82.06; 101.95; 196.82; 0.0; 195.23; 195.22; 121.3; 171.31; 171.67; 1.14; 1.14
2021-12-31; 296.92; 83.67; 213.25; 0.0; 19.95; -3.06; 99.42; 113.83; -27.4; 86.44; 0.0; 86.44; 0.0; 68.98; 0.0; 67.86; 185.93; 113.83; 170.24; 170.69; 0.39; 0.4
2021-09-30; 307.38; 79.25; 228.13; 0.0; 17.79; -0.81; 94.06; 134.07; -36.18; 97.89; 0.0; 97.89; 6.72; 118.85; 0.0; 117.41; 204.59; 134.07; 170.09; 170.59; 0.69; 0.69
2021-06-30; 287.16; 82.01; 205.15; 0.0; 19.19; -1.18; 94.58; 110.56; -33.95; 76.62; 0.0; 76.62; 19.78; 96.83; 0.0; 95.49; 180.5; 110.56; 169.85; 170.17; 0.56; 0.56
2021-03-31; 274.7; 81.75; 192.96; 0.0; 21.29; -0.7; 99.24; 93.71; -35.45; 58.26; 0.0; 58.26; 11.7; 81.62; 0.0; 80.66; 167.56; 93.71; 169.77; 170.01; 0.48; 0.47
2020-12-31; 258.46; 80.71; 177.75; 0.0; 20.51; -7.62; 114.87; 62.88; 13.22; 76.09; 0.0; 76.09; 0.0; 39.22; 0.0; 38.49; 140.38; 62.88; 169.23; 169.46; 0.24; 0.23
2020-09-30; 242.94; 77.28; 165.66; 0.0; 19.58; -1.21; 105.6; 60.06; -58.11; 1.96; 0.0; 1.96; 3.24; 13.31; 0.0; 12.69; 139.81; 60.06; 169.67; 169.97; 0.07; 0.07
2020-06-30; 231.11; 76.83; 154.29; 0.0; 21.2; -2.48; 108.74; 45.55; -36.25; 9.3; 0.0; 9.3; 7.45; 19.57; 0.0; 19.05; 123.23; 45.55; 169.64; 169.97; 0.11; 0.11
2020-03-31; 283.66; 78.26; 205.4; 0.0; 13.71; -1.34; 236.47; -31.06; -43.14; -74.21; 0.0; -74.21; 38.01; -24.78; 0.0; -25.33; 180.52; -31.06; 167.91; 167.91; -0.15; -0.15
2019-12-31; 288.73; 79.79; 208.94; 0.0; 18.26; -3.33; 113.23; 95.71; -54.04; 41.67; 0.0; 41.67; 0.0; 41.13; 0.0; 40.29; 176.32; 95.71; 167.53; 167.77; 0.24; 0.24
2019-09-30; 282.28; 75.3; 206.98; 0.0; 16.7; -1.82; 110.38; 96.6; -39.26; 57.34; 0.0; 57.34; 0.89; 57.94; 0.0; 56.97; 180.38; 96.6; 167.56; 167.94; 0.34; 0.34
2019-06-30; 275.87; 76.27; 199.61; 0.0; 18.72; -1.53; 113.84; 85.77; -46.65; 39.12; 0.0; 39.12; 0.44; 52.69; 0.0; 51.73; 175.94; 85.77; 167.54; 167.96; 0.31; 0.31
2019-03-31; 286.26; 74.79; 211.46; 0.0; 21.3; -1.13; 119.63; 91.84; -47.66; 44.17; 0.0; 44.17; 16.49; 91.49; 0.0; 90.45; 178.86; 91.84; 167.44; 167.72; 0.54; 0.54
2018-12-31; 284.56; 83.87; 200.69; 0.0; 13.54; -3.26; 109.68; 91.01; -20.25; 70.76; 0.0; 70.76; 0.0; 79.74; 0.0; 78.9; 179.46; 91.01; 169.72; 170.1; 0.47; 0.46
2018-09-30; 278.31; 75.69; 202.62; 0.0; 17.56; -2.04; 108.79; 93.83; -36.55; 57.28; 0.0; 57.28; 3.23; 70.53; 0.0; 69.72; 178.91; 93.83; 169.44; 169.84; 0.41; 0.41
2018-06-30; 281.41; 73.39; 208.02; 0.0; 16.78; -2.8; 108.68; 99.34; -61.05; 38.29; 0.0; 38.29; 1.12; 48.59; 0.0; 47.84; 179.83; 99.34; 169.42; 169.68; 0.28; 0.28
2018-03-31; 276.69; 72.94; 203.75; 0.0; 17.61; -1.63; 107.76; 95.99; -52.97; 43.02; 0.0; 43.02; 0.1; 53.47; 0.0; 52.66; 178.8; 95.99; 170.7; 170.96; 0.31; 0.31
2017-12-31; 264.75; 70.19; 194.56; 0.0; 18.01; -7.66; 116.11; 78.45; -6.93; 71.53; 0.0; 71.58; 0.0; 90.85; 0.0; 85.14; 166.9; 78.45; 159.54; 159.96; 0.63; 0.63
2017-09-30; 262.14; 67.33; 194.81; 0.0; 15.2; -3.19; 109.87; 84.94; -33.71; 51.23; 0.0; 51.23; 0.0; 63.45; 0.13; 59.67; 171.69; 84.94; 170.1; 170.47; 0.35; 0.35
2017-06-30; 261.31; 64.98; 196.33; 0.0; 16.75; -6.86; 115.84; 80.49; -46.92; 33.57; 0.0; 33.57; 0.0; 45.81; 4.37; 48.37; 166.83; 80.49; 170.09; 170.42; 0.28; 0.28
2017-03-31; 196.13; 51.21; 144.92; 0.0; 17.67; -71.51; 149.24; -4.32; -26.1; -30.42; 0.05; -30.47; 0.0; -21.13; 0.41; -33.22; 54.71; -4.32; 126.65; 126.65; -0.26; -0.26
2016-12-31; 159.56; 41.95; 117.61; 0.0; 16.63; -8.29; 67.53; 50.08; 24.67; 74.75; 0.0; 74.75; 0.0; 84.65; 0.0; 55.87; 93.62; 50.08; 100.86; 101.28; 0.53; 0.53
2016-09-30; 152.77; 40.43; 112.34; 0.0; 16.05; -1.05; 57.8; 54.54; -75.65; -21.11; 0.0; -21.11; 0.0; 1.53; 9.58; 5.3; 96.54; 54.54; 103.67; 104.25; 0.05; 0.05
2016-06-30; 152.41; 40.48; 111.93; 0.0; 16.35; -2.44; 59.09; 52.84; -23.8; 29.05; 0.0; 29.05; 0.0; 40.1; 0.55; 34.81; 94.8; 52.84; 97.66; 98.22; 0.36; 0.35
2016-03-31; 149.63; 38.55; 111.07; 0.0; 16.3; -2.31; 57.32; 53.75; -25.96; 27.79; 0.0; 27.79; 0.0; 40.71; 12.87; 47.88; 94.47; 53.75; 97.52; 97.89; 0.49; 0.49
2015-12-31; 146.17; 36.87; 109.29; 0.0; 19.37; -3.01; 59.96; 49.33; -31.7; 17.63; 0.0; 17.63; 0.0; 22.15; 1.39; 17.61; 88.83; 49.33; 94.55; 95.01; 0.18; 0.18
2015-09-30; 142.07; 35.8; 106.26; 0.0; 14.75; -1.88; 53.66; 52.6; -26.29; 26.31; 0.0; 26.31; 0.0; 31.98; 27.75; 53.73; 91.66; 52.6; 94.16; 94.59; 0.57; 0.57
2015-06-30; 141.13; 35.85; 105.28; 0.0; 15.1; -1.78; 53.1; 52.17; -26.31; 25.87; 0.0; 25.87; 0.0; 32.62; 5.66; 32.48; 90.6; 52.17; 94.14; 94.5; 0.35; 0.34
2015-03-31; 140.4; 36.3; 104.1; 0.0; 16.38; -1.17; 53.54; 50.56; -25.94; 24.62; 0.0; 24.62; 0.0; 30.19; 0.8; 25.17; 88.48; 50.56; 93.84; 93.91; 0.27; 0.27
2014-12-31; 136.17; 34.14; 102.03; 0.0; 16.36; -2.47; 56.27; 45.76; -1.59; 44.16; 0.0; 45.16; 0.0; 54.08; 25.11; 73.52; 84.83; 45.76; 92.37; 92.4; 0.79; 0.79
2014-09-30; 133.56; 32.98; 100.58; 0.0; 14.46; -2.06; 52.94; 47.64; -27.47; 20.17; 0.0; 20.17; 0.0; 25.88; 27.56; 47.94; 85.87; 47.64; 92.34; 92.4; 0.52; 0.52
