Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2936.2; 317.8; 2618.4; 911.3; 529.1; 45.7; 1394.7; 1223.7; 286.1; 1509.8; 194.1; 1315.7; 0.0; 1315.7; 0.0; 1315.7; 1316.3; 1223.7; 106.9; 112.8; 12.31; 11.66
2022-06-30; 2857.2; 297.1; 2560.1; 794.3; 476.3; 17.4; 1450.2; 1109.9; -146.7; 963.2; 111.1; 852.1; 0.0; 852.1; 0.0; 852.1; 1184.3; 1109.9; 107.9; 114.0; 7.9; 7.47
2022-03-31; 2965.1; 404.9; 2560.2; 843.8; 450.0; 20.2; 1301.7; 1258.5; -197.4; 1061.1; 87.6; 973.5; 0.0; 973.5; 0.0; 973.5; 1332.8; 1258.5; 106.8; 113.1; 9.12; 8.61
2021-12-31; 4951.7; 982.6; 3969.1; 785.6; 559.6; 15.8; 1329.4; 2639.7; -136.3; 2503.4; 274.4; 2229.0; 0.0; 2229.0; 0.0; 2229.0; 2714.2; 2639.7; 105.7; 112.2; 20.94; 19.58
2021-09-30; 3452.8; 453.2; 2999.6; 665.4; 445.0; -42.0; 1152.4; 1847.2; -30.6; 1816.6; 184.4; 1632.2; 0.0; 1632.2; 0.0; 1632.2; 1920.4; 1847.2; 106.2; 113.9; 15.37; 14.33
2021-06-30; 5138.5; 693.7; 4444.8; 714.2; 414.7; 31.3; 1097.6; 3347.2; 405.6; 3752.8; 653.9; 3098.9; 0.0; 3098.9; 0.0; 3098.9; 3418.3; 3347.2; 105.0; 110.8; 29.51; 27.97
2021-03-31; 2528.7; 308.0; 2220.7; 742.9; 405.6; 40.5; 1108.0; 1112.7; 140.3; 1253.0; 137.8; 1115.2; 0.0; 1115.2; 0.0; 1115.2; 1180.1; 1112.7; 105.4; 110.5; 10.58; 10.09
2020-12-31; 2422.9; 353.1; 2069.8; 744.5; 303.5; 145.2; 902.8; 1167.0; 57.6; 1224.6; 75.4; 1149.2; 0.0; 1149.2; 0.0; 1149.2; 1228.7; 1167.0; 107.6; 115.1; 10.79; 10.09
2020-09-30; 2294.0; 274.0; 2020.0; 684.6; 326.9; 44.6; 966.9; 1053.1; -54.8; 998.3; 156.2; 842.1; 0.0; 842.1; 0.0; 842.1; 1112.4; 1053.1; 105.5; 113.9; 7.98; 7.39
2020-06-30; 1952.0; 275.5; 1676.5; 722.0; 348.3; 50.2; 1020.1; 656.4; 262.5; 918.9; 21.6; 897.3; 0.0; 897.3; 0.0; 897.3; 715.2; 656.4; 109.6; 117.9; 8.19; 7.61
2020-03-31; 1828.2; 217.3; 1610.9; 583.9; 367.3; 40.4; 910.8; 700.1; -31.5; 668.6; 44.0; 624.6; 0.0; 624.6; 0.0; 624.6; 756.2; 700.1; 109.8; 115.1; 5.69; 5.43
2019-12-31; 1863.5; 221.7; 1641.8; 552.4; 451.8; 38.1; 966.1; 675.7; 214.1; 889.8; 97.8; 792.0; 0.0; 792.0; 0.0; 792.0; 730.0; 675.7; 109.2; 114.6; 7.26; 6.93
2019-09-30; 1743.7; 225.5; 1518.2; 526.0; 304.4; 50.7; 779.7; 738.5; 30.0; 768.5; 98.9; 669.6; 0.0; 669.6; 0.0; 669.6; 791.4; 738.5; 109.4; 114.2; 6.12; 5.86
2019-06-30; 1577.8; 145.8; 1432.0; 885.5; 294.6; 63.7; 1116.4; 315.6; -90.9; 224.7; 31.6; 193.1; 0.0; 193.1; 0.0; 193.1; 367.7; 315.6; 109.2; 114.6; 1.77; 1.68
2019-03-31; 1372.6; 172.1; 1200.5; 486.1; 291.1; 56.7; 720.5; 480.0; 66.1; 546.1; 85.0; 461.1; 0.0; 461.1; 0.0; 461.1; 531.0; 480.0; 108.9; 115.5; 4.23; 3.99
2018-12-31; 362.6; 100.5; 262.1; -116.1; 62.4; 0.0; -456.0; 718.1; -42.0; 676.1; -144.2; 820.3; 0.0; 820.3; 0.0; 820.3; 760.9; 718.1; 107.9; 114.8; 7.59; 7.14
2018-09-30; 1663.5; 110.4; 1553.1; 557.0; 369.2; 0.0; 926.2; 626.9; 9.0; 635.9; 41.2; 594.7; 0.0; 594.7; 0.0; 594.7; 662.3; 626.9; 108.0; 115.1; 5.5; 5.17
2018-06-30; 1608.0; 91.7; 1516.3; 529.3; 364.8; 0.0; 894.1; 622.2; 33.9; 656.1; 104.7; 551.4; 0.0; 551.4; 0.0; 551.4; 655.8; 622.2; 107.8; 114.5; 5.12; 4.82
2018-03-31; 1511.5; 114.9; 1396.6; 498.6; 330.8; 0.0; 829.4; 567.2; 18.2; 585.4; 107.4; 478.0; 0.0; 478.0; 0.0; 478.0; 603.6; 567.2; 107.6; 114.9; 4.44; 4.16
2017-12-31; 1582.42; 105.78; 1476.64; 527.94; 409.88; 0.0; 937.82; 538.82; 15.94; 554.76; 381.25; 173.51; 0.0; 173.51; 0.0; 173.51; 573.36; 538.82; 106.3; 115.9; 1.61; 1.52
2017-09-30; 1500.67; 104.23; 1396.44; 529.75; 306.77; 0.0; 836.51; 559.93; 5.68; 565.61; 177.29; 388.32; 0.0; 388.32; 0.0; 388.32; 597.64; 559.93; 106.71; 117.03; 3.64; 3.32
2017-06-30; 1470.12; 102.92; 1367.19; 509.98; 306.91; 0.0; 816.88; 550.31; -24.46; 525.85; 138.11; 387.74; 0.0; 387.74; 0.0; 387.74; 585.44; 550.31; 106.03; 116.14; 3.66; 3.34
2017-03-31; 1318.99; 84.17; 1234.82; 507.44; 296.85; 0.0; 804.28; 430.54; 1.75; 432.29; 183.36; 248.93; 0.0; 248.93; 0.0; 248.93; 468.66; 430.54; 105.57; 115.11; 2.36; 2.16
2016-12-31; 1226.8; 74.69; 1152.11; 479.21; 325.94; 0.0; 805.15; 346.96; -5.45; 341.51; 88.42; 253.09; 0.0; 253.09; 0.0; 253.09; 375.82; 346.96; 104.7; 116.3; 2.4; 2.15
2016-09-30; 1220.12; 44.23; 1175.89; 543.05; 270.05; 0.0; 813.09; 362.8; 3.08; 365.88; 101.08; 264.8; 0.0; 264.8; 0.0; 264.8; 390.64; 362.8; 104.83; 116.47; 2.53; 2.27
2016-06-30; 1212.63; 69.03; 1143.6; 559.93; 292.04; 0.0; 851.97; 291.63; 0.63; 292.26; 96.04; 196.22; 0.0; 196.22; 0.0; 196.22; 316.66; 291.63; 104.63; 116.23; 1.88; 1.69
