Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-10-31; 4565.49; 3424.05; 1141.44; 0.0; 693.37; 0.0; 693.37; 448.08; 2.8; 450.88; 108.84; 342.04; 0.0; 342.04; 0.0; 342.04; 549.46; 448.08; 342.12; 343.72; 1.0; 1.0
2022-07-31; 4583.01; 3399.53; 1183.47; 0.0; 667.06; 0.0; 667.06; 516.41; -10.67; 505.74; 121.23; 384.52; 0.0; 384.52; 0.0; 384.52; 613.48; 516.41; 344.88; 346.11; 1.11; 1.11
2022-04-30; 4333.1; 3196.45; 1136.65; 0.0; 669.5; 0.0; 669.5; 467.16; -17.7; 449.46; 111.02; 338.44; 0.0; 338.44; 0.0; 338.44; 559.27; 467.16; 347.05; 348.82; 0.98; 0.97
2022-01-31; 5020.65; 3773.64; 1247.01; 0.0; 755.87; 0.0; 755.87; 491.14; -17.83; 473.32; 106.5; 366.82; 0.0; 366.82; 0.0; 366.82; 589.67; 491.14; 351.5; 353.73; 1.05; 1.05
2021-10-31; 4574.54; 3326.0; 1248.54; 0.0; 725.76; 0.0; 725.76; 522.78; -18.74; 504.03; 119.0; 385.03; 0.0; 385.03; 0.0; 385.03; 610.82; 522.78; 351.07; 353.08; 1.1; 1.09
2021-07-31; 4804.97; 3410.87; 1394.1; 0.0; 717.79; 0.0; 717.79; 676.31; -18.71; 657.61; 163.35; 494.26; 0.0; 494.26; 0.0; 494.26; 762.9; 676.31; 352.87; 354.94; 1.4; 1.39
2021-04-30; 4516.08; 3198.4; 1317.68; 0.0; 675.05; 0.0; 675.05; 642.63; -19.05; 623.58; 147.1; 476.48; 0.0; 476.48; 0.0; 476.48; 730.14; 642.63; 352.99; 355.37; 1.35; 1.34
2021-01-31; 4249.67; 3157.04; 1092.63; 0.0; 690.62; 0.0; 690.62; 402.0; -19.15; 382.85; 144.87; 237.98; 0.0; 237.98; 0.0; 237.98; 498.05; 402.0; 352.39; 354.62; 0.68; 0.68
2020-10-31; 3754.51; 2711.42; 1043.09; 0.0; 877.86; 0.0; 877.86; 165.23; -28.74; 136.49; 5.3; 131.2; 0.0; 131.2; 0.0; 131.2; 253.8; 165.23; 352.48; 354.46; 0.37; 0.37
2020-07-31; 2684.71; 2080.12; 604.59; 0.0; 519.5; 0.0; 519.5; 85.1; -28.86; 56.24; 34.2; 22.05; 0.0; 22.05; 0.0; 22.05; 174.12; 85.1; 352.28; 354.23; 0.06; 0.06
2020-04-30; 1842.67; 1889.99; -47.32; 0.0; 415.31; 0.0; 415.31; -462.62; -6.67; -469.29; -163.45; -305.84; 0.0; -305.84; 0.0; -305.84; -372.02; -462.62; 352.2; 352.2; -0.87; -0.87
2020-01-31; 4413.44; 3224.24; 1189.21; 0.0; 601.88; 0.0; 601.88; 587.33; 3.29; 590.62; 134.48; 456.13; 0.0; 456.13; 0.0; 456.13; 683.13; 587.33; 358.46; 361.18; 1.28; 1.28
2019-10-31; 3849.12; 2766.43; 1082.68; 0.0; 604.61; 0.0; 604.61; 478.08; 4.4; 482.48; 111.55; 370.93; 0.0; 370.93; 0.0; 370.93; 566.27; 478.08; 356.88; 359.3; 1.04; 1.03
2019-07-31; 3979.87; 2843.85; 1136.02; 0.0; 591.97; 0.0; 591.97; 544.05; 4.78; 548.83; 136.11; 412.72; 0.0; 412.72; 0.0; 412.72; 628.19; 544.05; 359.79; 362.07; 1.15; 1.14
2019-04-30; 3796.64; 2701.67; 1094.97; 0.0; 558.25; 0.0; 558.25; 536.72; 5.63; 542.36; 121.22; 421.14; 0.0; 421.14; 0.0; 421.14; 619.48; 536.72; 363.08; 365.91; 1.16; 1.15
2019-01-31; 4107.39; 2989.74; 1117.64; 0.0; 575.97; 0.0; 575.97; 541.68; 5.31; 546.99; 105.3; 441.69; 0.0; 441.69; 0.0; 441.69; 625.88; 541.68; 369.53; 372.68; 1.21; 1.2
2018-10-31; 3549.61; 2547.33; 1002.28; 0.0; 561.58; 0.0; 561.58; 440.7; 2.95; 443.65; 105.55; 338.11; 0.0; 338.11; 0.0; 338.11; 524.45; 440.7; 368.1; 371.06; 0.92; 0.91
2018-07-31; 3737.93; 2666.98; 1070.94; 0.0; 554.58; 0.0; 554.58; 516.36; 1.39; 517.75; 128.35; 389.4; 0.0; 389.4; 0.0; 389.4; 598.97; 516.36; 371.03; 373.72; 1.05; 1.04
2018-04-30; 3588.62; 2522.22; 1066.4; 0.0; 524.42; 0.0; 524.42; 541.98; 0.5; 542.48; 124.23; 418.25; 0.0; 418.25; 0.0; 418.25; 621.77; 541.98; 373.8; 377.06; 1.12; 1.11
2018-01-31; 4067.81; 2922.58; 1145.22; 0.0; 553.31; 0.0; 553.31; 591.92; -0.39; 591.53; 140.78; 450.75; 0.0; 450.75; 0.0; 450.75; 677.83; 591.92; 381.17; 384.33; 1.2; 1.19
2017-10-31; 3328.89; 2369.15; 959.75; 0.0; 517.3; 0.0; 517.3; 442.45; -1.78; 440.67; 166.22; 274.45; 0.0; 274.45; 0.0; 274.45; 518.8; 442.45; 379.43; 382.13; 0.72; 0.72
2017-07-31; 3431.6; 2420.94; 1010.66; 0.0; 498.28; 0.0; 498.28; 512.39; -2.34; 510.04; 193.5; 316.54; 0.0; 316.54; 0.0; 316.54; 587.47; 512.39; 383.01; 385.57; 0.83; 0.82
2017-04-30; 3306.43; 2329.97; 976.46; 0.0; 474.82; 0.0; 474.82; 501.64; -3.17; 498.48; 177.46; 321.02; 0.0; 321.02; 0.0; 321.02; 577.46; 501.64; 386.43; 389.73; 0.83; 0.82
2017-01-31; 3510.16; 2539.56; 970.59; 0.0; 493.8; 0.0; 493.8; 476.79; -3.75; 473.04; 172.47; 300.57; 0.0; 300.57; 0.0; 300.57; 555.17; 476.79; 392.12; 394.96; 0.77; 0.77
2016-10-31; 3086.69; 2206.09; 880.6; 0.0; 490.17; 0.0; 490.17; 390.42; -4.16; 386.27; 141.72; 244.55; 0.0; 244.55; 0.0; 244.55; 465.93; 390.42; 390.87; 393.37; 0.63; 0.62
2016-07-31; 3180.92; 2251.84; 929.07; 0.0; 469.51; 0.0; 469.51; 459.56; -4.21; 455.35; 173.44; 281.91; 0.0; 281.91; 0.0; 281.91; 534.31; 459.56; 393.57; 395.93; 0.72; 0.71
2016-04-30; 3088.99; 2176.2; 912.79; 0.0; 436.92; 0.0; 436.92; 475.87; -4.36; 471.5; 180.87; 290.63; 0.0; 290.63; 0.0; 290.63; 549.74; 475.87; 395.8; 398.81; 0.73; 0.73
