Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3597.8; 2192.4; 1405.4; 0.0; 362.8; 5.2; 741.1; 664.3; -156.5; 507.8; 90.9; 416.9; 0.0; 416.9; 0.0; 416.9; 1041.0; 664.3; 316.5; 317.0; 1.32; 1.32
2022-06-30; 3413.6; 2064.4; 1349.2; 0.0; 391.5; -2.2; 759.6; 589.6; -111.5; 478.1; 106.3; 371.8; 0.0; 371.8; 0.0; 371.9; 949.5; 589.6; 316.5; 317.0; 1.18; 1.17
2022-03-31; 2968.8; 1762.3; 1206.5; 0.0; 307.8; 0.0; 645.9; 560.6; -88.4; 472.2; 120.3; 351.9; 0.0; 351.9; 0.0; 352.0; 892.7; 560.6; 316.6; 317.2; 1.11; 1.11
2021-12-31; 2952.9; 1809.7; 1143.2; 0.0; 315.6; -0.7; 641.5; 501.7; -224.8; 276.9; -36.2; 313.1; 0.0; 313.1; 0.0; 313.1; 821.5; 501.7; 318.8; 319.4; 0.98; 0.98
2021-09-30; 2933.9; 1744.0; 1189.9; 0.0; 299.0; 0.0; 625.7; 564.2; -93.5; 470.7; 119.9; 350.8; 0.0; 350.8; 0.0; 350.3; 886.3; 564.2; 318.6; 319.4; 1.1; 1.1
2021-06-30; 2812.3; 1650.2; 1162.1; 0.0; 315.8; -0.9; 644.2; 517.9; -90.5; 427.4; 95.4; 332.0; 0.0; 332.0; 0.0; 331.1; 841.6; 517.9; 319.5; 320.0; 1.04; 1.03
2021-03-31; 2595.9; 1533.8; 1062.1; 0.0; 265.4; 1.1; 569.7; 492.4; -92.3; 400.1; 103.7; 296.4; 0.0; 296.4; 0.0; 295.9; 795.0; 492.4; 319.4; 319.8; 0.93; 0.93
2020-12-31; 2573.2; 1547.2; 1026.0; 0.0; 257.7; -43.4; 593.3; 432.7; -231.4; 201.3; -35.0; 236.3; 0.0; 236.3; 0.0; 235.4; 720.7; 432.7; 319.3; 319.8; 0.74; 0.73
2020-09-30; 2572.1; 1535.4; 1036.7; 0.0; 256.1; -31.5; 588.8; 447.9; -129.2; 318.7; 58.5; 260.2; 0.0; 260.2; 0.0; 260.0; 739.3; 447.9; 319.2; 319.7; 0.81; 0.81
2020-06-30; 2454.4; 1467.9; 986.5; 0.0; 262.1; -36.9; 591.1; 395.4; -95.3; 300.1; 73.8; 226.3; 0.0; 226.3; 0.0; 225.5; 685.3; 395.4; 319.0; 319.6; 0.71; 0.71
2020-03-31; 2553.9; 1550.0; 1003.9; 0.0; 277.1; -0.4; 570.8; 433.1; -110.5; 322.6; 75.8; 246.8; 0.0; 246.8; 0.0; 246.3; 722.6; 433.1; 319.6; 320.2; 0.77; 0.77
2019-12-31; 2576.6; 1543.9; 1032.7; 0.0; 285.6; -8.8; 573.5; 459.2; -174.3; 284.9; -5.1; 290.0; 0.0; 290.0; 0.0; 289.3; 737.1; 459.2; 321.1; 322.0; 0.9; 0.9
2019-09-30; 2646.9; 1631.4; 1015.5; 0.0; 275.4; 24.0; 547.7; 467.8; -98.3; 369.5; 71.5; 298.0; 0.0; 298.0; 0.0; 298.3; 755.6; 467.8; 320.6; 321.7; 0.93; 0.93
2019-06-30; 2605.3; 1617.0; 988.3; 0.0; 264.5; -0.2; 550.9; 437.4; -108.8; 328.6; 77.7; 250.9; 0.0; 250.9; 0.0; 251.5; 722.1; 437.4; 321.7; 322.8; 0.78; 0.78
2019-03-31; 2470.6; 1506.1; 964.5; 0.0; 266.4; -0.3; 541.7; 422.8; -110.0; 312.8; 77.9; 234.9; 0.0; 234.9; 0.0; 234.2; 694.8; 422.8; 322.3; 323.5; 0.73; 0.72
2018-12-31; 2529.9; 1525.6; 1004.3; 0.0; 284.5; 39.6; 521.2; 483.1; -125.7; 357.4; 56.3; 301.1; 0.0; 301.1; 0.0; 300.9; 755.5; 483.1; 326.9; 328.4; 0.92; 0.92
2018-09-30; 2565.7; 1577.4; 988.3; 0.0; 260.9; 4.6; 548.0; 440.3; -100.0; 340.3; 77.4; 262.9; 0.0; 262.9; 0.0; 263.4; 722.8; 440.3; 325.5; 326.9; 0.81; 0.81
2018-06-30; 2517.8; 1577.2; 940.6; 0.0; 252.9; 0.0; 532.4; 408.2; -95.6; 312.6; 76.9; 235.7; 0.0; 235.7; 0.0; 234.9; 683.9; 408.2; 327.4; 328.8; 0.72; 0.71
2018-03-31; 2427.5; 1469.8; 957.7; 0.0; 261.2; 0.7; 553.5; 404.2; -93.6; 310.6; 72.7; 237.9; 0.0; 237.9; 0.0; 237.7; 687.7; 404.2; 330.7; 332.2; 0.72; 0.72
2017-12-31; 2560.0; 1593.0; 967.0; 0.0; 274.3; 6.7; 560.2; 406.8; -111.0; 295.8; -368.7; 664.5; 0.0; 664.5; 0.0; 664.5; 694.0; 406.8; 337.1; 339.0; 1.98; 1.96
2017-09-30; 2562.0; 1580.1; 981.9; 0.0; 266.7; 17.4; 533.8; 448.1; -91.4; 356.7; 133.4; 223.3; 0.0; 223.3; 0.0; 223.2; 728.9; 448.1; 336.5; 338.5; 0.66; 0.66
2017-06-30; 2526.7; 1557.4; 969.3; 0.0; 262.9; 1.4; 543.8; 425.5; -92.1; 333.4; 130.0; 203.4; 0.0; 203.4; 0.0; 202.9; 703.7; 425.5; 338.1; 340.0; 0.6; 0.6
2017-03-31; 2392.8; 1484.1; 908.7; 0.0; 253.5; 7.2; 520.6; 388.1; -91.9; 296.2; 108.4; 187.8; 0.0; 187.8; 0.0; 187.8; 658.0; 388.1; 339.87; 341.9; 0.55; 0.55
2016-12-31; 2379.1; 1465.2; 913.9; 0.0; 249.7; 0.1; 521.9; 392.0; -97.3; 294.7; 105.1; 189.6; 0.0; 189.6; 0.0; 189.5; 657.2; 392.0; 343.0; 344.4; 0.56; 0.56
2016-09-30; 2409.3; 1476.7; 932.6; 0.0; 235.4; 0.0; 514.7; 417.9; -291.0; 126.9; 41.2; 85.7; 0.0; 85.7; 0.0; 85.6; 690.0; 417.9; 342.6; 344.0; 0.25; 0.25
2016-06-30; 2350.7; 1440.7; 910.0; 0.0; 243.5; 0.0; 527.9; 382.1; -90.4; 291.7; 110.7; 181.0; 0.0; 181.0; 0.0; 180.8; 652.0; 382.1; 343.9; 345.2; 0.53; 0.52
2016-03-31; 2248.6; 1381.4; 867.2; 0.0; 241.2; -5.6; 521.7; 345.5; -92.9; 252.6; 95.7; 156.9; 0.0; 156.9; 0.0; 156.7; 608.5; 345.5; 345.4; 346.7; 0.45; 0.45
2015-12-31; 2290.2; 1403.7; 886.5; 0.0; 263.6; 0.0; 532.6; 353.9; -92.0; 261.9; 89.5; 172.4; 0.0; 172.4; 0.0; 172.2; 618.4; 353.9; 349.98; 351.4; 0.49; 0.49
2015-09-30; 2344.0; 1390.2; 953.8; 0.0; 244.1; 0.0; 510.9; 442.9; -92.1; 350.8; 135.6; 215.2; 0.0; 215.2; 0.0; 215.0; 709.7; 442.9; 348.94; 350.3; 0.62; 0.61
2015-06-30; 2311.4; 1420.4; 891.0; 0.0; 236.2; 0.0; 501.8; 389.2; -90.5; 298.7; 108.4; 190.3; 0.0; 190.3; 0.0; 190.3; 654.8; 389.2; 350.66; 352.02; 0.54; 0.54
2015-03-31; 2169.4; 1304.3; 865.1; 0.0; 239.2; 0.0; 492.3; 372.8; -88.3; 284.5; 112.0; 172.5; 0.0; 172.5; 0.0; 172.4; 625.9; 372.8; 353.3; 354.8; 0.49; 0.49
2014-12-31; 2229.0; 1540.4; 688.6; 0.0; 255.1; -19.7; 522.3; 166.3; -87.3; 79.0; 28.5; 50.5; 0.0; 50.5; 0.0; 50.3; 413.8; 166.3; 356.67; 358.11; 0.15; 0.14
2014-09-30; 2267.9; 1401.1; 866.8; 0.0; 229.0; -0.3; 484.4; 382.4; -87.0; 295.4; 109.6; 185.8; 0.0; 185.8; 0.0; 185.8; 637.5; 382.4; 356.25; 357.74; 0.52; 0.52
2014-06-30; 2229.2; 1376.9; 852.3; 0.0; 221.0; -1.5; 474.0; 378.3; -87.6; 290.7; 111.7; 179.0; 0.0; 179.0; 0.0; 179.0; 628.0; 378.3; 356.21; 357.58; 0.5; 0.5
2014-03-31; 2077.2; 1324.7; 752.5; 0.0; 213.8; 0.0; 446.4; 306.1; -85.9; 220.2; 87.6; 132.6; 0.0; 132.6; 0.0; 132.5; 538.7; 306.1; 359.78; 361.0; 0.37; 0.37
2013-12-31; 2141.5; 1284.0; 857.5; 0.0; 209.5; 0.0; 454.9; 402.6; -89.2; 313.4; 76.7; 236.7; 0.0; 236.7; 0.0; 236.6; 648.0; 402.6; 362.1; 363.42; 0.66; 0.66
2013-09-30; 2165.4; 1317.6; 847.8; 0.0; 209.6; -41.6; 495.5; 352.3; -88.9; 263.4; 92.3; 171.1; 0.0; 171.1; 0.0; 171.4; 595.9; 352.3; 361.67; 363.0; 0.47; 0.47
2013-06-30; 2111.7; 1410.0; 701.7; 0.0; 228.2; -53.1; 520.5; 181.2; -90.1; 91.1; 34.7; 56.4; 0.0; 56.4; 0.0; 56.3; 417.4; 181.2; 362.95; 364.39; 0.16; 0.15
2013-03-31; 1998.6; 1223.1; 775.5; 0.0; 206.5; -61.1; 501.3; 274.2; -90.9; 183.3; 58.4; 124.9; 0.0; 124.9; 0.0; 124.6; 503.0; 274.2; 362.66; 364.09; 0.34; 0.34
2012-12-31; 2028.4; 1283.5; 744.9; 0.0; 207.4; -1.9; 456.1; 288.8; -89.7; 199.1; 72.1; 127.0; 0.0; 127.0; 0.0; 127.0; 524.5; 288.8; 366.88; 368.0; 0.34; 0.35
2012-09-30; 2046.9; 1280.5; 766.4; 0.0; 193.8; -31.5; 448.5; 317.9; -94.8; 223.1; 70.3; 152.8; 0.0; 152.8; 0.0; 152.7; 541.1; 317.9; 365.4; 366.43; 0.42; 0.42
2012-06-30; 2060.6; 1238.5; 822.1; 0.0; 197.3; -3.2; 435.1; 387.0; -208.4; 178.6; 29.1; 149.5; 0.0; 149.5; 0.0; 149.2; 621.6; 387.0; 367.89; 368.87; 0.41; 0.4
2012-03-31; 1982.4; 1203.2; 779.2; 0.0; 222.4; 3.5; 452.3; 326.9; -103.8; 223.1; 80.3; 142.8; 0.0; 142.8; 0.0; 142.9; 560.3; 326.9; 371.0; 372.49; 0.39; 0.38
2011-12-31; 2025.2; 1207.6; 817.6; 0.0; 213.9; -3.3; 450.8; 366.8; -107.8; 259.0; 68.0; 191.0; 0.0; 191.0; 0.0; 191.0; 600.4; 366.8; 375.96; 377.61; 0.52; 0.51
2011-09-30; 2116.2; 1260.0; 856.2; 0.0; 207.5; -5.8; 447.7; 408.5; -112.5; 296.0; 102.4; 193.6; 0.0; 193.6; 0.0; 193.5; 642.9; 408.5; 373.2; 374.7; 0.52; 0.52
2011-06-30; 2086.6; 1237.8; 848.8; 0.0; 200.1; -19.4; 447.6; 401.2; -309.9; 91.3; 45.1; 46.2; 0.0; 46.2; 0.0; 46.5; 629.3; 401.2; 378.2; 380.17; 0.12; 0.12
2011-03-31; 1964.9; 1159.7; 805.2; 0.0; 203.9; 0.4; 429.0; 376.2; -116.2; 260.0; 101.9; 158.1; 0.0; 158.1; 0.0; 158.2; 601.7; 376.2; 382.0; 384.0; 0.41; 0.41
2010-12-31; 2020.8; 1184.8; 836.0; 0.0; 227.5; 8.0; 446.6; 389.4; -128.6; 260.8; 112.9; 147.9; 0.0; 147.9; 0.0; 147.6; 614.7; 389.4; 382.99; 385.11; 0.38; 0.38
2010-09-30; 2061.7; 1224.9; 836.8; 0.0; 209.4; -25.5; 469.2; 367.6; -137.9; 229.7; 95.2; 134.5; 0.0; 134.5; 0.0; 134.2; 599.3; 367.6; 384.01; 386.08; 0.35; 0.35
2010-06-30; 2066.4; 1218.3; 848.1; 0.0; 210.8; -1.1; 447.3; 400.8; -130.5; 270.3; 110.4; 159.9; 0.0; 159.9; 0.0; 159.7; 634.8; 400.8; 382.5; 384.7; 0.42; 0.42
2010-03-31; 1957.7; 1136.8; 820.9; 0.0; 210.3; -0.5; 439.6; 381.3; -265.1; 116.2; 51.0; 65.2; 0.0; 65.2; 0.0; 65.0; 604.5; 381.3; 381.4; 383.3; 0.17; 0.17
2009-12-31; 1999.0; 1201.1; 797.9; 0.0; 221.7; -7.3; 468.7; 329.2; -248.7; 80.5; 44.6; 35.9; 0.0; 35.9; 0.0; 35.6; 561.6; 329.2; 379.7; 381.0; 0.08; 0.09
2009-09-30; 2073.5; 1207.5; 866.0; 0.0; 225.4; -0.9; 479.1; 386.9; -174.8; 212.1; 91.1; 121.0; 0.0; 121.0; 0.0; 120.5; 627.3; 386.9; 379.7; 381.1; 0.32; 0.32
2009-06-30; 2066.1; 1226.9; 839.2; 0.0; 215.8; 150.1; 318.5; 520.7; -148.7; 372.0; 145.8; 226.2; 0.0; 226.2; 0.0; 225.9; 761.3; 520.7; 379.2; 379.9; 0.6; 0.59
2009-03-31; 2060.5; 1208.7; 851.8; 0.0; 217.5; -4.9; 498.8; 353.0; -152.6; 200.4; 87.0; 113.4; 0.0; 113.4; 0.0; 113.0; 598.1; 353.0; 378.9; 379.9; 0.3; 0.3
