Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-10-31; 1284.29; 282.72; 1001.57; 461.62; 315.86; 0.0; 784.2; 217.37; -5.24; 212.13; 60.57; 151.56; 0.0; 151.56; 0.0; 153.5; 294.66; 217.37; 153.0; 156.49; 1.0; 0.98
2022-07-31; 1247.77; 271.18; 976.59; 444.83; 290.71; 0.0; 742.66; 233.93; 2.43; 236.35; 16.71; 219.65; 0.0; 219.65; 0.0; 222.63; 311.54; 233.93; 152.94; 155.81; 1.46; 1.43
2022-04-30; 1279.23; 252.81; 1026.42; 389.96; 265.53; 0.0; 662.72; 363.7; -23.91; 339.79; 45.9; 293.89; 0.0; 293.89; 0.0; 294.78; 431.81; 363.7; 153.09; 156.17; 1.93; 1.89
2022-01-31; 1270.26; 256.98; 1013.27; 383.97; 261.52; 0.0; 666.24; 347.04; -19.79; 327.24; 13.9; 313.34; 0.0; 313.34; 0.0; 313.69; 425.46; 347.04; 153.22; 157.27; 2.05; 1.99
2021-10-31; 1152.42; 234.73; 917.69; 413.86; 286.64; 0.0; 727.4; 190.29; 8.79; 199.08; -2.06; 201.14; 0.0; 201.14; 0.0; 201.45; 260.41; 190.29; 152.7; 157.34; 1.32; 1.27
2021-07-31; 1057.13; 205.07; 852.06; 371.15; 255.27; 0.0; 650.14; 201.92; 11.41; 213.34; 14.95; 198.39; 0.0; 198.39; 0.0; 198.65; 269.63; 201.92; 152.63; 156.91; 1.3; 1.27
2021-04-30; 1024.32; 213.99; 810.34; 362.35; 245.45; 0.0; 616.11; 194.23; 21.76; 216.0; 21.19; 194.8; 0.0; 194.8; 0.0; 195.08; 259.14; 194.23; 152.72; 157.08; 1.28; 1.24
2021-01-31; 970.32; 208.0; 762.32; 357.47; 248.12; 0.0; 613.97; 148.35; 28.76; 177.1; 15.08; 162.03; 0.0; 162.03; 0.0; 162.34; 213.98; 148.35; 152.5; 157.28; 1.06; 1.03
2020-10-31; 1025.44; 224.55; 800.89; 339.57; 256.3; 0.0; 604.76; 196.13; -4.57; 191.57; -4.99; 196.56; 0.0; 196.56; 0.0; 197.46; 263.3; 196.13; 151.13; 155.71; 1.31; 1.27
2020-07-31; 964.13; 193.01; 771.13; 322.6; 229.97; 0.0; 560.53; 210.6; 26.26; 236.85; -16.06; 252.91; 0.0; 252.91; 0.0; 252.91; 281.25; 210.6; 151.35; 155.97; 1.67; 1.62
2020-04-30; 861.33; 184.26; 677.06; 302.57; 208.67; 0.0; 551.17; 125.89; -15.73; 110.17; 0.25; 109.92; 0.0; 109.92; 0.0; 109.92; 193.26; 125.89; 150.6; 154.38; 0.73; 0.71
2020-01-31; 834.38; 192.87; 641.51; 314.28; 221.6; 0.0; 554.0; 87.52; 12.06; 99.57; -4.49; 104.06; 0.0; 104.06; 0.0; 104.06; 153.51; 87.52; 150.24; 154.5; 0.69; 0.67
2019-10-31; 851.08; 182.74; 668.34; 290.5; 224.59; 0.0; 538.62; 129.72; 1.9; 131.62; -29.09; 160.71; 0.0; 160.71; 0.0; 160.71; 195.78; 129.72; 149.87; 154.19; 1.06; 1.02
2019-07-31; 852.97; 186.63; 666.34; 284.8; 224.49; 0.0; 538.74; 127.59; 5.32; 132.91; 32.98; 99.93; 0.0; 99.93; 0.0; 99.93; 194.69; 127.59; 150.12; 154.6; 0.67; 0.65
