Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 8378.0; 3454.0; 4924.0; 0.0; 1899.0; 90.0; 2731.0; 2193.0; -292.0; 1901.0; 414.0; 1487.0; 0.0; 1487.0; 0.0; 1472.0; 3282.0; 2193.0; 1082.0; 1088.0; 1.36; 1.35
2022-06-30; 7206.0; 2689.0; 4517.0; 0.0; 1907.0; -42.0; 2862.0; 1655.0; -262.0; 1393.0; 304.0; 1089.0; 0.0; 1089.0; 0.0; 1107.0; 2661.0; 1655.0; 1065.0; 1072.0; 1.04; 1.03
2022-03-31; 6648.0; 2507.0; 4141.0; 0.0; 1888.0; 23.0; 2757.0; 1384.0; -220.0; 1164.0; 173.0; 991.0; 0.0; 991.0; 0.0; 1032.0; 2373.0; 1384.0; 1063.0; 1069.0; 0.97; 0.97
2021-12-31; 5767.0; 2123.0; 3644.0; 0.0; 2152.0; -916.0; 3975.0; -331.0; -236.0; -567.0; -283.0; -284.0; 0.0; -284.0; 0.0; -215.0; 698.0; -331.0; 1061.0; 1068.0; -0.2; -0.2
2021-09-30; 6238.0; 1722.0; 4516.0; 0.0; 1758.0; -139.0; 2793.0; 1723.0; -241.0; 1482.0; 372.0; 1110.0; 0.0; 1110.0; 0.0; 1101.0; 2718.0; 1723.0; 1061.0; 1068.0; 1.04; 1.03
2021-06-30; 5198.0; 1399.0; 3799.0; 0.0; 1751.0; -449.0; 3091.0; 708.0; -344.0; 364.0; -12.0; 376.0; 0.0; 376.0; 0.0; 372.0; 1693.0; 708.0; 1061.0; 1067.0; 0.35; 0.35
2021-03-31; 5910.0; 1720.0; 4190.0; 0.0; 1717.0; -4.0; 2592.0; 1598.0; -301.0; 1297.0; 190.0; 1107.0; 0.0; 1107.0; 0.0; 1135.0; 2562.0; 1598.0; 1060.0; 1066.0; 1.07; 1.06
2020-12-31; 5117.0; 1409.0; 3708.0; 0.0; 1930.0; -150.0; 2979.0; 729.0; -421.0; 308.0; -50.0; 358.0; 0.0; 358.0; 0.0; 388.0; 1731.0; 729.0; 1058.0; 1065.0; 0.37; 0.36
2020-09-30; 5620.0; 1306.0; 4314.0; 0.0; 1590.0; 0.0; 2479.0; 1835.0; -259.0; 1576.0; 293.0; 1283.0; 0.0; 1283.0; 0.0; 1251.0; 2822.0; 1835.0; 1058.0; 1064.0; 1.18; 1.18
2020-06-30; 4620.0; 1039.0; 3581.0; 0.0; 1501.0; -149.0; 2523.0; 1058.0; -432.0; 626.0; 5.0; 621.0; 0.0; 621.0; 0.0; 612.0; 2025.0; 1058.0; 1058.0; 1063.0; 0.58; 0.58
2020-03-31; 5018.0; 1311.0; 3707.0; 0.0; 1626.0; 39.0; 2444.0; 1263.0; -277.0; 986.0; 145.0; 841.0; 0.0; 841.0; 0.0; 868.0; 2212.0; 1263.0; 1057.0; 1067.0; 0.82; 0.81
2019-12-31; 4914.0; 1459.0; 3455.0; 0.0; 1993.0; 0.0; 2765.0; 690.0; -355.0; 335.0; -74.0; 409.0; 0.0; 409.0; 0.0; 440.0; 1507.0; 690.0; 1046.0; 1054.0; 0.4; 0.41
2019-09-30; 5995.0; 1519.0; 4476.0; 0.0; 1599.0; -104.0; 2463.0; 2013.0; -301.0; 1712.0; 367.0; 1345.0; 0.0; 1345.0; 0.0; 1316.0; 2904.0; 2013.0; 1048.0; 1057.0; 1.26; 1.25
2019-06-30; 5098.0; 1390.0; 3708.0; 0.0; 1619.0; 8.0; 2366.0; 1342.0; -266.0; 1076.0; 145.0; 931.0; 0.0; 931.0; 0.0; 899.0; 2114.0; 1342.0; 1044.0; 1052.0; 0.86; 0.85
2019-03-31; 5412.0; 1824.0; 3588.0; 0.0; 1643.0; 2497.0; -103.0; 3691.0; -272.0; 3419.0; 1360.0; 2059.0; 0.0; 2059.0; 0.0; 2084.0; 4542.0; 3691.0; 1038.0; 1045.0; 2.01; 1.99
2018-12-31; 5337.0; 1939.0; 3398.0; 0.0; 1873.0; -155.0; 2820.0; 578.0; -457.0; 121.0; -148.0; 269.0; 0.0; 269.0; 0.0; 278.0; 1480.0; 578.0; 1020.0; 1025.0; 0.26; 0.27
2018-09-30; 6159.0; 1791.0; 4368.0; 0.0; 1723.0; 316.0; 2194.0; 2174.0; -329.0; 1845.0; 623.0; 1222.0; 0.0; 1222.0; 0.0; 1164.0; 3071.0; 2174.0; 1023.0; 1029.0; 1.14; 1.13
2018-06-30; 5627.0; 1846.0; 3781.0; 0.0; 1839.0; -1096.0; 3718.0; 63.0; -329.0; -266.0; -139.0; -127.0; 0.0; -127.0; 0.0; -154.0; 940.0; 63.0; 1014.0; 1014.0; -0.15; -0.15
2018-03-31; 6372.0; 2377.0; 3995.0; 0.0; 1806.0; -44.0; 2619.0; 1376.0; -327.0; 1049.0; 113.0; 936.0; 0.0; 936.0; 0.0; 938.0; 2249.0; 1376.0; 1011.0; 1016.0; 0.93; 0.92
2017-12-31; 5629.0; 1981.0; 3648.0; 0.0; 1968.0; -168.0; 2909.0; 739.0; -415.0; 324.0; -176.0; 500.0; 0.0; 500.0; 0.0; 496.0; 1632.0; 739.0; 1000.0; 1008.0; 0.49; 0.49
2017-09-30; 6201.0; 1765.0; 4436.0; 0.0; 1644.0; -34.0; 2445.0; 1991.0; -292.0; 1699.0; 590.0; 1109.0; 0.0; 1109.0; 0.0; 1069.0; 2872.0; 1991.0; 1003.0; 1010.0; 1.07; 1.06
2017-06-30; 5430.0; 1649.0; 3781.0; 0.0; 1664.0; -3012.0; 5430.0; -1649.0; -286.0; -1935.0; -587.0; -1348.0; 0.0; -1348.0; 0.0; -1381.0; -789.0; -1649.0; 998.0; 1005.0; -1.38; -1.37
2017-03-31; 5771.0; 1982.0; 3789.0; 0.0; 1713.0; -108.0; 2537.0; 1252.0; -272.0; 980.0; 315.0; 665.0; 0.0; 665.0; 0.0; 658.0; 2075.0; 1252.0; 993.0; 1000.0; 0.66; 0.66
2016-12-31; 5181.0; 1775.0; 3406.0; 0.0; 2058.0; -207.0; 2962.0; 444.0; -206.0; 238.0; 34.0; 204.0; 0.0; 204.0; 0.0; 197.0; 1258.0; 444.0; 951.0; 958.0; 0.19; 0.19
2016-09-30; 6264.0; 1844.0; 4420.0; 0.0; 1720.0; -88.0; 2503.0; 1917.0; -301.0; 1616.0; 439.0; 1177.0; 0.0; 1177.0; 0.0; 1139.0; 2720.0; 1917.0; 968.0; 975.0; 1.18; 1.17
2016-06-30; 4459.0; 1270.0; 3189.0; 0.0; 1354.0; -81.0; 2004.0; 1185.0; -277.0; 908.0; 261.0; 647.0; 0.0; 647.0; 0.0; 623.0; 1852.0; 1185.0; 934.0; 940.0; 0.67; 0.66
2016-03-31; 3992.0; 1095.0; 2897.0; 0.0; 1363.0; -53.0; 1957.0; 940.0; -222.0; 718.0; 217.0; 501.0; 0.0; 501.0; 0.0; 489.0; 1579.0; 940.0; 916.0; 922.0; 0.53; 0.53
2015-12-31; 3568.0; 955.0; 2613.0; 0.0; 1333.0; -183.0; 2035.0; 578.0; -163.0; 415.0; 118.0; 297.0; 0.0; 297.0; 0.0; 271.0; 1186.0; 578.0; 910.0; 914.0; 0.3; 0.29
2015-09-30; 5401.0; 1713.0; 3688.0; 0.0; 1361.0; -150.0; 2039.0; 1649.0; -179.0; 1470.0; 500.0; 970.0; 0.0; 970.0; 0.0; 959.0; 2265.0; 1649.0; 910.0; 912.0; 1.05; 1.05
2015-06-30; 4337.0; 1371.0; 2966.0; 0.0; 1345.0; -23.0; 1868.0; 1098.0; -153.0; 945.0; 302.0; 643.0; 0.0; 643.0; 0.0; 629.0; 1691.0; 1098.0; 909.0; 912.0; 0.69; 0.69
2015-03-31; 4183.0; 1356.0; 2827.0; 0.0; 1374.0; -9.0; 1870.0; 957.0; -158.0; 799.0; 274.0; 525.0; 0.0; 525.0; 0.0; 508.0; 1535.0; 957.0; 910.0; 915.0; 0.56; 0.56
2014-12-31; 4017.0; 1398.0; 2619.0; 0.0; 1558.0; -70.0; 2058.0; 561.0; -173.0; 388.0; 88.0; 300.0; 0.0; 300.0; 0.0; 283.0; 1056.0; 561.0; 897.0; 901.0; 0.32; 0.31
2014-09-30; 5339.0; 1850.0; 3489.0; 0.0; 1279.0; -418.0; 2211.0; 1278.0; -151.0; 1127.0; 392.0; 735.0; 0.0; 735.0; 0.0; 718.0; 1894.0; 1278.0; 898.0; 902.0; 0.8; 0.8
2014-06-30; 4467.0; 1595.0; 2872.0; 0.0; 1265.0; 0.0; 1769.0; 1103.0; -154.0; 949.0; 321.0; 628.0; 0.0; 628.0; 0.0; 611.0; 1698.0; 1103.0; 895.0; 899.0; 0.68; 0.68
2014-03-31; 4644.0; 1834.0; 2810.0; 0.0; 1233.0; -380.0; 2110.0; 700.0; -156.0; 544.0; 176.0; 368.0; 0.0; 368.0; 0.0; 351.0; 1287.0; 700.0; 890.0; 893.0; 0.39; 0.39
2013-12-31; 3927.0; 1388.0; 2539.0; 0.0; 1221.0; -40.0; 1740.0; 799.0; -176.0; 623.0; 192.0; 431.0; 0.0; 431.0; 0.0; 414.0; 1372.0; 799.0; 877.0; 881.0; 0.48; 0.47
2013-09-30; 5017.0; 1725.0; 3292.0; 0.0; 1171.0; -150.0; 1801.0; 1491.0; -154.0; 1337.0; 468.0; 869.0; 0.0; 869.0; 0.0; 852.0; 2076.0; 1491.0; 878.0; 881.0; 0.97; 0.97
2013-06-30; 4246.0; 1501.0; 2745.0; 0.0; 1179.0; -450.0; 2105.0; 640.0; -169.0; 471.0; 158.0; 313.0; 0.0; 313.0; 0.0; 297.0; 1212.0; 640.0; 874.0; 879.0; 0.34; 0.34
2013-03-31; 3897.0; 1357.0; 2540.0; 0.0; 1209.0; -540.0; 2215.0; 325.0; -197.0; 128.0; 31.0; 97.0; 0.0; 97.0; 0.0; 81.0; 893.0; 325.0; 870.0; 875.0; 0.09; 0.09
2012-12-31; 3703.0; 1239.0; 2464.0; 0.0; 1179.0; -19.0; 1650.0; 814.0; -179.0; 635.0; 236.0; 399.0; 0.0; 399.0; 0.0; 383.0; 1357.0; 814.0; 871.0; 879.0; 0.46; 0.43
2012-09-30; 5049.0; 1717.0; 3332.0; 0.0; 1143.0; 0.0; 1592.0; 1740.0; -178.0; 1562.0; 569.0; 993.0; 0.0; 993.0; 0.0; 976.0; 2278.0; 1740.0; 876.0; 883.0; 1.11; 1.11
2012-06-30; 4181.0; 1440.0; 2741.0; 0.0; 1172.0; 19.0; 1598.0; 1143.0; -175.0; 968.0; 329.0; 639.0; 0.0; 639.0; 0.0; 623.0; 1678.0; 1143.0; 872.0; 880.0; 0.71; 0.71
2012-03-31; 3604.0; 1205.0; 2399.0; 0.0; 1192.0; 0.0; 1633.0; 766.0; -182.0; 584.0; 200.0; 384.0; 0.0; 384.0; 0.0; 368.0; 1295.0; 766.0; 868.0; 877.0; 0.42; 0.42
2011-12-31; 3696.0; 1353.0; 2343.0; 0.0; 1316.0; 0.0; 1754.0; 589.0; -216.0; 373.0; 96.0; 277.0; 0.0; 277.0; 0.0; 261.0; 1107.0; 589.0; 857.0; 864.0; 0.29; 0.3
2011-09-30; 5428.0; 2123.0; 3305.0; 0.0; 1222.0; 0.0; 1653.0; 1652.0; -176.0; 1476.0; 543.0; 933.0; 0.0; 933.0; 0.0; 916.0; 2171.0; 1652.0; 860.0; 868.0; 1.07; 1.06
