Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 4119.6; 3101.5; 1018.1; 0.0; 799.0; -78.5; 946.1; 72.0; -76.3; -4.3; -40.9; 36.6; 0.0; 36.6; 0.0; 36.6; 210.0; 72.0; 144.38; 153.6; 5.85; 5.5
2022-06-30; 4393.0; 3185.9; 1207.1; 0.0; 849.4; -82.2; 1119.5; 87.6; -71.7; 15.9; -62.8; 78.7; 0.0; 78.7; 0.0; 78.6; 231.0; 87.6; 145.35; 154.81; 0.6; 0.57
2022-03-31; 4448.0; 3142.6; 1305.4; 0.0; 949.2; -73.1; 1075.0; 230.4; -51.9; 178.5; 22.9; 155.6; 0.0; 155.6; 24.6; 180.1; 374.1; 230.4; 155.43; 165.41; 1.13; 1.06
2021-12-31; 4317.8; 3088.8; 1229.0; 0.0; 976.8; -71.6; 1050.1; 178.9; 24.2; 203.1; -120.9; 324.0; 0.0; 327.0; 0.0; 292.0; 325.4; 178.9; 158.76; 165.02; 2.04; 1.99
2021-09-30; 3779.7; 2564.1; 1215.6; 0.0; 770.8; -31.6; 803.0; 412.6; -43.4; 369.2; -0.5; 369.7; 0.0; 379.5; 0.0; 379.6; 556.8; 412.6; 159.44; 165.34; 2.6; 2.51
2021-06-30; 3798.9; 2437.1; 1361.8; 0.0; 772.0; -40.2; 822.6; 539.2; -43.8; 495.4; 67.3; 428.1; 0.0; 432.5; 0.0; 428.7; 681.6; 539.2; 158.64; 165.19; 2.87; 2.75
2021-03-31; 3720.8; 2333.0; 1387.8; 0.0; 716.9; -51.2; 769.9; 617.9; -44.6; 573.3; 115.5; 457.8; 0.0; 459.6; 35.0; 485.8; 761.9; 617.9; 157.49; 164.35; 3.04; 2.91
2020-12-31; 2930.7; 1937.4; 993.3; 0.0; 417.4; 13.1; 403.5; 589.8; -96.9; 492.9; 69.0; 423.9; 0.0; 418.9; 0.0; 408.5; 736.8; 589.8; 154.18; 162.43; 2.97; 2.69
2020-09-30; 3850.2; 2473.9; 1376.3; 0.0; 731.3; -81.9; 856.0; 520.3; -50.7; 469.6; 78.4; 391.2; 0.0; 395.2; 0.0; 385.5; 665.6; 520.3; 156.37; 162.68; 2.47; 2.37
2020-06-30; 3147.4; 2134.7; 1012.7; 0.0; 713.0; -105.9; 846.8; 165.9; -54.8; 111.1; -117.3; 228.4; 0.0; 238.7; 0.0; 233.7; 310.6; 165.9; 153.33; 154.15; 1.52; 1.52
