Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 4738.0; 602.0; 4136.0; 0.0; 3395.0; 0.0; 3395.0; 741.0; 0.0; 741.0; 164.0; 577.0; 0.0; 577.0; 0.0; 567.0; 0.0; 0.0; 445.8; 448.9; 1.27; 1.26
2022-09-30; 4386.0; 414.0; 3972.0; 0.0; 3050.0; 0.0; 3050.0; 922.0; 0.0; 922.0; 219.0; 703.0; 0.0; 703.0; 0.0; 692.0; 0.0; 0.0; 468.5; 470.7; 1.48; 1.47
2022-06-30; 4272.0; 272.0; 4000.0; 0.0; 2934.0; 0.0; 2934.0; 1066.0; 0.0; 1066.0; 262.0; 804.0; 0.0; 804.0; 0.0; 793.0; 0.0; 0.0; 493.0; 495.3; 1.61; 1.6
2022-03-31; 4130.0; 233.0; 3897.0; 0.0; 2664.0; 0.0; 2664.0; 1233.0; 0.0; 1233.0; 301.0; 932.0; 0.0; 932.0; 0.0; 922.0; 0.0; 0.0; 515.3; 519.5; 1.79; 1.77
2021-12-31; 4220.0; 223.0; 3997.0; 0.0; 2950.0; 0.0; 2950.0; 1047.0; 0.0; 1047.0; 234.0; 813.0; 0.0; 813.0; 0.0; 803.0; 0.0; 0.0; 564.6; 569.3; 1.51; 1.49
2021-09-30; 3992.0; 240.0; 3752.0; 0.0; 2252.0; 0.0; 2252.0; 1500.0; 0.0; 1500.0; 359.0; 1141.0; 0.0; 1141.0; 0.0; 1130.0; 0.0; 0.0; 560.6; 565.6; 2.02; 2.0
2021-06-30; 3667.0; 266.0; 3401.0; 0.0; 1760.0; 0.0; 1760.0; 1641.0; 0.0; 1641.0; 399.0; 1242.0; 0.0; 1242.0; 0.0; 1232.0; 0.0; 0.0; 577.2; 581.7; 2.13; 2.12
2021-03-31; 3873.0; 303.0; 3570.0; 0.0; 2255.0; 0.0; 2255.0; 1315.0; 0.0; 1315.0; 290.0; 1025.0; 0.0; 1025.0; 0.0; 1014.0; 0.0; 0.0; 583.3; 587.5; 1.74; 1.73
2020-12-31; 4075.0; 334.0; 3741.0; 0.0; 2797.0; 0.0; 2797.0; 944.0; 0.0; 944.0; 206.0; 738.0; 0.0; 738.0; 0.0; 728.0; 0.0; 0.0; 589.0; 590.8; 1.25; 1.24
2020-09-30; 3968.0; 380.0; 3588.0; 0.0; 3176.0; 0.0; 3176.0; 412.0; 0.0; 412.0; 99.0; 313.0; 0.0; 313.0; 0.0; 303.0; 0.0; 0.0; 583.8; 584.8; 0.52; 0.52
2020-06-30; 3925.0; 434.0; 3491.0; 0.0; 3432.0; 0.0; 3432.0; 59.0; 0.0; 59.0; 11.0; 48.0; 0.0; 48.0; 0.0; 37.0; 0.0; 0.0; 583.7; 584.4; 0.06; 0.06
2020-03-31; 4504.0; 517.0; 3987.0; 0.0; 3605.0; 0.0; 3605.0; 382.0; 0.0; 382.0; 96.0; 286.0; 0.0; 286.0; 0.0; 275.0; 0.0; 0.0; 604.9; 607.4; 0.45; 0.45
2019-12-31; 4689.0; 556.0; 4133.0; 0.0; 3212.0; 0.0; 3212.0; 921.0; 0.0; 921.0; 190.0; 731.0; 0.0; 731.0; 0.0; 731.0; 0.0; 0.0; 670.2; 673.5; 1.17; 1.16
2019-09-30; 5066.0; 592.0; 4474.0; 0.0; 3099.0; 0.0; 3099.0; 1375.0; 0.0; 1375.0; 319.0; 1056.0; 0.0; 1056.0; 0.0; 1056.0; 0.0; 0.0; 658.3; 661.7; 1.6; 1.6
2019-06-30; 4828.0; 583.0; 4245.0; 0.0; 3116.0; 0.0; 3116.0; 1129.0; 0.0; 1129.0; 276.0; 853.0; 0.0; 853.0; 0.0; 853.0; 0.0; 0.0; 683.6; 686.5; 1.25; 1.24
2019-03-31; 4878.0; 560.0; 4318.0; 0.0; 2856.0; 0.0; 2856.0; 1462.0; 0.0; 1462.0; 355.0; 1107.0; 0.0; 1107.0; 0.0; 1107.0; 0.0; 0.0; 706.3; 708.9; 1.57; 1.56
2018-12-31; 4940.0; 543.0; 4397.0; 0.0; 3385.0; 0.0; 3385.0; 1012.0; 0.0; 1012.0; 229.0; 783.0; 0.0; 783.0; 0.0; 783.0; 0.0; 0.0; 742.3; 746.9; 1.08; 1.08
2018-09-30; 4757.0; 488.0; 4269.0; 0.0; 3376.0; 0.0; 3376.0; 893.0; 0.0; 893.0; 222.0; 671.0; 0.0; 671.0; 0.0; 671.0; 0.0; 0.0; 734.9; 738.8; 0.91; 0.91
2018-06-30; 4237.0; 437.0; 3800.0; 0.0; 2908.0; 0.0; 2908.0; 892.0; 0.0; 892.0; 196.0; 696.0; 0.0; 696.0; 0.0; 696.0; 0.0; 0.0; 752.2; 758.3; 0.93; 0.92
2018-03-31; 4319.0; 402.0; 3917.0; 0.0; 3070.0; 0.0; 3070.0; 847.0; 0.0; 847.0; 207.0; 640.0; 0.0; 640.0; 0.0; 640.0; 0.0; 0.0; 763.7; 770.3; 0.84; 0.83
2017-12-31; 4353.0; 375.0; 3978.0; 0.0; 3103.0; 0.0; 3103.0; 875.0; 0.0; 875.0; 490.0; 385.0; 0.0; 385.0; 0.0; 385.0; 0.0; 0.0; 795.6; 799.7; 0.5; 0.5
