Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 4479.0; 1697.0; 2782.0; 364.0; 1455.0; 4.0; 1974.0; 808.0; 8.0; 816.0; 0.0; 816.0; 0.0; 816.0; 0.0; 816.0; 1058.0; 808.0; 378.4; 381.8; 2.16; 2.14
2022-06-30; 4493.0; 1667.0; 2826.0; 351.0; 1539.0; -4.0; 2054.0; 772.0; -52.0; 720.0; 64.0; 656.0; 0.0; 656.0; 0.0; 656.0; 1025.0; 772.0; 378.3; 382.2; 1.73; 1.72
2022-03-31; 4275.0; 1541.0; 2734.0; 413.0; 1710.0; -14.0; 2287.0; 447.0; -61.0; 386.0; 63.0; 323.0; 0.0; 323.0; 0.0; 323.0; 689.0; 447.0; 377.7; 382.7; 0.86; 0.84
2021-12-31; 4701.0; 1656.0; 3045.0; 331.0; 1745.0; -5.0; 2226.0; 819.0; -62.0; 757.0; 95.0; 662.0; 0.0; 662.0; 0.0; 662.0; 1057.0; 819.0; 377.0; 382.3; 1.75; 1.73
2021-09-30; 4160.0; 1518.0; 2642.0; 306.0; 1602.0; -16.0; 2068.0; 574.0; -79.0; 495.0; 57.0; 438.0; 0.0; 438.0; 0.0; 438.0; 809.0; 574.0; 377.1; 382.7; 1.17; 1.14
2021-06-30; 4294.0; 1522.0; 2772.0; 310.0; 1505.0; -76.0; 2040.0; 732.0; -70.0; 662.0; 70.0; 592.0; 0.0; 592.0; 0.0; 592.0; 973.0; 732.0; 376.9; 382.3; 1.57; 1.55
2021-03-31; 3953.0; 1444.0; 2509.0; 288.0; 1575.0; -6.0; 2050.0; 459.0; -92.0; 367.0; 65.0; 302.0; 0.0; 302.0; 0.0; 302.0; 735.0; 459.0; 376.3; 381.7; 0.8; 0.79
2020-12-31; 4262.0; 1545.0; 2717.0; 255.0; 1562.0; -21.0; 1968.0; 749.0; -78.0; 671.0; 103.0; 568.0; 0.0; 568.0; 0.0; 568.0; 972.0; 749.0; 375.5; 380.3; 1.5; 1.49
2020-09-30; 3737.0; 1276.0; 2461.0; 242.0; 1244.0; -2.0; 1602.0; 859.0; -79.0; 780.0; 159.0; 621.0; 0.0; 621.0; 0.0; 621.0; 1057.0; 859.0; 375.7; 380.2; 1.66; 1.63
2020-06-30; 2764.0; 1216.0; 1548.0; 233.0; 1225.0; 0.0; 1568.0; -20.0; -67.0; -87.0; -4.0; -83.0; 0.0; -83.0; 0.0; -83.0; 173.0; -20.0; 375.5; 375.5; -0.22; -0.22
