Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 3841.0; 2654.0; 1187.0; 173.0; 392.0; 0.0; 685.0; 502.0; -17.0; 485.0; 87.0; 398.0; 0.0; 398.0; -1.0; 397.0; 0.0; 502.0; 317.0; 319.0; 1.25; 1.24
2022-09-30; 4359.0; 3010.0; 1349.0; 179.0; 412.0; 0.0; 689.0; 660.0; -8.0; 652.0; -56.0; 708.0; 0.0; 708.0; 0.0; 708.0; 848.0; 660.0; 323.0; 325.0; 2.23; 2.21
2022-06-30; 4097.0; 2769.0; 1328.0; 179.0; 393.0; 0.0; 609.0; 719.0; -11.0; 708.0; 116.0; 592.0; 0.0; 592.0; 2.0; 594.0; 924.0; 719.0; 322.0; 324.0; 1.84; 1.83
2022-03-31; 4007.0; 2670.0; 1337.0; 185.0; 416.0; 0.0; 632.0; 705.0; -9.0; 696.0; 136.0; 560.0; 0.0; 560.0; 0.0; 560.0; 899.0; 705.0; 325.0; 327.0; 1.72; 1.71
2021-12-31; 3818.0; 2588.0; 1230.0; 175.0; 363.0; 0.0; 558.0; 672.0; 5.0; 677.0; 110.0; 567.0; 0.0; 567.0; -1.0; 566.0; 870.0; 672.0; 327.0; 330.0; 1.73; 1.72
2021-09-30; 3818.0; 2555.0; 1263.0; 173.0; 384.0; 0.0; 603.0; 660.0; -33.0; 627.0; -167.0; 794.0; 0.0; 794.0; 0.0; 794.0; 839.0; 660.0; 330.0; 333.0; 2.41; 2.4
2021-06-30; 3845.0; 2577.0; 1268.0; 168.0; 366.0; 0.0; 554.0; 714.0; -9.0; 705.0; 124.0; 581.0; 0.0; 581.0; -1.0; 580.0; 924.0; 714.0; 330.0; 333.0; 1.76; 1.74
2021-03-31; 3738.0; 2528.0; 1210.0; 174.0; 401.0; 0.0; 598.0; 612.0; -1.0; 611.0; 106.0; 505.0; 0.0; 505.0; 1.0; 506.0; 805.0; 612.0; 331.0; 334.0; 1.53; 1.51
2020-12-31; 3522.0; 2376.0; 1146.0; 162.0; 361.0; 0.0; 698.0; 448.0; -13.0; 435.0; 60.0; 375.0; 0.0; 375.0; 6.0; 381.0; 635.0; 448.0; 331.0; 333.0; 1.15; 1.14
2020-09-30; 3261.0; 2292.0; 969.0; 148.0; 352.0; 0.0; 622.0; 347.0; -10.0; 337.0; 109.0; 228.0; 0.0; 228.0; 2.0; 230.0; 528.0; 347.0; 332.0; 332.0; 0.68; 0.68
2020-06-30; 2548.0; 1841.0; 707.0; 146.0; 321.0; 0.0; 573.0; 134.0; -7.0; 127.0; 185.0; -58.0; 0.0; -58.0; 17.0; -41.0; 310.0; 134.0; 330.0; 330.0; -0.12; -0.12
2020-03-31; 3195.0; 2166.0; 1029.0; 158.0; 352.0; 0.0; 1444.0; -415.0; 5.0; -410.0; 42.0; -452.0; 0.0; -452.0; -4.0; -456.0; 665.0; -415.0; 334.0; 334.0; -1.37; -1.37
2019-12-31; 3168.0; 2138.0; 1030.0; 161.0; 367.0; 0.0; 559.0; 471.0; -1.0; 470.0; 447.0; 23.0; 0.0; 23.0; 3.0; 26.0; 645.0; 471.0; 335.0; 337.0; 0.08; 0.08
2019-09-30; 3300.0; 2248.0; 1052.0; 159.0; 372.0; 0.0; 608.0; 444.0; -7.0; 437.0; 61.0; 376.0; 0.0; 376.0; -4.0; 372.0; 619.0; 444.0; 338.0; 340.0; 1.1; 1.1
2019-06-30; 3389.0; 2279.0; 1110.0; 158.0; 356.0; 0.0; 590.0; 520.0; -7.0; 513.0; -245.0; 758.0; 0.0; 758.0; -1.0; 757.0; 694.0; 520.0; 337.0; 339.0; 2.25; 2.23
2019-03-31; 3412.0; 2294.0; 1118.0; 166.0; 373.0; 0.0; 588.0; 530.0; -10.0; 520.0; 91.0; 429.0; 0.0; 429.0; 10.0; 439.0; 703.0; 530.0; 338.0; 340.0; 1.3; 1.29
2018-12-31; 3347.0; 2233.0; 1114.0; 161.0; 389.0; 0.0; 630.0; 484.0; -23.0; 461.0; 78.0; 383.0; 0.0; 383.0; -107.0; 276.0; 652.0; 484.0; 342.0; 344.0; 0.81; 0.8
2018-09-30; 3509.0; 2327.0; 1182.0; 171.0; 414.0; 0.0; 612.0; 570.0; -24.0; 546.0; -1128.0; 1674.0; 0.0; 1674.0; -13.0; 1661.0; 741.0; 570.0; 350.0; 353.0; 4.74; 4.71
2018-06-30; 3581.0; 2394.0; 1187.0; 171.0; 394.0; 0.0; 633.0; 554.0; -24.0; 530.0; 77.0; 453.0; 0.0; 453.0; 1.0; 454.0; 721.0; 554.0; 349.0; 352.0; 1.3; 1.29
2018-03-31; 3562.0; 2350.0; 1212.0; 173.0; 409.0; 0.0; 591.0; 621.0; -23.0; 598.0; 108.0; 490.0; 0.0; 490.0; 0.0; 490.0; 788.0; 621.0; 351.0; 354.0; 1.4; 1.38
2017-12-31; 3336.0; 2172.0; 1164.0; 165.0; 377.0; 0.0; 578.0; 586.0; -20.0; 566.0; 599.0; -33.0; 0.0; -33.0; -7.0; -40.0; 748.0; 586.0; 352.0; 352.0; -0.11; -0.11
2017-09-30; 2528.0; 1662.0; 866.0; 126.0; 361.0; 0.0; 510.0; 356.0; -44.0; 312.0; 16.0; 296.0; 0.0; 296.0; 138.0; 434.0; 498.0; 356.0; 355.0; 358.0; 1.22; 1.21
2017-06-30; 3367.0; 2227.0; 1140.0; 168.0; 408.0; 0.0; 596.0; 544.0; -41.0; 503.0; 71.0; 432.0; 0.0; 432.0; 3.0; 435.0; 701.0; 544.0; 355.0; 358.0; 1.23; 1.22
2017-03-31; 3227.0; 2117.0; 1110.0; 161.0; 407.0; 0.0; 629.0; 481.0; -36.0; 445.0; 39.0; 406.0; 0.0; 406.0; -1.0; 405.0; 633.0; 481.0; 356.0; 359.0; 1.14; 1.13
2016-12-31; 3063.0; 1996.0; 1067.0; 156.0; 367.0; 0.0; 572.0; 495.0; -35.0; 460.0; 54.0; 406.0; 0.0; 406.0; 3.0; 409.0; 655.0; 495.0; 356.0; 359.0; 1.15; 1.14
2016-09-30; 2446.0; 1548.0; 898.0; 124.0; 322.0; 0.0; 475.0; 423.0; -75.0; 348.0; 5.0; 343.0; 0.0; 343.0; 94.0; 437.0; 545.0; 423.0; 366.0; 369.0; 1.18; 1.18
2016-06-30; 3121.0; 2099.0; 1022.0; 161.0; 367.0; 0.0; 570.0; 452.0; -680.0; -228.0; -1019.0; 791.0; 0.0; 791.0; 48.0; 839.0; 600.0; 452.0; 357.0; 361.0; 2.35; 2.32
2016-03-31; 2952.0; 1990.0; 962.0; 156.0; 367.0; 0.0; 427.0; 535.0; -16.0; 519.0; 130.0; 389.0; 0.0; 389.0; -9.0; 380.0; 679.0; 535.0; 364.0; 368.0; 1.04; 1.03
2015-12-31; 2833.0; 1888.0; 945.0; 162.0; 340.0; 0.0; 547.0; 398.0; -16.0; 382.0; 58.0; 324.0; 0.0; 324.0; 29.0; 353.0; 544.0; 398.0; 385.0; 390.0; 0.92; 0.91
2015-09-30; 2984.0; 2016.0; 968.0; 148.0; 334.0; 0.0; 561.0; 407.0; -19.0; 388.0; 252.0; 136.0; 0.0; 136.0; 904.0; 1040.0; 568.0; 407.0; 405.0; 411.0; 2.59; 2.55
2015-06-30; 3118.0; 2070.0; 1048.0; 159.0; 393.0; 0.0; 579.0; 469.0; -18.0; 451.0; 100.0; 351.0; 0.0; 351.0; -42.0; 309.0; 617.0; 469.0; 406.0; 412.0; 0.76; 0.75
2015-03-31; 3082.0; 2031.0; 1051.0; 160.0; 391.0; 0.0; 603.0; 448.0; -38.0; 410.0; 94.0; 316.0; 0.0; 316.0; 283.0; 599.0; 595.0; 448.0; 407.0; 413.0; 1.47; 1.45
2014-12-31; 3049.0; 2029.0; 1020.0; 160.0; 386.0; 0.0; 595.0; 425.0; -99.0; 326.0; -109.0; 435.0; 0.0; 435.0; 37.0; 472.0; 585.0; 425.0; 407.0; 413.0; 1.16; 1.14
2014-09-30; 2608.0; 1766.0; 842.0; 127.0; 292.0; 0.0; 451.0; 391.0; -22.0; 369.0; -203.0; 572.0; 0.0; 572.0; 91.0; 663.0; 534.0; 391.0; 410.0; 417.0; 1.61; 1.59
2014-06-30; 3075.0; 2057.0; 1018.0; 147.0; 396.0; 0.0; 554.0; 464.0; -15.0; 449.0; 102.0; 347.0; 0.0; 347.0; 56.0; 403.0; 602.0; 464.0; 409.0; 416.0; 0.99; 0.97
2014-03-31; 2964.0; 1969.0; 995.0; 145.0; 379.0; 0.0; 524.0; 471.0; -11.0; 460.0; 120.0; 340.0; 0.0; 340.0; 22.0; 362.0; 592.0; 471.0; 410.0; 417.0; 0.88; 0.87
