Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 24318.0; 18541.0; 5777.0; 810.0; 1032.0; 0.0; 1876.0; 3901.0; 82.0; 3983.0; 276.0; 3707.0; 0.0; 3707.0; 0.0; 3687.0; 0.0; 3901.0; 3160.0; 3471.0; 1.18; 1.07
2022-09-30; 21454.0; 16072.0; 5382.0; 733.0; 961.0; 0.0; 1694.0; 3688.0; -52.0; 3636.0; 305.0; 3331.0; 0.0; 3331.0; 0.0; 3292.0; 4644.0; 3688.0; 3146.0; 3468.0; 1.05; 0.95
2022-06-30; 16934.0; 12700.0; 4234.0; 667.0; 961.0; 0.0; 1770.0; 2464.0; 10.0; 2474.0; 205.0; 2269.0; 0.0; 2269.0; 0.0; 2259.0; 3386.0; 2464.0; 3111.0; 3465.0; 0.73; 0.65
2022-03-31; 18756.0; 13296.0; 5460.0; 865.0; 992.0; 0.0; 1857.0; 3603.0; 23.0; 3626.0; 346.0; 3280.0; 0.0; 3280.0; 0.0; 3318.0; 4483.0; 3603.0; 3102.0; 3471.0; 1.07; 0.95
2021-12-31; 17719.0; 12872.0; 4847.0; 740.0; 1494.0; 0.0; 2234.0; 2613.0; 22.0; 2635.0; 292.0; 2343.0; 0.0; 2343.0; 0.0; 2321.0; 3461.0; 2613.0; 2958.0; 3387.0; 0.78; 0.68
2021-09-30; 13757.0; 10097.0; 3660.0; 611.0; 994.0; 0.0; 1656.0; 2004.0; -122.0; 1882.0; 223.0; 1659.0; 0.0; 1659.0; 0.0; 1618.0; 2765.0; 2004.0; 2993.0; 3369.0; 0.54; 0.48
2021-06-30; 11958.0; 9074.0; 2884.0; 576.0; 973.0; 0.0; 1572.0; 1312.0; -19.0; 1293.0; 115.0; 1178.0; 0.0; 1178.0; 0.0; 1142.0; 1993.0; 1312.0; 2913.0; 3357.0; 0.39; 0.34
2021-03-31; 10389.0; 8174.0; 2215.0; 666.0; 1056.0; 0.0; 1621.0; 594.0; -61.0; 533.0; 69.0; 464.0; 0.0; 464.0; 0.0; 438.0; 1215.0; 594.0; 2883.0; 3399.0; 0.15; 0.13
2020-12-31; 10744.0; 8678.0; 2066.0; 522.0; 969.0; 0.0; 1491.0; 575.0; -196.0; 379.0; 83.0; 296.0; 0.0; 296.0; 0.0; 301.0; 1193.0; 575.0; 2799.0; 3249.0; 0.1; 0.08
2020-09-30; 8771.0; 6708.0; 2063.0; 366.0; 888.0; 0.0; 1254.0; 809.0; -254.0; 555.0; 186.0; 369.0; 0.0; 369.0; 0.0; 300.0; 1393.0; 809.0; 2811.0; 3315.0; 0.11; 0.09
