Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 13737.0; 12430.0; 1307.0; 0.0; 541.0; 0.0; 541.0; 766.0; -100.0; 666.0; 129.0; 537.0; 0.0; 537.0; 0.0; 538.0; 1110.0; 766.0; 360.0; 363.0; 1.5; 1.5
2022-06-30; 13495.0; 11884.0; 1611.0; 0.0; 578.0; 0.0; 578.0; 1033.0; -47.0; 986.0; 233.0; 753.0; 0.0; 753.0; 0.0; 750.0; 1330.0; 1033.0; 359.0; 362.0; 2.09; 2.07
2022-03-31; 13117.0; 11382.0; 1735.0; 0.0; 579.0; 0.0; 579.0; 1156.0; -69.0; 1087.0; 254.0; 833.0; 0.0; 833.0; 0.0; 829.0; 1451.0; 1156.0; 361.0; 364.0; 2.3; 2.28
2021-12-31; 12933.0; 10918.0; 2015.0; 0.0; 560.0; 0.0; 560.0; 1455.0; -45.0; 1410.0; 284.0; 1126.0; 0.0; 1126.0; 0.0; 1121.0; 1755.0; 1455.0; 362.0; 365.0; 3.1; 3.07
2021-09-30; 12811.0; 10335.0; 2476.0; 0.0; 567.0; 0.0; 567.0; 1909.0; -74.0; 1835.0; 477.0; 1358.0; 0.0; 1358.0; 0.0; 1355.0; 2277.0; 1909.0; 363.0; 365.0; 3.74; 3.71
2021-06-30; 12478.0; 10858.0; 1620.0; 0.0; 558.0; 0.0; 558.0; 1062.0; -96.0; 966.0; 213.0; 753.0; 0.0; 753.0; 0.0; 749.0; 1364.0; 1062.0; 363.0; 366.0; 2.06; 2.05
2021-03-31; 11300.0; 10047.0; 1253.0; 0.0; 533.0; 0.0; 533.0; 720.0; -96.0; 624.0; 147.0; 477.0; 0.0; 477.0; 0.0; 476.0; 1026.0; 720.0; 363.0; 365.0; 1.31; 1.3
2020-12-31; 10460.0; 9283.0; 1177.0; 0.0; 472.0; 0.0; 472.0; 705.0; -89.0; 616.0; 144.0; 472.0; 0.0; 472.0; 0.0; 467.0; 1003.0; 705.0; 363.0; 365.0; 1.29; 1.28
2020-09-30; 11460.0; 9850.0; 1610.0; 0.0; 648.0; 0.0; 648.0; 962.0; -125.0; 837.0; 180.0; 657.0; 0.0; 657.0; 0.0; 654.0; 1326.0; 962.0; 363.0; 365.0; 1.8; 1.79
2020-06-30; 10022.0; 8709.0; 1313.0; 0.0; 540.0; 0.0; 540.0; 773.0; -108.0; 665.0; 139.0; 526.0; 0.0; 526.0; 0.0; 526.0; 1068.0; 773.0; 362.0; 364.0; 1.45; 1.44
2020-03-31; 10888.0; 9867.0; 1021.0; 0.0; 506.0; 0.0; 506.0; 515.0; -10.0; 505.0; 126.0; 379.0; 0.0; 379.0; 0.0; 376.0; 808.0; 515.0; 363.0; 365.0; 1.04; 1.03
2019-12-31; 10815.0; 9375.0; 1440.0; 0.0; 682.0; 0.0; 682.0; 758.0; -101.0; 657.0; 148.0; 509.0; 0.0; 509.0; 0.0; 505.0; 1046.0; 758.0; 363.0; 367.0; 1.39; 1.38
2019-09-30; 10884.0; 9745.0; 1139.0; 0.0; 592.0; 0.0; 592.0; 547.0; -138.0; 409.0; 79.0; 330.0; 0.0; 330.0; 0.0; 327.0; 930.0; 547.0; 363.0; 366.0; 0.92; 0.89
2019-06-30; 10885.0; 9549.0; 1336.0; 0.0; 555.0; 0.0; 555.0; 781.0; -57.0; 724.0; 43.0; 681.0; 0.0; 681.0; 0.0; 676.0; 1067.0; 781.0; 363.0; 367.0; 1.86; 1.84
2019-03-31; 10443.0; 9251.0; 1192.0; 0.0; 557.0; 0.0; 557.0; 635.0; -107.0; 528.0; 98.0; 430.0; 0.0; 430.0; 0.0; 426.0; 908.0; 635.0; 364.0; 366.0; 1.16; 1.17
2018-12-31; 10193.0; 8838.0; 1355.0; 0.0; 548.0; 0.0; 548.0; 807.0; -94.0; 713.0; 161.0; 552.0; 0.0; 552.0; 0.0; 551.0; 1057.0; 807.0; 364.0; 366.0; 1.51; 1.5
2018-09-30; 9999.0; 8660.0; 1339.0; 0.0; 583.0; 0.0; 583.0; 756.0; -62.0; 694.0; 211.0; 483.0; 0.0; 483.0; 0.0; 483.0; 1002.0; 756.0; 365.0; 369.0; 1.34; 1.32
2018-06-30; 10051.0; 8752.0; 1299.0; 0.0; 502.0; 0.0; 502.0; 797.0; -74.0; 723.0; 181.0; 542.0; 0.0; 542.0; 0.0; 541.0; 1035.0; 797.0; 365.0; 369.0; 1.48; 1.47
2018-03-31; 9773.0; 8758.0; 1015.0; 0.0; 521.0; 0.0; 521.0; 494.0; -71.0; 423.0; 107.0; 316.0; 0.0; 316.0; 0.0; 315.0; 724.0; 494.0; 366.0; 370.0; 0.86; 0.85
2017-12-31; 10229.0; 8786.0; 1443.0; 0.0; 521.0; 0.0; 521.0; 922.0; -80.0; 842.0; -790.0; 1632.0; 0.0; 1632.0; 0.0; 1631.0; 1151.0; 922.0; 366.0; 371.0; 4.46; 4.4
2017-09-30; 10145.0; 8815.0; 1330.0; 0.0; 659.0; 0.0; 659.0; 671.0; -91.0; 580.0; 185.0; 395.0; 0.0; 395.0; 0.0; 394.0; 889.0; 671.0; 366.0; 370.0; 1.08; 1.07
2017-06-30; 9850.0; 8648.0; 1202.0; 0.0; 505.0; 0.0; 505.0; 697.0; -80.0; 617.0; 169.0; 448.0; 0.0; 448.0; 0.0; 447.0; 884.0; 697.0; 366.0; 370.0; 1.22; 1.21
2017-03-31; 9083.0; 8036.0; 1047.0; 0.0; 476.0; 0.0; 476.0; 571.0; -52.0; 519.0; 178.0; 341.0; 0.0; 341.0; 0.0; 340.0; 750.0; 571.0; 365.0; 370.0; 0.93; 0.92
2016-12-31; 9182.0; 7699.0; 1483.0; 0.0; 501.0; 0.0; 501.0; 982.0; -70.0; 912.0; 318.0; 594.0; 0.0; 594.0; 0.0; 593.0; 1159.0; 982.0; 367.0; 373.0; 1.62; 1.59
