Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 12400.0; 4922.0; 7478.0; 0.0; 3000.0; -1761.0; 6101.0; 1377.0; -247.0; 1130.0; 287.0; 843.0; 0.0; 843.0; 0.0; 843.0; 0.0; 1377.0; 0.0; 330.4; 0.0; 2.55
2022-09-30; 12877.0; 4970.0; 7907.0; 0.0; 3325.0; -1810.0; 6449.0; 1458.0; -305.0; 1153.0; 211.0; 942.0; 0.0; 942.0; 0.0; 942.0; 1458.0; 1458.0; 326.8; 329.5; 2.88; 2.86
2022-06-30; 12112.0; 4905.0; 7207.0; 0.0; 3229.0; -1754.0; 6329.0; 878.0; -419.0; 459.0; 130.0; 329.0; 0.0; 329.0; 0.0; 329.0; 878.0; 878.0; 326.7; 330.3; 1.01; 1.0
2022-03-31; 7566.0; 3202.0; 4364.0; 0.0; 3013.0; -1443.0; 5740.0; -1376.0; -376.0; -1752.0; -375.0; -1377.0; 0.0; -1377.0; 0.0; -1377.0; -1376.0; -1376.0; 325.0; 325.0; -4.24; -4.24
2021-12-31; 8192.0; 2962.0; 5230.0; 0.0; 2814.0; -1461.0; 5638.0; -408.0; -437.0; -845.0; -199.0; -646.0; 0.0; -646.0; 0.0; -646.0; -408.0; -408.0; 321.9; 321.9; -1.93; -1.91
2021-09-30; 7750.0; 2576.0; 5174.0; 0.0; 2705.0; -99.0; 4137.0; 1037.0; -434.0; 603.0; 130.0; 473.0; 0.0; 473.0; 0.0; 473.0; 1037.0; 1037.0; 323.7; 329.0; 1.46; 1.44
2021-06-30; 5471.0; 2081.0; 3390.0; 0.0; 2415.0; -9.0; 3660.0; -270.0; -294.0; -564.0; -130.0; -434.0; 0.0; -434.0; 0.0; -434.0; -270.0; -270.0; 323.6; 323.6; -1.34; -1.34
2021-03-31; 3221.0; 1599.0; 1622.0; 0.0; 2309.0; 503.0; 3003.0; -1381.0; -370.0; -1751.0; -394.0; -1357.0; 0.0; -1357.0; 0.0; -1357.0; -1381.0; -1381.0; 316.6; 316.6; -4.29; -4.29
2020-12-31; 3412.0; 1367.0; 2045.0; 0.0; 2248.0; -677.0; 4180.0; -2135.0; -238.0; -2373.0; -476.0; -1897.0; 0.0; -1897.0; 0.0; -1897.0; -2135.0; -2135.0; 279.4; 279.4; -6.32; -6.32
2020-09-30; 2489.0; 1048.0; 1441.0; 0.0; 2282.0; 402.0; 3056.0; -1615.0; -717.0; -2332.0; -491.0; -1841.0; 0.0; -1841.0; 0.0; -1841.0; -1615.0; -1615.0; 291.0; 291.0; -6.33; -6.33
2020-06-30; 1475.0; 738.0; 737.0; 0.0; 2201.0; 921.0; 2374.0; -1637.0; -366.0; -2003.0; -376.0; -1627.0; 0.0; -1627.0; 0.0; -1627.0; -1637.0; -1637.0; 280.7; 280.7; -5.79; -5.79
2020-03-31; 7979.0; 2897.0; 5082.0; 0.0; 3250.0; -1516.0; 6054.0; -972.0; -1142.0; -2114.0; -410.0; -1704.0; 0.0; -1704.0; 0.0; -1704.0; -972.0; -972.0; 248.5; 248.5; -6.86; -6.86
2019-12-31; 10888.0; 3449.0; 7439.0; 0.0; 3495.0; -1760.0; 6578.0; 861.0; -17.0; 844.0; 203.0; 641.0; 0.0; 641.0; 0.0; 641.0; 861.0; 861.0; 258.8; 259.9; 2.5; 2.48
2019-09-30; 11380.0; 3507.0; 7873.0; 0.0; 3495.0; -1618.0; 6400.0; 1473.0; -124.0; 1349.0; 325.0; 1024.0; 0.0; 1024.0; 0.0; 1024.0; 1473.0; 1473.0; 255.3; 256.4; 4.01; 3.99
2019-06-30; 11402.0; 3521.0; 7881.0; 0.0; 3499.0; -1617.0; 6409.0; 1472.0; -118.0; 1354.0; 302.0; 1052.0; 0.0; 1052.0; 0.0; 1052.0; 1472.0; 1472.0; 260.8; 261.6; 4.03; 4.02
2019-03-31; 9589.0; 3119.0; 6470.0; 0.0; 3233.0; -1526.0; 5975.0; 495.0; -128.0; 367.0; 75.0; 292.0; 0.0; 292.0; 0.0; 292.0; 495.0; 495.0; 267.0; 268.3; 1.09; 1.09
2018-12-31; 10491.0; 3464.0; 7027.0; 0.0; 3320.0; -1809.0; 6392.0; 635.0; -82.0; 553.0; 92.0; 461.0; 0.0; 461.0; 0.0; 461.0; 635.0; 635.0; 275.5; 276.7; 1.65; 1.63
2018-09-30; 11003.0; 3703.0; 7300.0; 0.0; 3357.0; -1484.0; 6113.0; 1187.0; -129.0; 1058.0; 225.0; 833.0; 0.0; 833.0; 0.0; 833.0; 1187.0; 1187.0; 272.4; 273.6; 3.06; 3.05
2018-06-30; 10777.0; 3521.0; 7256.0; 0.0; 3271.0; -1558.0; 6111.0; 1145.0; -290.0; 855.0; 172.0; 683.0; 0.0; 683.0; 0.0; 683.0; 1145.0; 1145.0; 274.7; 275.6; 2.48; 2.48
2018-03-31; 9032.0; 3035.0; 5997.0; 0.0; 3068.0; -1437.0; 5735.0; 262.0; -80.0; 182.0; 37.0; 145.0; 0.0; 145.0; 0.0; 145.0; 262.0; 262.0; 283.9; 284.9; 0.51; 0.51
2017-12-31; 9451.0; 2593.0; 6858.0; 0.0; 3409.0; -1455.0; 6135.0; 723.0; -120.0; 603.0; 25.0; 578.0; 0.0; 578.0; 0.0; 578.0; 723.0; 723.0; 302.7; 303.6; 1.94; 1.92
2017-09-30; 9899.0; 3204.0; 6695.0; 0.0; 2785.0; -1486.0; 5557.0; 1138.0; -145.0; 993.0; 348.0; 645.0; 0.0; 645.0; 0.0; 645.0; 1138.0; 1138.0; 299.8; 300.6; 2.15; 2.15
2017-06-30; 10008.0; 2690.0; 7318.0; 0.0; 3227.0; -1425.0; 5881.0; 1437.0; -160.0; 1277.0; 456.0; 821.0; 0.0; 821.0; 0.0; 821.0; 1437.0; 1437.0; 306.9; 307.7; 2.67; 2.67
2017-03-31; 8426.0; 2550.0; 5876.0; 0.0; 2955.0; -1360.0; 5556.0; 320.0; -170.0; 150.0; 51.0; 99.0; 0.0; 99.0; 0.0; 99.0; 320.0; 320.0; 313.7; 314.6; 0.32; 0.32
2016-12-31; 9054.0; 2252.0; 6802.0; 0.0; 3180.0; -1395.0; 5791.0; 1011.0; -173.0; 838.0; 470.0; 368.0; 0.0; 368.0; 0.0; 368.0; 1011.0; 1011.0; 329.9; 330.3; 1.09; 1.09
2016-09-30; 9913.0; 2626.0; 7287.0; 0.0; 2970.0; -1476.0; 5663.0; 1624.0; -114.0; 1510.0; 545.0; 965.0; 0.0; 965.0; 0.0; 965.0; 1624.0; 1624.0; 320.0; 320.4; 3.02; 3.01
2016-06-30; 9396.0; 2436.0; 6960.0; 0.0; 2931.0; -1762.0; 5900.0; 1060.0; -129.0; 931.0; 343.0; 588.0; 0.0; 588.0; 0.0; 588.0; 1060.0; 1060.0; 330.5; 330.8; 1.78; 1.78
2016-03-31; 8195.0; 2445.0; 5750.0; 0.0; 2490.0; -1429.0; 5101.0; 649.0; -155.0; 494.0; 181.0; 313.0; 0.0; 313.0; 0.0; 313.0; 649.0; 649.0; 354.3; 354.6; 0.88; 0.88
2015-12-31; 9036.0; 2234.0; 6802.0; 0.0; 3088.0; -1427.0; 5721.0; 1081.0; -176.0; 905.0; 82.0; 823.0; 0.0; 823.0; 0.0; 823.0; 1081.0; 1081.0; 376.1; 376.9; 2.22; 2.19
2015-09-30; 10306.0; 2930.0; 7376.0; 0.0; 2900.0; -1372.0; 5477.0; 1899.0; -293.0; 1606.0; -3210.0; 4816.0; 0.0; 4816.0; 0.0; 4816.0; 1899.0; 1899.0; 375.0; 376.0; 12.83; 12.82
2015-06-30; 9914.0; 3468.0; 6446.0; 0.0; 2454.0; -1355.0; 5001.0; 1445.0; -248.0; 1197.0; 4.0; 1193.0; 0.0; 1193.0; 0.0; 1193.0; 1445.0; 1445.0; 380.0; 380.0; 3.14; 3.14
2015-03-31; 8608.0; 2831.0; 5777.0; 0.0; 2613.0; -1250.0; 5036.0; 741.0; -230.0; 511.0; 3.0; 508.0; 0.0; 508.0; 0.0; 508.0; 741.0; 741.0; 382.0; 384.0; 1.33; 1.32
2014-12-31; 9313.0; 3542.0; 5771.0; 0.0; 2585.0; -1347.0; 5146.0; 625.0; -602.0; 23.0; -5.0; 28.0; 0.0; 28.0; 0.0; 28.0; 625.0; 625.0; 371.1; 389.7; 0.09; 0.21
2014-09-30; 10563.0; 4159.0; 6404.0; 0.0; 2719.0; -1283.0; 5213.0; 1191.0; -271.0; 920.0; -4.0; 924.0; 0.0; 924.0; 0.0; 924.0; 1191.0; 1191.0; 370.0; 393.0; 2.5; 2.37
2014-06-30; 10329.0; 4163.0; 6166.0; 0.0; 2533.0; -1521.0; 5260.0; 906.0; -115.0; 791.0; 2.0; 789.0; 0.0; 789.0; 0.0; 789.0; 906.0; 906.0; 373.0; 396.0; 2.12; 2.01
2014-03-31; 8696.0; 3934.0; 4762.0; 0.0; 2471.0; -1435.0; 5111.0; -349.0; -257.0; -606.0; 3.0; -609.0; 0.0; -609.0; 0.0; -609.0; -349.0; -349.0; 368.0; 368.0; -1.66; -1.66
2013-12-31; 9329.0; 5368.0; 3961.0; 0.0; 1062.0; -1467.0; 3726.0; 235.0; -123.0; 112.0; -28.0; 140.0; 0.0; 140.0; 0.0; 142.0; 235.0; 235.0; 348.0; 391.0; 0.47; 0.6
2013-09-30; 10228.0; 4355.0; 5873.0; 0.0; 2586.0; -1573.0; 5365.0; 508.0; -126.0; 382.0; 3.0; 379.0; 0.0; 379.0; 0.0; 378.0; 508.0; 508.0; 357.0; 395.0; 1.06; 0.98
2013-06-30; 10001.0; 4176.0; 5825.0; 0.0; 2522.0; -1366.0; 5055.0; 770.0; -299.0; 471.0; 2.0; 469.0; 0.0; 469.0; 0.0; 468.0; 770.0; 770.0; 341.0; 394.0; 1.37; 1.21
2013-03-31; 8721.0; 4076.0; 4645.0; 0.0; 2455.0; -1309.0; 4909.0; -264.0; -162.0; -426.0; -9.0; -417.0; 0.0; -417.0; 0.0; -417.0; -264.0; -264.0; 332.0; 332.0; -1.26; -1.26
2012-12-31; 8702.0; 4130.0; 4572.0; 0.0; 2300.0; -1653.0; 5037.0; -465.0; -167.0; -632.0; -12.0; -620.0; 0.0; -620.0; 0.0; -619.0; -465.0; -465.0; 331.0; 331.0; -1.86; -1.73
2012-09-30; 9909.0; 4503.0; 5406.0; 0.0; 2394.0; -1684.0; 5206.0; 200.0; -185.0; 15.0; 9.0; 6.0; 0.0; 6.0; 0.0; 6.0; 200.0; 200.0; 331.0; 332.0; 0.02; 0.02
2012-06-30; 9939.0; 4483.0; 5456.0; 0.0; 2369.0; -1380.0; 4881.0; 575.0; -235.0; 340.0; 1.0; 339.0; 0.0; 339.0; 0.0; 338.0; 575.0; 575.0; 331.0; 393.0; 1.02; 0.89
2012-03-31; 8602.0; 4252.0; 4350.0; 0.0; 2234.0; -1287.0; 4621.0; -271.0; -176.0; -447.0; 1.0; -448.0; 0.0; -448.0; 0.0; -448.0; -271.0; -271.0; 330.0; 330.0; -1.36; -1.36
2011-12-31; 8928.0; 3390.0; 5538.0; 0.0; 2968.0; -1632.0; 5493.0; 45.0; -191.0; -146.0; -8.0; -138.0; 0.0; -138.0; 0.0; -137.0; 533.0; 45.0; 329.0; 383.0; -0.41; -0.17
2011-09-30; 10171.0; 4437.0; 5734.0; 0.0; 2397.0; -1287.0; 4799.0; 935.0; -275.0; 660.0; 7.0; 653.0; 0.0; 653.0; 0.0; 651.0; 1252.0; 935.0; 330.0; 392.0; 1.97; 1.69
2011-06-30; 9809.0; 4661.0; 5148.0; 0.0; 1916.0; -1139.0; 4340.0; 808.0; -266.0; 542.0; 4.0; 538.0; 0.0; 538.0; 0.0; 536.0; 1118.0; 808.0; 330.0; 400.0; 1.63; 1.39
2011-03-31; 8202.0; 4034.0; 4168.0; 0.0; 1806.0; -1137.0; 4134.0; 34.0; -245.0; -211.0; 2.0; -213.0; 0.0; -213.0; 0.0; -213.0; 378.0; 34.0; 328.0; 328.0; -0.65; -0.65
2010-12-31; 8506.0; 3078.0; 5428.0; 0.0; 2530.0; -1997.0; 5510.0; -82.0; -241.0; -323.0; 0.0; -324.0; 0.0; -325.0; 0.0; -325.0; 503.0; -82.0; 207.0; 253.0; -2.21; -1.47
2010-09-30; 5417.0; 2213.0; 3204.0; 0.0; 1333.0; -685.0; 2663.0; 541.0; -154.0; 387.0; 0.0; 387.0; 0.0; 387.0; 0.0; 387.0; 777.0; 541.0; 168.0; 235.0; 2.3; 1.75
2010-06-30; 5161.0; 2334.0; 2827.0; 0.0; 1061.0; -644.0; 2386.0; 441.0; -170.0; 271.0; -2.0; 273.0; 0.0; 273.0; 0.0; 273.0; 672.0; 441.0; 168.0; 235.0; 1.62; 1.29
2010-03-31; 4241.0; 1989.0; 2252.0; 0.0; 990.0; -609.0; 2176.0; 76.0; -158.0; -82.0; 1.0; -83.0; 0.0; -82.0; 0.0; -82.0; 297.0; 76.0; 167.0; 167.0; -0.49; -0.49
2009-12-31; 4193.0; 1747.0; 2446.0; 0.0; 1139.0; -687.0; 2520.0; -74.0; -138.0; -212.0; 29.0; -241.0; 0.0; -240.0; 0.0; -240.0; 639.0; -74.0; 167.0; 167.0; -1.44; -1.44
2009-09-30; 4433.0; 2575.0; 1858.0; 0.0; 954.0; -239.0; 1770.0; 88.0; -150.0; -62.0; -4.0; -58.0; 0.0; -57.0; 0.0; -57.0; 308.0; 88.0; 145.6; 145.6; -0.39; -0.39
2009-06-30; 4018.0; 2098.0; 1920.0; 0.0; 963.0; -222.0; 1813.0; 107.0; -93.0; 14.0; -13.0; 27.0; 0.0; 28.0; 0.0; 28.0; 329.0; 107.0; 145.1; 145.1; 0.19; 0.19
2009-03-31; 3691.0; 2153.0; 1538.0; 0.0; 921.0; -238.0; 1820.0; -282.0; -130.0; -412.0; -29.0; -383.0; 0.0; -382.0; 0.0; -382.0; -49.0; -282.0; 144.7; 144.7; -2.64; -2.64
