Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3080.6; 1498.18; 1582.42; 0.0; 1251.32; 0.0; 1673.24; -90.82; -43.18; -134.0; -15.57; -118.43; 0.0; -118.43; 0.0; -118.43; 487.52; -90.82; 387.69; 387.69; -0.31; -0.31
2022-06-30; 2261.59; 1042.98; 1218.61; 0.0; 1155.25; 0.0; 1155.25; 63.36; -125.98; -62.61; -6.65; -55.96; 0.0; -55.96; 0.0; -55.96; 223.45; 63.36; 387.56; 387.56; -0.14; -0.14
2022-03-31; 2824.66; 1358.79; 1465.87; 0.0; 1273.48; 0.0; 1273.48; 192.39; -21.27; 171.12; 90.68; 80.44; 0.0; 80.44; 0.4; 80.84; 360.22; 192.39; 390.29; 392.41; 0.21; 0.21
2021-12-31; 3624.38; 1592.6; 2031.78; 0.0; 1353.34; 0.0; 1353.34; 678.44; -37.13; 641.31; 123.51; 517.8; 0.0; 517.8; 0.0; 517.8; 844.44; 678.44; 390.43; 392.5; 1.33; 1.32
2021-09-30; 3198.24; 1479.45; 1718.79; 0.0; 1160.3; 0.0; 1160.3; 558.49; -26.82; 531.66; 67.61; 464.05; 0.0; 464.05; 0.0; 464.05; 728.75; 558.49; 391.78; 394.02; 1.18; 1.18
2021-06-30; 2194.56; 955.55; 1239.01; 0.0; 1036.12; 0.0; 1036.12; 202.88; -23.73; 179.15; 25.18; 153.97; 0.0; 153.97; 170.27; 324.25; 375.86; 202.88; 391.35; 394.13; 0.83; 0.82
2021-03-31; 2582.67; 1236.4; 1346.27; 0.0; 1203.42; 0.0; 1223.78; 122.49; -33.44; 89.05; 27.31; 61.74; 0.0; 61.74; 27.78; 89.52; 325.37; 122.49; 389.65; 392.12; 0.23; 0.23
2020-12-31; 2971.54; 1345.02; 1626.52; 0.0; 1214.52; 0.0; 1214.52; 412.0; -25.29; 386.71; 59.05; 327.66; 0.0; 327.66; 19.58; 347.24; 581.67; 412.0; 389.87; 392.85; 0.89; 0.88
2020-09-30; 2608.32; 1282.41; 1325.92; 0.0; 1005.97; 0.0; 1005.97; 319.95; -26.29; 293.66; 50.41; 243.25; 0.0; 243.25; 13.48; 256.72; 499.64; 319.95; 389.22; 391.18; 0.66; 0.66
2020-06-30; 1076.29; 506.95; 569.34; 0.0; 816.15; 0.0; 816.15; -246.81; -66.14; -312.94; -35.2; -277.74; 0.0; -277.74; -7.87; -285.61; -82.01; -246.81; 388.69; 390.79; -0.73; -0.73
2020-03-31; 2102.42; 986.27; 1116.15; 0.0; 1049.69; 0.0; 1372.92; -256.76; -132.93; -389.69; 93.39; -483.09; 0.0; -483.09; -0.69; -483.78; 249.61; -256.76; 395.41; 399.94; -1.2; -1.19
2019-12-31; 3155.72; 1351.65; 1804.07; 0.0; 1264.03; 0.0; 1264.03; 540.04; -39.48; 500.56; 78.98; 421.58; 0.0; 421.58; 43.42; 465.0; 705.73; 540.04; 395.94; 400.32; 1.17; 1.16
2019-09-30; 3179.76; 1456.32; 1723.44; 0.0; 1174.88; 0.0; 1174.88; 548.56; -18.16; 530.4; -94.97; 625.38; 0.0; 625.38; 23.62; 649.0; 705.69; 548.56; 397.75; 402.26; 1.63; 1.61
2019-06-30; 2050.65; 896.28; 1154.37; 0.0; 1058.4; 0.0; 1058.4; 95.97; -10.03; 85.94; 20.66; 65.27; 0.0; 65.27; -16.05; 49.22; 250.33; 95.97; 396.73; 401.91; 0.12; 0.12
2019-03-31; 1682.65; 640.89; 1041.77; 0.0; 1030.49; 0.0; 1030.49; 11.28; -22.55; -11.28; 4.91; -16.18; 0.0; -16.18; 144.99; 128.8; 74.96; 11.28; 395.19; 400.5; 0.33; 0.33
2018-12-31; 3227.71; 1464.76; 1762.95; 0.0; 1242.13; 0.0; 1242.13; 520.82; -26.25; 494.57; 85.45; 409.12; 0.0; 409.12; 54.39; 463.51; 583.61; 520.82; 395.29; 399.77; 1.17; 1.16
2018-09-30; 3219.39; 1545.39; 1674.0; 0.0; 1129.01; 0.0; 1129.01; 544.99; -58.79; 486.19; 70.07; 416.12; 0.0; 416.12; 91.0; 507.12; 621.35; 544.99; 395.89; 401.94; 1.28; 1.26
2018-06-30; 2137.14; 1005.29; 1131.85; 0.0; 1018.75; 0.0; 1018.75; 113.1; -44.28; 68.82; 7.46; 61.36; 0.0; 61.36; 98.99; 160.36; 166.0; 113.1; 394.17; 399.55; 0.41; 0.4
2018-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2017-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2017-09-30; 3392.93; 1689.04; 1703.89; 0.0; 1128.37; 0.0; 1128.37; 575.53; -24.45; 551.08; 77.26; 473.82; 0.0; 473.82; -87.68; 386.14; 755.86; 575.53; 393.26; 397.38; 0.98; 0.97
2017-06-30; 2268.62; 1142.48; 1126.14; 0.0; 966.47; 0.0; 966.47; 159.68; -23.82; 135.85; 28.76; 107.09; 0.0; 107.09; 2.8; 109.89; 225.15; 159.68; 397.06; 400.51; 0.28; 0.27
2017-03-31; 2581.68; 1286.68; 1294.99; 0.0; 0.0; 0.0; 0.0; 2581.68; 0.0; 271.22; 56.54; 0.0; 0.0; 214.68; -5.52; 209.16; 2581.68; 0.0; 411.99; 415.96; 0.51; 0.5
2016-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2016-09-30; 3327.72; 1693.07; 1634.64; 0.0; 1026.4; 0.0; 1026.4; 608.25; -23.66; 584.58; 99.36; 485.22; 0.0; 485.22; 13.27; 498.49; 676.27; 608.25; 413.46; 419.24; 1.21; 1.19
2016-06-30; 2320.47; 1185.25; 1135.22; 0.0; 940.8; 0.0; 940.8; 194.42; -19.89; 174.53; 38.04; 136.49; 0.0; 136.49; -85.48; 51.02; 331.89; 194.42; 415.99; 422.06; 0.12; 0.12
2016-03-31; 2634.42; 1350.7; 1283.72; 0.0; 0.0; 0.0; 0.0; 2634.42; 0.0; 293.07; 51.13; 0.0; 0.0; 241.94; 18.33; 260.27; 2634.42; 0.0; 421.75; 429.13; 0.62; 0.61
2015-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2015-09-30; 3529.63; 1844.44; 1685.18; 0.0; 1045.62; 0.0; 1045.62; 639.56; -21.93; 617.63; 159.99; 457.63; 0.0; 457.63; 2.23; 459.86; 708.6; 639.56; 425.21; 431.46; 1.08; 1.07
2015-06-30; 2426.99; 1260.94; 1166.05; 0.0; 947.07; 0.0; 947.07; 218.98; -20.29; 198.69; 30.84; 167.84; 0.0; 167.84; 2.97; 170.81; 348.25; 218.98; 424.35; 430.7; 0.4; 0.4
2015-03-31; 2837.3; 1446.55; 1390.75; 0.0; 0.0; 0.0; 0.0; 2837.3; 0.0; 378.91; 90.2; 0.0; 0.0; 0.0; 0.0; 288.71; 2837.3; 0.0; 426.25; 434.1; 0.68; 0.67
2014-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2014-09-30; 3520.45; 1818.65; 1701.79; 0.0; 1068.71; 0.0; 1068.71; 633.08; -22.31; 610.77; 140.24; 470.53; 0.0; 470.53; 0.0; 470.53; 702.4; 633.08; 430.64; 437.59; 1.09; 1.08
2014-06-30; 2402.08; 1239.34; 1162.73; 0.0; 942.92; 0.0; 942.92; 219.81; -20.33; 199.48; 41.8; 157.68; 0.0; 157.68; 0.0; 157.68; 351.01; 219.81; 429.94; 437.13; 0.37; 0.36
2014-03-31; 2780.78; 1406.57; 1374.21; 0.0; 0.0; 0.0; 0.0; 2780.78; 0.0; 381.79; 84.6; 0.0; 0.0; 0.0; 0.0; 297.19; 2780.78; 0.0; 438.29; 446.27; 0.68; 0.67
2013-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2013-09-30; 3297.27; 1728.14; 1569.12; 0.0; 989.42; 0.0; 989.42; 579.7; -21.24; 558.47; 124.7; 433.76; 0.0; 433.76; 0.0; 433.76; 644.1; 579.7; 438.18; 445.62; 0.99; 0.97
2013-06-30; 2220.41; 1143.36; 1077.05; 0.0; 875.72; 0.0; 875.72; 201.33; -22.23; 179.1; 40.83; 138.27; 0.0; 138.27; 0.0; 138.27; 318.05; 201.33; 437.1; 445.92; 0.32; 0.31
