Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2081.0; 1433.0; 648.0; 0.0; 260.0; 0.0; 387.0; 261.0; -44.0; 217.0; 54.0; 163.0; 0.0; 163.0; 0.0; 160.0; 366.0; 261.0; 181.3; 181.9; 0.88; 0.88
2022-06-30; 2048.0; 1403.0; 645.0; 0.0; 259.0; 0.0; 381.0; 264.0; -37.0; 227.0; 58.0; 169.0; 0.0; 169.0; 0.0; 166.0; 369.0; 264.0; 181.9; 182.4; 0.91; 0.91
2022-03-31; 1927.0; 1332.0; 595.0; 0.0; 238.0; 0.0; 356.0; 239.0; -39.0; 200.0; 50.0; 150.0; 0.0; 150.0; 0.0; 149.0; 349.0; 239.0; 184.5; 185.0; 0.8; 0.8
2021-12-31; 2073.0; 1421.0; 652.0; 0.0; 264.0; 0.0; 388.0; 264.0; -29.0; 235.0; 42.0; 193.0; 0.0; 193.0; 0.0; 190.0; 373.0; 264.0; 187.7; 188.1; 1.02; 1.02
2021-09-30; 1907.0; 1304.0; 603.0; 0.0; 269.0; 0.0; 386.0; 217.0; -42.0; 175.0; 43.0; 132.0; 0.0; 132.0; 0.0; 131.0; 323.0; 217.0; 187.6; 188.0; 0.69; 0.69
2021-06-30; 2012.0; 1432.0; 580.0; 0.0; 263.0; 0.0; 377.0; 203.0; -34.0; 169.0; 44.0; 125.0; 0.0; 125.0; 0.0; 125.0; 322.0; 203.0; 188.6; 188.9; 0.66; 0.66
2021-03-31; 1830.0; 1296.0; 534.0; 0.0; 234.0; 0.0; 342.0; 192.0; -34.0; 158.0; 43.0; 115.0; 0.0; 115.0; 0.0; 112.0; 299.0; 192.0; 188.5; 188.9; 0.59; 0.59
2020-12-31; 2023.6; 1518.2; 505.4; 0.0; 235.1; 0.0; 343.8; 161.6; -43.5; 118.1; 31.6; 86.5; 0.0; 86.5; 0.0; 87.5; 261.2; 161.6; 189.9; 190.4; 0.47; 0.46
2020-09-30; 1865.1; 1298.9; 566.2; 0.0; 252.7; 0.0; 359.5; 206.7; -31.3; 175.4; 46.9; 128.5; 0.0; 128.5; 0.0; 128.1; 313.8; 206.7; 189.8; 190.2; 0.67; 0.67
2020-06-30; 1737.4; 1250.7; 486.7; 0.0; 216.8; 0.0; 327.3; 159.4; -45.1; 114.3; 28.5; 85.8; 0.0; 85.8; 0.0; 86.8; 259.5; 159.4; 189.8; 190.2; 0.46; 0.46
2020-03-31; 1929.9; 1351.2; 578.7; 0.0; 243.4; 0.0; 361.4; 217.3; -68.1; 149.2; 38.0; 111.2; 0.0; 111.2; 0.0; 111.6; 295.5; 217.3; 190.8; 191.4; 0.58; 0.58
2019-12-31; 2368.4; 1693.5; 674.9; 0.0; 324.1; 0.0; 448.9; 226.0; -51.0; 175.0; 37.3; 137.7; 0.0; 137.7; 0.0; 136.3; 285.6; 226.0; 170.5; 177.3; 0.89; 0.86
2019-09-30; 2001.7; 1402.3; 599.4; 0.0; 292.2; 0.0; 430.3; 169.1; -55.8; 113.3; 22.7; 90.6; 0.0; 90.6; 0.0; 91.1; 272.8; 169.1; 189.6; 191.5; 0.48; 0.48
2019-06-30; 2236.3; 1621.6; 614.7; 0.0; 290.9; 0.0; 414.1; 200.6; -56.4; 144.2; 41.5; 102.7; 0.0; 102.7; 0.0; 104.1; 300.4; 200.6; 177.3; 191.5; 0.58; 0.54
2019-03-31; 1593.6; 1204.6; 389.0; 0.0; 259.8; 0.0; 321.7; 67.3; -52.8; 14.5; 18.5; -4.0; 0.0; -4.0; 0.0; -4.5; 123.2; 67.3; 121.2; 121.2; -0.04; -0.04
2018-12-31; 1117.84; 820.79; 297.05; 0.0; 168.04; 0.0; 203.65; 93.4; -35.85; 57.55; 22.67; 34.87; 0.0; 34.87; 0.0; 34.42; 119.7; 93.4; 96.0; 96.5; 0.35; 0.35
2018-09-30; 1077.8; 775.8; 302.0; 0.0; 146.8; 0.0; 176.8; 125.2; -22.5; 102.7; 16.6; 86.1; 0.0; 86.1; 0.0; 87.7; 154.97; 125.2; 96.2; 96.6; 0.91; 0.91
2018-06-30; 1111.68; 787.71; 323.97; 0.0; 171.16; 0.0; 200.44; 123.52; -29.75; 93.77; 10.5; 83.27; 0.0; 83.27; 0.0; 84.42; 148.9; 123.52; 95.99; 96.58; 0.88; 0.87
2018-03-31; 1056.18; 745.3; 310.88; 0.0; 147.2; 0.0; 179.6; 131.28; -17.7; 113.58; 26.12; 87.46; 0.0; 87.46; 0.0; 88.37; 159.13; 131.28; 95.81; 96.37; 0.92; 0.92
2017-12-31; 1075.48; 807.06; 268.43; 0.0; 143.71; 0.0; 176.86; 91.57; -16.84; 74.72; 25.02; 49.7; 0.0; 49.7; 0.0; 48.99; 117.8; 91.56; 95.5; 96.1; 0.52; 0.5
2017-09-30; 957.93; 704.73; 253.2; 0.0; 118.18; 0.0; 151.54; 101.67; -20.48; 81.19; 12.75; 68.44; 0.0; 68.44; 0.0; 67.4; 127.58; 101.67; 95.71; 96.32; 0.7; 0.7
2017-06-30; 932.25; 658.29; 273.96; 0.0; 127.92; 0.0; 160.61; 113.36; -16.63; 96.73; 24.57; 72.16; 0.0; 72.16; 0.0; 72.03; 139.18; 113.36; 95.64; 96.28; 0.75; 0.75
2017-03-31; 916.03; 646.33; 269.71; 0.0; 122.69; 0.0; 155.19; 114.51; -15.05; 99.47; 27.46; 72.0; 0.0; 72.0; 0.0; 73.89; 139.74; 114.51; 95.24; 95.99; 0.77; 0.77
