Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 708.55; 307.1; 401.45; 43.44; 164.42; 0.0; 209.44; 192.01; -8.63; 183.38; 27.38; 156.0; 0.0; 156.0; 0.0; 156.0; 224.22; 192.01; 59.8; 60.08; 2.61; 2.6
2022-06-30; 714.32; 307.21; 407.11; 44.01; 161.88; 0.0; 207.48; 199.63; -7.36; 192.27; 27.41; 164.86; 0.0; 164.86; 0.0; 164.86; 233.86; 199.63; 60.21; 60.51; 2.74; 2.72
2022-03-31; 690.57; 285.69; 404.89; 40.47; 157.47; 0.0; 209.42; 195.47; -8.78; 186.69; 26.86; 159.83; 0.0; 159.83; 0.0; 159.83; 228.13; 195.47; 60.58; 60.95; 2.64; 2.62
2021-12-31; 836.45; 351.0; 485.45; 43.33; 173.01; 0.0; 223.25; 262.2; -9.88; 252.32; 36.08; 216.24; 0.0; 216.24; 0.0; 216.24; 295.95; 262.2; 61.58; 62.03; 3.53; 3.51
2021-09-30; 659.23; 271.13; 388.11; 41.99; 152.54; 0.0; 196.29; 191.81; -9.14; 182.68; 21.49; 161.19; 0.0; 161.19; 0.0; 161.19; 225.0; 191.81; 61.36; 61.89; 2.63; 2.6
2021-06-30; 681.65; 280.25; 401.39; 44.95; 158.21; 0.0; 204.97; 196.42; 0.99; 197.41; 30.12; 167.29; 0.0; 167.29; 0.0; 167.29; 229.81; 196.42; 61.69; 62.16; 2.71; 2.69
2021-03-31; 608.54; 254.15; 354.4; 38.09; 143.2; 0.0; 183.13; 171.27; 2.51; 173.78; 25.66; 148.13; 0.0; 148.13; 0.0; 148.13; 202.63; 171.27; 62.26; 62.63; 2.38; 2.37
2020-12-31; 786.66; 320.57; 466.09; 39.66; 153.08; -6.95; 202.38; 263.71; -6.46; 257.25; 38.94; 218.31; 0.0; 218.31; 0.0; 218.31; 297.98; 263.71; 62.09; 62.41; 3.52; 3.49
2020-09-30; 593.78; 262.34; 331.44; 34.97; 135.43; 0.0; 173.06; 158.38; -7.95; 150.44; 23.67; 126.77; 0.0; 126.77; 0.0; 126.77; 189.27; 158.38; 62.0; 62.3; 2.04; 2.03
2020-06-30; 519.98; 213.13; 306.85; 31.16; 117.45; -0.51; 151.74; 155.11; -9.75; 145.36; 22.43; 122.93; 0.0; 122.93; 0.0; 122.93; 186.13; 155.11; 61.94; 62.18; 1.98; 1.98
2020-03-31; 464.94; 210.64; 254.29; 34.99; 147.74; -0.67; 186.01; 68.28; -10.42; 57.86; 4.3; 53.56; 0.0; 53.56; 0.0; 53.56; 97.47; 68.28; 62.23; 62.63; 0.86; 0.86
2019-12-31; 716.29; 299.07; 417.23; 37.07; 141.21; 0.0; 180.81; 236.42; -12.03; 224.39; 23.72; 200.67; 0.0; 200.67; 0.0; 200.67; 261.39; 236.42; 67.63; 68.17; 3.06; 3.03
2019-09-30; 577.28; 241.06; 336.22; 34.33; 126.04; 0.0; 162.99; 173.24; -8.5; 164.74; 26.61; 138.13; 0.0; 138.13; 0.0; 138.13; 199.94; 173.24; 66.23; 66.77; 2.09; 2.07
2019-06-30; 599.16; 249.55; 349.62; 36.49; 133.21; 0.0; 171.96; 177.65; -5.92; 171.74; 27.32; 144.41; 0.0; 144.41; 0.0; 144.41; 206.5; 177.65; 68.99; 69.49; 2.09; 2.08
2019-03-31; 513.86; 221.03; 292.83; 35.06; 134.34; 0.0; 171.68; 121.15; -3.77; 117.38; 8.39; 108.99; 0.0; 108.99; 0.0; 108.99; 145.91; 121.15; 71.7; 72.42; 1.52; 1.51
2018-12-31; 715.02; 286.87; 428.15; 38.11; 142.85; -0.32; 183.62; 244.53; -46.73; 197.81; 12.65; 185.15; 0.0; 185.15; 0.0; 185.15; 270.13; 244.53; 76.99; 77.62; 2.45; 2.44
2018-09-30; 578.02; 241.14; 336.88; 35.17; 127.0; -0.92; 165.21; 171.67; -2.44; 169.23; 28.22; 141.01; 0.0; 141.01; 0.0; 141.01; 198.65; 171.67; 76.58; 77.14; 1.84; 1.83
2018-06-30; 596.22; 243.13; 353.08; 35.64; 136.65; 0.0; 173.89; 179.19; -4.63; 174.56; 18.88; 155.68; 0.0; 155.68; 0.0; 155.68; 206.39; 179.19; 77.83; 78.44; 2.0; 1.98
2018-03-31; 530.67; 221.42; 309.25; 34.48; 130.41; 1.67; 164.87; 144.38; -3.83; 140.55; 28.6; 111.95; 0.0; 111.95; 0.0; 111.95; 173.01; 144.38; 78.88; 79.72; 1.42; 1.4
2017-12-31; 687.27; 270.45; 416.82; 35.12; 148.39; -1.1; 186.25; 230.57; -4.84; 225.74; 578.91; -353.17; 0.0; -353.17; 0.0; -353.17; 258.33; 230.57; 79.79; 80.6; -4.43; -4.38
2017-09-30; 565.58; 235.89; 329.69; 33.78; 135.21; 0.0; 170.67; 159.02; -5.22; 153.8; 17.7; 136.1; 0.0; 136.1; 0.0; 136.1; 184.87; 159.02; 79.71; 80.52; 1.71; 1.69
2017-06-30; 558.25; 229.63; 328.62; 32.94; 130.09; -10.02; 174.74; 153.88; -5.81; 148.07; 16.25; 131.82; 0.0; 131.82; 0.0; 131.82; 183.34; 153.88; 79.98; 80.76; 1.65; 1.63
2017-03-31; 497.97; 211.09; 286.87; 30.75; 130.67; 0.0; 168.15; 118.72; -5.23; 113.49; 7.93; 105.56; 0.0; 105.56; 0.0; 105.56; 141.67; 118.72; 80.07; 80.77; 1.32; 1.31
2016-12-31; 628.79; 251.58; 377.21; 32.75; 129.54; 0.0; 168.17; 209.03; -6.46; 202.58; 28.2; 174.38; 0.0; 174.38; 0.0; 174.38; 233.12; 209.04; 80.79; 81.42; 2.16; 2.16
2016-09-30; 526.83; 218.34; 308.49; 30.42; 123.86; 0.0; 156.75; 151.73; -6.28; 145.45; 20.59; 124.86; 0.0; 124.86; 0.0; 124.86; 176.02; 151.73; 80.68; 81.39; 1.55; 1.53
2016-06-30; 536.56; 220.38; 316.18; 32.58; 129.58; 0.0; 164.57; 151.61; -6.16; 145.46; 17.24; 128.22; 0.0; 128.22; 0.0; 128.22; 176.26; 151.61; 80.8; 81.45; 1.59; 1.57
2016-03-31; 475.25; 201.15; 274.1; 29.44; 129.35; 0.0; 161.43; 112.66; -6.03; 106.63; 12.58; 94.05; 0.0; 94.05; 0.0; 94.05; 136.09; 112.66; 81.28; 81.97; 1.16; 1.15
2015-12-31; 586.61; 237.91; 348.7; 28.34; 128.68; 0.0; 167.39; 181.31; -6.07; 175.24; 24.18; 151.05; 0.0; 151.05; 0.0; 151.05; 204.4; 181.31; 82.34; 83.09; 1.84; 1.83
2015-09-30; 500.58; 206.8; 293.77; 30.7; 124.66; 0.0; 157.93; 135.84; -6.28; 129.56; 13.28; 116.28; 0.0; 116.28; 0.0; 116.28; 157.6; 135.84; 82.04; 82.78; 1.42; 1.4
2015-06-30; 494.74; 208.71; 286.03; 30.55; 122.66; 0.0; 155.72; 130.32; -6.55; 123.77; 18.11; 105.66; 0.0; 105.66; 0.0; 105.66; 152.91; 130.32; 82.56; 83.33; 1.28; 1.27
2015-03-31; 460.4; 189.25; 271.16; 28.95; 119.75; 0.0; 151.18; 119.98; -6.63; 113.35; 17.29; 96.06; 0.0; 96.06; 0.0; 96.06; 142.53; 119.98; 83.03; 83.75; 1.16; 1.15
2014-12-31; 583.87; 233.12; 350.75; 28.72; 131.92; 0.0; 178.71; 172.04; -7.57; 164.47; 13.18; 151.29; 0.0; 151.29; 0.0; 151.29; 195.72; 172.04; 84.36; 85.15; 1.79; 1.78
2014-09-30; 493.17; 202.22; 290.94; 27.28; 122.23; 0.0; 152.23; 138.71; -7.3; 131.41; 17.92; 113.5; 0.0; 113.5; 0.0; 113.5; 168.14; 138.71; 83.66; 84.4; 1.36; 1.34
2014-06-30; 481.8; 201.85; 279.95; 26.98; 131.93; 0.0; 161.55; 118.39; -6.27; 112.12; 15.6; 96.53; 0.0; 96.53; 0.0; 96.53; 139.18; 118.39; 84.46; 85.18; 1.14; 1.13
