Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2003.0; 805.1; 1197.9; 0.0; 513.4; 0.0; 793.7; 404.2; -29.1; 375.1; 73.4; 301.7; 0.0; 301.7; 0.0; 302.0; 684.5; 404.2; 315.4; 316.2; 0.96; 0.96
2022-06-30; 2127.9; 935.0; 1192.9; 0.0; 505.1; 0.0; 784.7; 408.2; -57.0; 351.2; 63.4; 287.8; 0.0; 287.8; 0.0; 287.5; 687.8; 408.2; 315.4; 316.2; 0.91; 0.91
2022-03-31; 2908.1; 1383.4; 1524.7; 0.0; 515.2; 0.0; 793.3; 731.4; -36.3; 695.1; 127.1; 568.0; 0.0; 568.0; 0.0; 565.9; 1009.5; 731.4; 315.4; 316.2; 1.79; 1.79
2021-12-31; 2201.9; 958.8; 1243.1; 0.0; 641.2; 0.0; 916.3; 326.8; -82.5; 244.3; 20.5; 223.8; 0.0; 223.8; 0.0; 224.2; 601.9; 326.8; 315.4; 316.3; 0.7; 0.71
2021-09-30; 1746.5; 560.7; 1185.8; 0.0; 524.2; 0.0; 795.8; 390.0; -50.5; 339.5; 50.8; 288.7; 0.0; 288.7; 0.0; 290.0; 661.6; 390.0; 315.4; 316.3; 0.92; 0.92
2021-06-30; 1676.2; 525.9; 1150.3; 0.0; 515.3; 0.0; 781.5; 368.8; -39.0; 329.8; 54.1; 275.7; 0.0; 275.7; 0.0; 276.0; 635.0; 368.8; 315.4; 316.3; 0.88; 0.87
2021-03-31; 2691.4; 1265.6; 1425.8; 0.0; 535.1; 0.0; 796.5; 629.3; -44.1; 585.2; 74.9; 510.3; 0.0; 510.3; 0.0; 510.1; 890.7; 629.3; 315.4; 316.2; 1.62; 1.61
2020-12-31; 1933.4; 657.5; 1275.9; 0.0; 656.1; 0.0; 905.4; 370.5; -93.7; 276.8; 37.2; 239.6; 0.0; 239.6; 0.0; 239.0; 619.8; 370.5; 315.4; 316.5; 0.75; 0.76
2020-09-30; 1651.0; 482.8; 1168.2; 0.0; 553.0; 0.0; 798.0; 370.2; -56.2; 314.0; 46.9; 267.1; 0.0; 267.1; 0.0; 266.8; 615.2; 370.2; 315.4; 316.5; 0.85; 0.84
2020-06-30; 1548.7; 444.5; 1104.2; 0.0; 522.9; 0.0; 765.4; 338.8; -42.9; 295.9; 53.8; 242.1; 0.0; 242.1; 0.0; 241.6; 581.3; 338.8; 315.4; 316.5; 0.77; 0.76
