Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1380.0; 856.0; 524.0; 47.0; 294.0; 0.0; 356.0; 168.0; -151.0; 17.0; 5.0; 12.0; 0.0; 12.0; 0.0; 12.0; 226.0; 168.0; 180.2; 180.9; 0.07; 0.07
2022-06-30; 1364.0; 844.0; 520.0; 53.0; 314.0; 0.0; 374.0; 146.0; -10.0; 136.0; 24.0; 112.0; 0.0; 112.0; 0.0; 112.0; 206.0; 146.0; 180.2; 180.6; 0.62; 0.62
2022-03-31; 1272.0; 805.0; 467.0; 52.0; 304.0; 0.0; 356.0; 111.0; -13.0; 98.0; 16.0; 82.0; 0.0; 82.0; 0.0; 82.0; 169.0; 111.0; 180.2; 181.0; 0.45; 0.45
2021-12-31; 1323.0; 830.0; 493.0; 52.0; 301.0; 0.0; 353.0; 140.0; -14.0; 126.0; 13.0; 113.0; 0.0; 113.0; 0.0; 113.0; 199.0; 140.0; 180.2; 181.5; 0.62; 0.62
2021-09-30; 1265.0; 793.0; 472.0; 49.0; 273.0; 0.0; 320.0; 152.0; -19.0; 133.0; 19.0; 114.0; 0.0; 114.0; 0.0; 114.0; 214.0; 152.0; 180.2; 181.6; 0.63; 0.63
2021-06-30; 1351.0; 831.0; 520.0; 53.0; 304.0; 0.0; 360.0; 160.0; -22.0; 138.0; 25.0; 113.0; 0.0; 113.0; 0.0; 113.0; 222.0; 160.0; 180.1; 181.3; 0.63; 0.62
2021-03-31; 1256.0; 766.0; 490.0; 50.0; 301.0; 0.0; 357.0; 133.0; -19.0; 114.0; 27.0; 87.0; 0.0; 87.0; 0.0; 87.0; 195.0; 133.0; 180.3; 181.5; 0.49; 0.48
2020-12-31; 1373.0; 847.0; 526.0; 49.0; 292.0; 0.0; 347.0; 179.0; -21.0; 158.0; 10.0; 148.0; 0.0; 148.0; 0.0; 148.0; 241.0; 179.0; 180.1; 181.1; 0.83; 0.82
2020-09-30; 1220.0; 759.0; 461.0; 45.0; 266.0; 0.0; 388.0; 73.0; -23.0; 50.0; 13.0; 37.0; 0.0; 37.0; 0.0; 37.0; 194.0; 73.0; 180.0; 181.0; 0.2; 0.2
2020-06-30; 1160.0; 726.0; 434.0; 44.0; 288.0; 0.0; 380.0; 54.0; -19.0; 35.0; 4.0; 31.0; 0.0; 31.0; 0.0; 31.0; 116.0; 54.0; 180.0; 180.6; 0.17; 0.17
